VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AWAL PARAJUL,745,4,1,1,0,0,15
BADABHAIRAB,509,1,4,0,0,3,2
BADAKHOLA,568,3,15,1,0,0,1
BADALAMJI,1133,16,2,3,0,2,8
BALUWATAR,587,0,1,0,0,0,14
BANSI,766,6,0,1,0,1,11
BARAHA,704,7,1,0,0,0,7
BELPATA,471,91,0,3,0,1,4
BHAWANI,392,0,1,0,0,0,0
BINDHYABASINI,558,2,2,1,0,0,14
BISALLA,1183,3,3,0,0,0,6
CHAMUNDA,2026,10,8,0,0,1,19
CHAURATHA,517,1,0,0,0,0,8
DADA PARAJUL,937,52,5,0,0,0,7
DULLU,793,39,8,3,1,1,5
GAMAUDI,656,1,1,0,0,0,10
GAURI,537,1,1,0,0,0,6
GOGANPANI,649,4,0,2,0,0,2
JAGANATH,500,0,1,0,0,0,3
JAMBUKANDH,1188,0,5,0,0,0,2
KAL BHAIRAB,853,7,6,2,0,0,11
KALIKA,414,0,1,0,0,0,1
KASIKANDH,798,5,1,0,0,1,4
KATTI,905,1,4,0,0,1,8
KHADGABADA,930,21,2,21,2,2,9
KHARIGAIRA,810,0,1,0,0,0,15
KUSAPANI,944,10,6,1,0,1,6
LAKANDRA,1031,1,5,0,1,1,10
LANKURI,696,2,3,1,0,0,5
LALIKANDA,536,7,224,0,0,0,3
LAYATI BINDRASAINI,1354,4,11,0,0,0,6
BHAIRI KALIKATHUM,1024,17,1,0,0,0,12
MALIKA,1044,5,1,1,0,0,10
MEHELTOLI,457,0,1,0,0,0,1
NARAYAN MUNICIPALITY,3890,696,19,8,1,11,53
NAULE KATUWAL,824,4,1,1,0,1,4
NEPA,1013,0,1,1,0,0,0
NAUMULE,334,0,0,0,0,0,0
DWARI,460,1,7,1,0,1,8
PADUKASTHAN,1054,6,4,0,0,0,1
PAGNATH,413,47,41,1,1,0,2
PILADI,485,0,13,0,0,1,5
PIPALKOT,535,1,3,0,0,0,5
CHHIUDI PUSAKOT,908,1,0,0,0,0,23
RAKAM KARNALI,526,4,19,0,1,1,5
RANIBAN,703,14,14,4,0,0,12
RAWATKOT,1032,3,2,0,0,2,6
RUMA,414,27,9,3,0,0,0
SALLERI,680,0,5,0,0,0,4
SATTALA,872,5,12,2,0,0,4
SERI,454,5,0,0,0,0,0
SIGAUDI,1074,3,20,0,0,0,7
SINHASAIN,1175,3,7,1,0,0,7
TILEPATA,960,2,2,0,0,0,7
TOLI,621,36,0,2,0,0,4
TOLIJAISI,1040,13,0,0,0,0,30
TOTAL,46682,1192,505,65,7,32,432
