VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,116415,552583,261059,291524,4.746664948674999,89.54974547550117
BAGHMARE,1595,7787,3678,4109,4.882131661442006,89.51082988561694
BELA,2055,11245,5409,5836,5.472019464720194,92.68334475668266
BIJAURI,2982,13922,6596,7326,4.668678739101274,90.03549003549004
CHAULAHI,4291,20696,9874,10822,4.823118154276393,91.24006653114027
DHANAURI,1933,9433,4382,5051,4.879979306777031,86.75509800039596
DHARNA,1562,6851,3077,3774,4.386043533930858,81.53153153153153
DHIKPUR,2388,11033,4993,6040,4.620184254606365,82.66556291390728
DURUWA,2735,12979,5959,7020,4.745521023765996,84.88603988603988
GADHAWA,2176,11430,5393,6037,5.252757352941177,89.33244989233063
GANGAPRASPUR,2031,10972,5366,5606,5.402264894140817,95.71887263646094
GOBARDIYA,2873,15322,7331,7991,5.333101287852419,91.74070829683394
GOLTAKURI,1119,5293,2411,2882,4.73011617515639,83.65718251214435
HALWAR,2187,10068,4607,5461,4.603566529492455,84.36183849111885
HANSIPUR,1487,8439,4018,4421,5.675184936112979,90.88441529065823
HAPUR,2986,13514,6023,7491,4.525787006028131,80.4031504472033
HEKULI,1817,9206,4383,4823,5.066593285635663,90.87704748082106
KABHRE,1473,6919,2975,3944,4.697216564833672,75.43103448275862
KOILABAS,187,868,399,469,4.641711229946524,85.07462686567165
LALMATIYA,4475,21389,10236,11153,4.779664804469274,91.77799695149287
LAXMIPUR,2932,13725,6308,7417,4.681105047748977,85.04786301739247
LOHARPANI,1116,6051,2691,3360,5.422043010752688,80.08928571428572
MANPUR,3088,14864,6926,7938,4.813471502590674,87.2511967750063
NARAYANPUR,3577,16636,7601,9035,4.650824713447022,84.1283895960155
PANCHAKULE,1822,8069,3690,4379,4.428649835345774,84.26581411281114
PAWAN NAGAR,1898,8673,4051,4622,4.569546891464699,87.64604067503245
PHULBARI,1227,5489,2522,2967,4.4735126324368375,85.00168520390967
PURANDHARA,4123,19400,8839,10561,4.70531166626243,83.69472587823122
RAJPUR,2418,13792,6842,6950,5.703887510339123,98.44604316546763
RAMPUR,2698,12628,5541,7087,4.6805040770941435,78.1854099054607
SAIDHA,1338,6748,3129,3619,5.043348281016442,86.46034816247582
SATBARIYA,2501,13370,6453,6917,5.345861655337865,93.29188954749169
SAUDIYAR,2453,12101,5547,6554,4.933143090093763,84.63533719865731
SHANTINAGAR,1800,7983,3535,4448,4.435,79.47392086330936
SHREEGAUN,1519,6985,3189,3796,4.598420013166557,84.00948366701792
SISAHANIYA,3259,17670,8448,9222,5.421908560908254,91.60702667534157
SONPUR,2640,13589,6571,7018,5.147348484848485,93.63066400683955
SYUJA,975,4541,1974,2567,4.657435897435898,76.89910401246591
TARIGAUN,2299,11135,5259,5876,4.843410178338408,89.499659632403
GHORAHI MUNICIPALITY,15485,62928,30110,32818,4.063803680981595,91.74843073922847
TULSIPUR MUNICIPALITY,12214,51537,24689,26848,4.2195022105780255,91.95843265792611
URAHARI,2613,12861,6066,6795,4.921928817451206,89.27152317880794
