VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
BAGHMARE,990,21,8,1,542,21,12
BELA,706,39,443,443,288,131,5
BIJAURI,1818,269,5,21,741,77,51
CHAULAHI,1556,1882,29,472,238,96,18
DHANAURI,1219,29,8,5,578,89,5
DHARNA,963,11,28,46,472,31,11
DHIKPUR,1189,69,3,19,1057,42,9
DURUWA,1124,33,7,15,1457,87,12
GADHAWA,689,204,404,721,58,92,8
GANGAPRASPUR,402,135,194,941,9,347,3
GOBARDIYA,607,126,588,1046,39,419,48
GOLTAKURI,576,9,17,20,471,23,3
HALWAR,1373,157,7,11,624,0,15
HANSIPUR,880,11,553,23,1,1,18
HAPUR,2163,26,24,35,728,0,10
HEKULI,916,40,4,1,837,2,17
KABHRE,1370,9,27,63,0,0,4
KOILABAS,82,23,65,17,0,0,0
LALMATIYA,1074,1398,273,1450,126,60,94
LAXMIPUR,1909,192,26,85,694,18,8
LOHARPANI,1055,10,33,6,0,1,11
MANPUR,1807,167,1,27,1004,53,29
NARAYANPUR,1877,604,4,22,1027,21,22
PANCHAKULE,1023,27,46,5,679,31,11
PAWAN NAGAR,1162,56,4,17,647,9,3
PHULBARI,475,15,6,18,550,150,13
PURANDHARA,2547,96,648,9,345,443,35
RAJPUR,760,35,622,746,172,66,17
RAMPUR,1235,48,25,73,1266,28,23
SAIDHA,1264,15,28,17,0,0,14
SATBARIYA,692,125,293,464,505,405,17
SAUDIYAR,1685,73,7,51,622,4,11
SHANTINAGAR,799,26,5,5,832,131,2
SHREEGAUN,318,28,0,3,1120,48,2
SISAHANIYA,488,925,207,1190,88,355,6
SONPUR,873,405,104,539,471,216,32
SYUJA,943,9,1,8,0,11,3
TARIGAUN,1076,214,28,10,578,388,5
GHORAHI MUNICIPALITY,5915,7621,68,230,1519,12,120
TULSIPUR MUNICIPALITY,4010,6350,68,85,1366,198,137
URAHARI,751,74,3,17,1543,204,21
TOTAL,52361,21606,4914,8977,23294,4310,885
