VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BAGHMARE,883,398,306,8
BELA,1570,327,155,3
BIJAURI,1206,1156,581,39
CHAULAHI,1617,2225,434,15
DHANAURI,1024,597,310,2
DHARNA,665,746,141,10
DHIKPUR,303,1725,357,3
DURUWA,1717,736,273,9
GADHAWA,1391,636,140,9
GANGAPRASPUR,1391,313,325,2
GOBARDIYA,1681,475,689,28
GOLTAKURI,556,418,144,1
HALWAR,847,1103,230,7
HANSIPUR,1389,45,41,12
HAPUR,1047,1401,529,9
HEKULI,1080,462,262,13
KABHRE,1154,38,280,1
KOILABAS,165,14,8,0
LALMATIYA,1625,1702,1074,74
LAXMIPUR,708,1592,626,6
LOHARPANI,33,923,152,8
MANPUR,867,1501,698,22
NARAYANPUR,805,2203,553,16
PANCHAKULE,845,613,355,9
PAWAN NAGAR,285,944,668,1
PHULBARI,957,195,61,14
PURANDHARA,1972,988,1147,16
RAJPUR,2235,112,55,16
RAMPUR,873,1066,756,3
SAIDHA,1242,39,48,9
SATBARIYA,1934,427,134,6
SAUDIYAR,63,2069,317,4
SHANTINAGAR,427,960,410,3
SHREEGAUN,512,879,128,0
SISAHANIYA,1298,1569,387,5
SONPUR,1213,914,484,29
SYUJA,687,53,233,2
TARIGAUN,833,676,785,5
GHORAHI MUNICIPALITY,2566,11412,1431,76
TULSIPUR MUNICIPALITY,2587,8377,1184,66
URAHARI,1281,871,451,10
TOTAL,45534,52900,17342,571
