VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
BHAGABATI,584,0,0,0,7,0,0,3
BOHARIGAU,749,3,3,0,1,0,0,4
BRAMHADEV,348,3,0,0,0,0,0,0
BYASH,173,1,0,0,0,0,0,0
CHHAPARI,525,0,2,0,1,0,0,1
DADAKOT,364,1,0,0,0,0,0,0
DATTU,451,5,0,0,2,0,0,0
DETHALA,626,4,0,0,2,0,0,1
DHAP,869,11,6,0,6,0,0,4
DHARI,747,7,0,0,2,0,0,2
DHAULAKOT,462,2,0,0,1,0,0,4
DHULIGADA,741,2,0,0,0,0,0,4
EYARKOT,406,13,1,0,2,0,0,0
GHUSA,242,0,0,0,0,0,0,1
GOKULESWOR,636,11,13,0,25,0,2,14
GULJAR,656,0,0,0,0,0,0,1
GWANI,917,6,0,0,0,0,1,6
HIKILA,494,1,0,0,0,0,0,4
HUNAINATH,332,4,0,0,0,0,0,1
HUTI,458,5,0,0,0,0,0,1
KANTE,515,5,0,0,0,0,0,0
KHALANGA,750,509,772,0,26,2,58,6
KHANDESWORI,519,0,1,0,0,0,0,1
KHAR,686,3,0,0,2,0,0,7
KHARKADA,557,1,1,0,13,0,1,2
LALI,541,6,2,0,3,0,0,0
LATINATH,784,1,0,0,0,0,0,2
MALIKARJUN,477,1,0,0,0,0,0,1
PIPALCHAURI,367,7,0,0,0,0,0,0
RANISIKHAR,434,3,0,0,0,0,0,1
RAPLA,237,2,0,0,0,0,0,0
RITHACHAUPATA,911,1,0,0,0,0,0,0
SANKARPUR,600,0,0,0,0,0,0,0
SERI,418,3,0,0,0,1,1,0
SHARMAULI,806,2,0,0,1,0,0,3
SIKHAR,533,4,18,0,0,2,0,2
SIPTI,747,0,0,0,0,0,0,2
SITAULA,557,0,0,0,0,0,0,0
SUNSERA,560,6,0,0,1,0,0,6
TAPOBAN,403,1,0,0,0,0,0,1
UKU,708,7,0,0,6,0,0,0
TOTAL,22890,641,819,0,101,5,63,85
