VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
BHAGABATI,581,7,0,6
BOHARIGAU,759,0,0,1
BRAMHADEV,342,4,0,5
BYASH,146,23,0,5
CHHAPARI,521,6,0,2
DADAKOT,359,3,1,2
DATTU,447,9,0,2
DETHALA,629,0,0,4
DHAP,881,11,0,4
DHARI,746,7,0,5
DHAULAKOT,467,1,0,1
DHULIGADA,741,2,1,3
EYARKOT,411,1,0,10
GHUSA,238,0,0,5
GOKULESWOR,631,50,7,13
GULJAR,642,11,2,2
GWANI,919,4,3,4
HIKILA,492,4,0,3
HUNAINATH,331,6,0,0
HUTI,455,7,0,2
KANTE,513,6,0,1
KHALANGA,1223,776,101,23
KHANDESWORI,516,0,1,4
KHAR,689,0,0,9
KHARKADA,574,1,0,0
LALI,520,13,6,13
LATINATH,775,12,0,0
MALIKARJUN,466,8,2,3
PIPALCHAURI,370,2,0,2
RANISIKHAR,428,5,1,4
RAPLA,226,12,0,1
RITHACHAUPATA,889,8,4,11
SANKARPUR,587,7,4,2
SERI,420,3,0,0
SHARMAULI,800,1,2,9
SIKHAR,482,28,38,11
SIPTI,737,8,3,1
SITAULA,550,6,0,1
SUNSERA,567,0,0,6
TAPOBAN,403,2,0,0
UKU,702,16,3,0
TOTAL,23175,1070,179,180
