VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BHAGABATI,545,651,469,481,69,164,7,6
BOHARIGAU,765,938,617,655,130,267,18,16
BRAMHADEV,329,379,254,241,59,67,16,71
BYASH,64,68,38,45,26,23,0,0
CHHAPARI,582,630,463,423,115,201,4,6
DADAKOT,319,394,261,294,54,97,4,3
DATTU,329,444,299,345,26,88,4,11
DETHALA,790,914,576,593,191,301,23,20
DHAP,964,1148,822,864,142,279,0,5
DHARI,891,1004,688,642,195,354,8,8
DHAULAKOT,553,635,388,373,124,212,41,50
DHULIGADA,1091,1240,852,790,236,445,3,5
EYARKOT,545,676,406,417,137,253,2,6
GHUSA,321,377,265,286,54,91,2,0
GOKULESWOR,701,759,546,530,118,196,37,33
GULJAR,978,1044,711,643,253,371,14,30
GWANI,1009,1190,802,789,203,394,4,7
HIKILA,584,658,474,417,110,240,0,1
HUNAINATH,328,340,279,260,43,73,6,7
HUTI,464,615,410,473,53,140,1,2
KANTE,535,586,426,397,95,173,14,16
KHALANGA,1684,1644,1428,1234,232,385,24,25
KHANDESWORI,636,710,528,543,108,167,0,0
KHAR,928,1098,745,672,176,416,7,10
KHARKADA,538,650,442,466,91,184,5,0
LALI,464,559,403,395,56,154,5,10
LATINATH,960,1150,760,799,196,339,4,12
MALIKARJUN,433,524,369,335,49,159,15,30
PIPALCHAURI,352,478,291,342,60,134,1,2
RANISIKHAR,546,693,382,389,163,303,1,1
RAPLA,189,268,151,186,34,77,4,5
RITHACHAUPATA,864,1062,738,781,121,272,5,9
SANKARPUR,497,584,426,432,64,142,7,10
SERI,561,603,427,409,132,191,2,3
SHARMAULI,844,1027,699,692,121,284,24,51
SIKHAR,557,644,396,408,154,227,7,9
SIPTI,931,1109,718,727,213,380,0,2
SITAULA,762,870,540,593,220,267,2,10
SUNSERA,691,798,546,561,120,224,25,13
TAPOBAN,442,523,348,345,88,173,6,5
UKU,606,712,475,512,125,191,6,9
INSTITUTIONAL,153,24,24,7,129,17,0,0
