VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
BHAGABATI,2678,1211,1467,1850,1012,838,130,41,89,698,158,540,0,0,0,69.08140403286033,83.56729975227086,57.12338104976141
BOHARIGAU,3733,1721,2012,2470,1392,1078,103,42,61,1158,286,872,2,1,1,66.1666220198232,80.88320743753631,53.57852882703777
BRAMHADEV,1557,712,845,956,557,399,38,22,16,558,132,426,5,1,4,61.40012845215157,78.23033707865169,47.218934911242606
BYASH,513,238,275,351,184,167,4,1,3,157,53,104,1,0,1,68.42105263157895,77.31092436974791,60.72727272727273
CHHAPARI,2499,1179,1320,1618,927,691,16,4,12,863,247,616,2,1,1,64.74589835934374,78.62595419847328,52.348484848484844
DADAKOT,1692,768,924,1186,640,546,9,4,5,496,124,372,1,0,1,70.09456264775413,83.33333333333334,59.09090909090909
DATTU,1975,835,1140,1410,729,681,32,11,21,532,95,437,1,0,1,71.39240506329114,87.30538922155688,59.73684210526316
DETHALA,3367,1586,1781,2142,1210,932,165,81,84,1054,289,765,6,6,0,63.61746361746362,76.29255989911728,52.330151600224596
DHAP,4392,1960,2432,3007,1582,1425,102,46,56,1283,332,951,0,0,0,68.46539162112933,80.71428571428572,58.59375
DHARI,3704,1759,1945,2409,1389,1020,111,47,64,1184,323,861,0,0,0,65.0377969762419,78.96532120523024,52.44215938303341
DHAULAKOT,2312,1088,1224,1422,839,583,85,37,48,803,211,592,2,1,1,61.50519031141869,77.11397058823529,47.630718954248366
DHULIGADA,3964,1925,2039,2339,1449,890,127,60,67,1497,415,1082,1,1,0,59.00605449041373,75.27272727272727,43.648847474252086
EYARKOT,2155,1008,1147,1141,671,470,7,4,3,1007,333,674,0,0,0,52.946635730858475,66.56746031746032,40.976460331299045
GHUSA,1352,662,690,848,500,348,117,43,74,387,119,268,0,0,0,62.721893491124256,75.52870090634441,50.43478260869565
GOKULESWOR,3279,1567,1712,2235,1287,948,50,23,27,992,257,735,2,0,2,68.16102470265325,82.13146139119335,55.373831775700936
GULJAR,3640,1798,1842,2297,1399,898,93,45,48,1250,354,896,0,0,0,63.104395604395606,77.80867630700779,48.751357220412594
