VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AGINCHOK,838,7,7,16,2,3
BAIRENI,2208,162,338,25,34,28
BASERI,853,1,0,0,0,5
BENIGHAT,1352,241,379,124,20,7
BHUMESTHAN,1955,62,86,28,13,1
BUDHATHUM,850,11,0,3,1,1
CHAINPUR,1493,7,1,9,1,3
CHHATREDEURALI,1613,25,4,10,1,2
DARKHA,1110,2,0,0,0,9
DHOLA,989,0,0,6,0,3
DHUSSA,892,153,37,268,1,10
DHUWAKOT,1052,0,1,1,0,9
GAJURI,1381,236,364,224,4,14
GOGANPANI,1069,43,9,6,0,6
GUMDI,1093,6,0,8,0,2
JEEWANPUR,1869,28,10,6,1,6
JHARLANG,769,0,0,0,0,1
JOGIMARA,1163,135,56,73,2,13
JYAMRUNG,1627,2,1,18,0,5
KALLERI,1888,13,0,6,2,12
KATUNJE,1403,14,0,5,0,3
KEWALPUR,1087,8,2,1,1,5
KHALTE,1561,2,0,2,0,1
KHARI,980,0,1,65,1,4
KIRANCHOK,1130,3,0,6,3,21
KUMPUR,2012,43,27,19,0,21
LAPA,830,1,0,14,0,8
MAHADEVSTHAN,820,7,4,408,1,3
MAIDI,2111,20,3,19,2,12
MARPAK,841,1,0,2,0,5
MULPANI,739,1,1,4,1,3
MURALI BHANJYANG,1577,84,0,4,0,8
NALANG,1825,6,28,2,1,14
NAUBISE,2629,422,79,30,7,17
NILKANTHA,2149,929,2117,19,1,40
PHULKHARKA,915,3,0,1,0,1
PIDA,1870,156,130,49,2,7
REE GAUN,1052,42,2,12,0,2
SALANG,1106,12,3,13,0,6
SALYANKOT,1095,1,0,19,0,8
SALYANTAR,1319,177,55,231,3,6
SANGKOSH,1148,45,25,3,0,23
SATYADEVI,735,8,0,1,1,15
SEMJONG,844,0,1,0,0,2
SERTUNG,815,0,0,2,0,0
SUNAULA BAZAR,1514,3,7,4,0,2
TASARPU,1015,29,5,47,1,1
THAKRE,1623,198,172,78,7,63
TIPLING,453,0,0,7,0,4
TRIPURESWOR,723,67,3,26,0,0
TOTAL,63985,3416,3958,1924,114,445
