VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
AGINCHOK,95,778,657,129,0,1,0,29,665,1,8,1,1,1,0
BAIRENI,435,2304,1598,271,608,111,20,246,1662,25,156,95,8,155,56
BASERI,71,759,645,94,1,1,0,7,657,1,2,0,0,0,29
BENIGHAT,248,1832,1145,277,653,87,24,138,1443,10,143,38,9,203,43
BHUMESTHAN,225,1855,1336,306,186,39,7,29,1522,33,74,26,3,58,65
BUDHATHUM,57,760,590,296,21,9,0,32,637,0,9,6,2,1,49
CHAINPUR,141,1354,1214,400,28,8,5,29,955,1,17,5,0,10,19
CHHATREDEURALI,183,1440,1008,988,31,26,2,20,1168,6,108,37,2,14,32
DARKHA,206,836,707,180,1,4,0,62,631,2,1,0,0,1,79
DHOLA,99,845,641,273,24,6,1,17,690,0,14,0,0,6,54
DHUSSA,339,1004,778,177,192,33,14,74,570,8,38,24,1,57,18
DHUWAKOT,63,980,848,361,17,10,0,49,734,2,13,10,0,2,20
GAJURI,332,1884,1125,158,584,112,37,34,1525,22,151,41,2,262,7
GOGANPANI,78,1009,763,408,57,9,3,18,752,1,15,12,0,7,46
GUMDI,136,947,821,182,12,1,0,106,733,4,2,1,9,0,26
JEEWANPUR,245,1666,1273,890,66,24,8,23,1296,18,93,29,2,20,9
JHARLANG,178,526,499,14,0,1,0,17,231,0,1,0,0,0,66
JOGIMARA,322,1109,869,63,171,18,4,46,667,2,49,28,5,56,11
JYAMRUNG,163,1412,1200,323,43,4,0,38,1044,0,10,1,4,0,78
KALLERI,292,1577,1262,455,54,17,2,17,1169,3,6,6,1,4,52
KATUNJE,196,1218,1077,259,1,6,2,26,877,2,15,2,0,0,11
KEWALPUR,126,958,666,582,19,14,7,14,749,9,36,6,0,4,20
KHALTE,234,1303,1071,271,1,4,1,2,1094,1,0,3,0,0,29
KHARI,127,904,727,120,1,3,0,14,673,0,3,6,0,1,20
KIRANCHOK,330,790,604,8,0,0,0,7,567,3,10,9,0,0,43
KUMPUR,357,1738,1326,473,114,29,10,12,1324,4,30,16,4,21,27
LAPA,385,446,387,103,0,3,0,4,137,0,0,0,1,0,22
MAHADEVSTHAN,400,838,758,40,14,0,0,7,456,1,8,5,0,1,5
MAIDI,272,1846,1612,257,82,22,4,47,1418,3,25,7,2,9,49
MARPAK,43,769,734,178,1,4,0,18,596,1,0,0,0,0,37
MULPANI,125,621,490,214,35,3,0,35,492,0,5,1,1,1,3
MURALI BHANJYANG,195,1456,1136,581,113,36,7,74,1235,12,62,27,5,35,22
NALANG,267,1578,1241,463,68,23,1,63,1279,3,45,19,0,25,31
NAUBISE,345,2806,1914,1696,477,111,34,101,2192,43,212,39,2,105,33
NILKANTHA,255,4923,2982,1832,2295,645,280,662,4462,47,417,124,8,474,77
PHULKHARKA,165,752,660,136,2,1,0,35,566,0,0,0,0,0,3
PIDA,482,1699,1273,246,265,37,10,61,1252,17,63,17,0,118,33
REE GAUN,286,812,724,76,1,4,0,24,530,0,2,3,1,0,12
SALANG,136,976,818,122,32,14,2,14,717,1,13,8,0,11,28
SALYANKOT,181,897,758,88,7,5,1,28,655,0,6,0,1,8,45
SALYANTAR,208,1575,1267,325,174,28,10,112,1205,8,45,187,3,25,8
SANGKOSH,107,1110,932,345,181,42,9,73,952,15,43,13,0,10,27
SATYADEVI,196,564,437,333,13,6,3,7,360,2,4,1,0,4,0
SEMJONG,126,721,561,254,42,4,0,11,550,2,6,0,0,4,0
SERTUNG,490,327,315,18,0,0,1,3,28,0,0,0,2,0,0
SUNAULA BAZAR,199,1258,960,367,58,22,1,17,986,0,20,3,0,5,73
TASARPU,199,895,718,147,8,9,4,10,705,3,8,5,3,2,4
THAKRE,199,1857,1192,762,408,66,12,57,1472,63,136,28,3,118,85
TIPLING,275,179,161,31,1,1,0,5,48,0,2,0,0,0,10
TRIPURESWOR,59,733,685,114,0,3,0,65,567,3,18,13,1,1,27
