VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AGINCHOK,862,4,1,6
BAIRENI,2374,373,14,34
BASERI,854,2,0,3
BENIGHAT,1676,390,23,34
BHUMESTHAN,1987,145,3,10
BUDHATHUM,846,17,0,3
CHAINPUR,1488,10,1,15
CHHATREDEURALI,1599,32,3,21
DARKHA,1092,22,0,7
DHOLA,985,9,1,3
DHUSSA,1264,78,4,15
DHUWAKOT,1042,18,0,3
GAJURI,1713,452,23,35
GOGANPANI,1101,26,0,6
GUMDI,1077,24,0,8
JEEWANPUR,1862,36,4,18
JHARLANG,756,14,0,0
JOGIMARA,1362,71,2,7
JYAMRUNG,1613,28,1,11
KALLERI,1888,13,2,18
KATUNJE,1383,31,0,11
KEWALPUR,1083,9,1,11
KHALTE,1544,12,1,9
KHARI,1028,11,2,10
KIRANCHOK,1152,4,0,7
KUMPUR,2068,37,3,14
LAPA,834,11,2,6
MAHADEVSTHAN,1210,24,3,6
MAIDI,2138,24,0,5
MARPAK,819,30,0,0
MULPANI,734,8,0,7
MURALI BHANJYANG,1600,59,1,13
NALANG,1833,30,0,13
NAUBISE,2847,293,20,24
NILKANTHA,3040,2088,85,42
PHULKHARKA,887,5,1,27
PIDA,2051,133,13,17
REE GAUN,1105,4,1,0
SALANG,1130,7,1,2
SALYANKOT,1096,10,1,16
SALYANTAR,1673,89,4,25
SANGKOSH,1181,51,0,12
SATYADEVI,727,25,0,8
SEMJONG,841,5,0,1
SERTUNG,801,11,4,1
SUNAULA BAZAR,1502,14,1,13
TASARPU,1016,36,1,45
THAKRE,1699,364,7,71
TIPLING,462,1,1,0
TRIPURESWOR,781,34,0,4
TOTAL,67706,5224,235,677
