VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AGINCHOK,621,729,526,506,93,219,2,4
BAIRENI,2896,3080,1863,1942,1022,1122,11,16
BASERI,657,857,552,609,81,213,24,35
BENIGHAT,2074,2080,1405,1415,655,651,14,14
BHUMESTHAN,2398,2486,1614,1625,744,827,40,34
BUDHATHUM,616,888,537,685,73,189,6,14
CHAINPUR,1091,1414,900,1018,187,388,4,8
CHHATREDEURALI,1366,1659,961,1070,379,542,26,47
DARKHA,1101,1266,931,972,155,276,15,18
DHOLA,707,906,599,642,102,258,6,6
DHUSSA,1573,1695,1027,1031,510,627,36,37
DHUWAKOT,885,1009,767,738,110,260,8,11
GAJURI,2087,2199,1480,1507,532,624,75,68
GOGANPANI,1181,1316,834,935,302,334,45,47
GUMDI,885,1111,689,761,178,319,18,31
JEEWANPUR,1680,1822,1133,1208,510,563,37,51
JHARLANG,882,1008,671,663,210,344,1,1
JOGIMARA,1788,1855,1097,1108,666,722,25,25
JYAMRUNG,1261,1643,1061,1206,179,412,21,25
KALLERI,1705,2164,1355,1601,336,548,14,15
KATUNJE,1097,1325,935,973,146,319,16,33
KEWALPUR,1000,1106,727,801,265,296,8,9
KHALTE,1411,1794,1147,1244,255,532,9,18
KHARI,813,970,692,713,112,247,9,10
KIRANCHOK,1349,1469,904,910,395,481,50,78
KUMPUR,1999,2426,1528,1688,429,669,42,69
LAPA,800,917,612,531,182,375,6,11
MAHADEVSTHAN,1610,1683,993,956,603,718,14,9
MAIDI,1729,2072,1413,1486,301,559,15,27
MARPAK,654,878,519,612,106,215,29,51
MULPANI,567,712,487,538,76,169,4,5
MURALI BHANJYANG,1354,1635,1061,1173,261,417,32,45
NALANG,1526,1796,1248,1268,264,505,14,23
NAUBISE,2823,2877,1873,1895,832,881,118,101
NILKANTHA,4016,4288,3333,3130,647,1114,36,44
PHULKHARKA,746,1005,614,732,112,253,20,20
PIDA,2493,2672,1638,1670,815,959,40,43
REE GAUN,1023,1412,754,836,258,553,11,23
SALANG,1113,1323,879,923,212,368,22,32
SALYANKOT,872,1169,688,807,134,272,50,90
SALYANTAR,1493,1794,1237,1279,218,433,38,82
SANGKOSH,1104,1239,941,943,158,284,5,12
SATYADEVI,614,788,469,491,113,245,32,52
SEMJONG,540,713,414,523,119,184,7,6
SERTUNG,625,841,473,476,136,325,16,40
SUNAULA BAZAR,1200,1490,1000,1121,188,355,12,14
TASARPU,1126,1254,787,839,314,370,25,45
THAKRE,1901,2106,1274,1372,569,680,58,54
TIPLING,370,428,261,258,99,162,10,8
TRIPURESWOR,593,684,517,536,76,145,0,3
INSTITUTIONAL,281,11,18,7,262,4,1,0
