VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
AGINCHOK,85,46,39,800,415,385,506,226,280,195,100,95,195,90,105,99,39,60,26,17,9,5,5,0,1,1,0,59,43,16,9,3,6
BAIRENI,341,173,168,4227,2262,1965,1583,863,720,711,367,344,584,337,247,272,155,117,91,61,30,55,45,10,0,0,0,396,238,158,13,8,5
BASERI,28,13,15,1051,537,514,495,230,265,200,98,102,167,106,61,46,17,29,20,13,7,4,3,1,1,1,0,113,76,37,17,9,8
BENIGHAT,286,150,136,3029,1663,1366,1261,649,612,539,285,254,615,333,282,293,148,145,111,80,31,36,29,7,4,4,0,232,142,90,9,6,3
BHUMESTHAN,379,222,157,3491,1942,1549,1092,555,537,399,218,181,347,197,150,186,100,86,33,25,8,18,13,5,4,3,1,222,126,96,11,6,5
BUDHATHUM,48,25,23,1123,517,606,509,235,274,221,123,98,189,102,87,61,26,35,18,12,6,3,3,0,2,2,0,213,91,122,3,1,2
CHAINPUR,171,86,85,1727,846,881,853,363,490,323,153,170,286,165,121,152,74,78,36,27,9,9,9,0,10,3,7,306,126,180,8,5,3
CHHATREDEURALI,163,85,78,1779,900,879,1009,521,488,625,350,275,396,220,176,252,148,104,69,49,20,14,13,1,1,1,0,333,215,118,83,46,37
DARKHA,77,47,30,1532,770,762,740,351,389,368,192,176,207,111,96,52,33,19,9,8,1,4,4,0,0,0,0,195,81,114,22,18,4
DHOLA,114,58,56,1057,537,520,476,206,270,187,97,90,196,105,91,74,43,31,16,12,4,4,4,0,3,0,3,232,113,119,14,9,5
DHUSSA,312,178,134,2323,1254,1069,524,279,245,233,127,106,186,105,81,101,61,40,29,15,14,10,8,2,3,2,1,337,166,171,35,22,13
