VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
ANDUPATTI,70,0,0,576,6,0,1,8
AURAHI,87,2,5,834,1,0,22,10
BAFAI,141,3,1,390,0,0,5,11
BAGHCHAURA,574,6,5,476,0,1,1,6
BAHEDA BELA,322,18,5,769,2,0,1,14
BAHUARBA,35,2,12,820,4,0,0,10
BALABAKHAR,201,7,6,1164,2,0,0,7
BALAHA KATHAL,130,4,0,501,1,1,0,16
BALAHA SADHARA,414,13,2,261,0,0,0,8
BALLAGOTH,53,36,2,557,1,0,2,22
BANINIYA,176,1,3,506,4,0,1,2
BARAMAJHIYA,565,12,5,577,3,0,4,6
BASAHIYA,336,15,100,752,1,0,2,7
BASBITTI,325,3,11,196,0,0,1,0
BATESWOR,699,25,24,378,1,1,0,23
BEGA SHIVAPUR,400,6,103,867,0,0,4,23
BEGADAWAR,2035,11,112,3,98,0,0,22
BHARATPUR,2803,34,34,79,6,0,0,65
BHUCHAKRAPUR,636,8,3,278,5,0,0,12
BHUTAHIPATERWA,136,14,5,735,0,0,0,5
BINDHI,1041,9,51,87,0,0,0,4
BISARMORA,31,6,1,867,0,1,12,10
CHAKKAR,366,21,8,655,3,5,1,19
CHORA KOILPUR,8,2,6,830,0,0,0,8
DHANUSHA GOVINDAPUR,898,11,0,729,0,0,0,19
DEBADIHA,115,18,43,899,0,0,109,30
DEURI PARBAHA,123,13,31,659,1,0,3,6
DEVPURA RUPETHA,1011,15,94,263,1,0,22,28
DHABOULI,165,4,6,1099,1,1,3,38
DHALKEBAR,1569,16,53,319,37,3,8,17
DHANAUJI,187,16,9,1255,0,2,0,46
DHANUSADHAM,1526,1,29,49,2,0,0,29
DIGAMBARPUR,1573,5,1,118,0,1,0,31
DUBARIKOT HATHILETWA,384,13,0,866,3,0,1,23
DUHABI,768,12,15,361,2,3,0,139
EKARAHI,271,6,2,618,0,0,8,1
FULGAMA,472,18,15,1667,3,0,12,6
GHODGHANS,550,11,9,545,0,0,1,6
GODAR,1553,3,15,19,4,0,0,15
GOPALPUR,48,12,1,928,6,0,6,16
GOTH KOHELPUR,229,4,0,421,0,0,0,70
HANSAPUR KATHPULA,141,2,19,700,1,0,1,14
HARIHARPUR,1439,17,59,30,2,0,0,15
HARINE,43,29,4,831,1,0,0,31
HATHIPURHARBARA,219,6,4,488,1,0,27,9
INARWA,165,28,1,423,2,0,1,13
ITAHARWA,30,23,2,770,1,0,0,12
JANAKPUR MUNICIPALITY,5228,378,11669,1537,9,3,28,331
JHATIYAHI,195,32,2,691,1,0,115,32
JHOJI KATAIYA,441,6,2,279,0,0,0,13
KACHURI THERA,294,12,27,715,4,1,1,9
KAJARA RAMAUL,93,7,2,829,5,0,8,9
KANAKPATTI,385,8,47,518,1,1,2,4
KHAJURI CHANHA,458,9,10,580,1,0,0,5
KHARIYANI,86,20,20,1595,3,0,68,45
KURTHA,649,21,59,604,0,1,0,16
LABATOLI,778,26,8,85,0,0,0,11
LAGMAGADHAGUTHI,256,2,16,601,4,0,33,12
LAKHOURI,479,9,8,42,0,0,0,40
LAKKAD,149,11,0,574,1,0,0,13
LAXMINIWAS,560,0,0,24,0,0,1,18
LAXMIPURBAGEWA,382,9,35,799,2,0,3,3
LOHANA,320,28,65,664,4,0,11,90
MAHUWA (PRA. KHE.),328,5,4,467,3,0,2,4
MAHUWA (PRA. KO.),642,9,33,352,2,1,11,6
MAKHANAHA,782,4,44,566,1,0,0,28
MANSHINGPATTI,702,5,3,83,0,2,0,9
MACHIJHITKAIYA,96,12,1,1581,0,0,8,40
MITHILESHWOR MAUWAHI,425,6,13,190,0,0,87,17
MITHILESHWOR NIKAS,267,9,3,850,4,1,18,60
MUKHIYAPATTI MUSAHARNIYA,306,15,1,800,0,1,1,19
NAGARAEEN,546,14,41,423,0,0,0,1
NAKATAJHIJH,1307,3,43,85,4,1,2,19
NANUPATTI,62,0,4,609,0,0,0,2
NAUWAKHOR PRASHAHI,435,3,0,378,0,0,3,23
PACHAHARWA,328,10,9,270,4,0,22,13
PATANUKA,86,5,1,521,0,0,0,13
PATERWA,256,19,4,517,0,0,0,33
PAUDESWOR,223,7,1,880,2,0,2,13
PUSPALPUR,513,3,0,4,0,0,0,4
RAGHUNATHPUR,1210,27,47,1409,1,0,6,32
RAMADAIYA BHAWADI,315,4,17,834,2,0,0,17
SABELA,1019,6,71,510,0,0,3,9
SAKHUWA MAHENDRANAGAR,2136,35,487,706,10,0,30,41
SAPAHI,610,38,20,805,14,2,4,19
SATOSAR,288,23,7,661,2,0,0,105
SHANTIPUR,509,14,6,440,1,0,1,4
GIDDHA,493,12,5,383,5,0,1,28
SINGYAHI MAIDAN,364,22,4,1181,4,0,6,5
SINURJODA,401,5,34,1105,1,0,3,8
SONIGAMA,165,3,10,983,2,0,76,4
SUGA MADHUKARAHI,131,13,6,586,1,0,13,17
SUGA NIKASH,447,5,6,264,0,0,5,5
TARAPATTI SIRSIYA,593,6,7,739,0,2,1,39
THADI JHIJA,443,11,4,818,2,0,0,17
THILLA YADUWA,512,2,6,146,3,0,1,31
TULSI CHAUDA,968,2,2,3,35,0,0,14
TULSIYAHI NIKAS,297,2,7,470,1,1,13,3
TULSIYANI JABDI,267,6,18,649,5,0,1,3
UMAPREMPUR,1591,16,12,522,0,0,0,33
YADUKUSH,289,5,54,794,0,0,1,2
YAGYABHUMI,2574,19,67,444,6,0,2,24
TOTAL,58742,1524,13988,60380,356,36,852,2347
