VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,138249,754777,378538,376239,5.4595476278309425,100.61104776485159
ANDUPATTI,661,3503,1773,1730,5.299546142208775,102.48554913294798
AURAHI,961,5589,2912,2677,5.815816857440167,108.77848337691445
BAFAI,551,2921,1395,1526,5.3012704174228675,91.41546526867627
BAGHCHAURA,1069,5888,2852,3036,5.507951356407858,93.93939393939394
BAHEDA BELA,1131,6983,3737,3246,6.174182139699381,115.12630930375846
BAHUARBA,883,5068,2450,2618,5.739524348810872,93.58288770053476
BALABAKHAR,1387,7820,4013,3807,5.638067772170151,105.41108484370896
BALAHA KATHAL,653,3405,1630,1775,5.214395099540582,91.83098591549296
BALAHA SADHARA,698,4030,1934,2096,5.773638968481375,92.27099236641222
BALLAGOTH,673,4283,2127,2156,6.364041604754829,98.65491651205936
BANINIYA,693,3646,1753,1893,5.261183261183261,92.60433174854728
BARAMAJHIYA,1172,6338,3127,3211,5.407849829351536,97.38399252569293
BASAHIYA,1213,7558,3890,3668,6.23083264633141,106.05234460196293
BASBITTI,536,2948,1407,1541,5.5,91.30434782608695
BATESWOR,1151,6752,3534,3218,5.866203301476976,109.81976382846487
BEGA SHIVAPUR,1403,7102,3581,3521,5.062009978617248,101.70406134620846
BEGADAWAR,2281,12125,6253,5872,5.3156510302498905,106.48841961852862
BHARATPUR,3021,15519,7414,8105,5.137040714995035,91.47439851943246
BHUCHAKRAPUR,942,5176,2616,2560,5.494692144373673,102.18750000000001
BHUTAHIPATERWA,895,4848,2358,2490,5.4167597765363125,94.6987951807229
BINDHI,1192,6945,3407,3538,5.826342281879195,96.29734313171284
BISARMORA,928,4907,2331,2576,5.287715517241379,90.48913043478261
CHAKKAR,1078,6611,3440,3171,6.13265306122449,108.48312835067802
CHORA KOILPUR,854,4713,2283,2430,5.518735362997658,93.95061728395062
DHANUSHA GOVINDAPUR,1657,8847,4283,4564,5.339167169583585,93.84312007011394
DEBADIHA,1214,7008,3614,3394,5.772652388797364,106.48202710665882
DEURI PARBAHA,836,4308,2084,2224,5.15311004784689,93.70503597122301
DEVPURA RUPETHA,1434,7934,3847,4087,5.532775453277545,94.12772204551015
DHABOULI,1317,7292,3576,3716,5.536826119969628,96.23250807319698
DHALKEBAR,2022,10907,5413,5494,5.394164193867458,98.52566436112123
DHANAUJI,1515,8928,4691,4237,5.893069306930693,110.71512862874675
DHANUSADHAM,1636,8662,4004,4658,5.294621026894865,85.95963933018463
DIGAMBARPUR,1729,9395,4775,4620,5.433776749566223,103.35497835497836
DUBARIKOT HATHILETWA,1290,6874,3187,3687,5.328682170542636,86.4388391646325
DUHABI,1300,7021,3622,3399,5.400769230769231,106.56075316269491
EKARAHI,906,4744,2226,2518,5.236203090507726,88.40349483717236
FULGAMA,2193,12143,6039,6104,5.537163702690378,98.935124508519
GHODGHANS,1122,5658,2687,2971,5.042780748663102,90.44092898014136
GODAR,1609,7807,3767,4040,4.852082038533251,93.24257425742574
GOPALPUR,1017,5068,2375,2693,4.983284169124877,88.19160787226143
GOTH KOHELPUR,724,3780,1892,1888,5.220994475138122,100.21186440677967
HANSAPUR KATHPULA,878,5231,2551,2680,5.957858769931663,95.18656716417911
HARIHARPUR,1562,9449,4894,4555,6.049295774647887,107.44237102085621
HARINE,939,5051,2387,2664,5.379126730564431,89.6021021021021
HATHIPURHARBARA,754,4139,1958,2181,5.489389920424403,89.77533241632278
INARWA,633,3337,1641,1696,5.271721958925751,96.75707547169812
ITAHARWA,838,5001,2496,2505,5.9677804295942725,99.64071856287426
JANAKPUR MUNICIPALITY,19183,97776,51838,45938,5.097012980242924,112.84339762288302
JHATIYAHI,1068,5110,2278,2832,4.784644194756554,80.43785310734464
JHOJI KATAIYA,741,4352,2209,2143,5.873144399460189,103.07979468035464
KACHURI THERA,1063,5830,2786,3044,5.48447789275635,91.52431011826543
KAJARA RAMAUL,953,5218,2436,2782,5.475341028331584,87.56290438533429
KANAKPATTI,966,5620,2925,2695,5.817805383022774,108.5343228200371
KHAJURI CHANHA,1063,5974,2796,3178,5.619943555973659,87.97986154814349
KHARIYANI,1837,9998,4715,5283,5.442569406641263,89.2485330304751
KURTHA,1350,7815,4124,3691,5.788888888888889,111.73123814684367
LABATOLI,908,5106,2657,2449,5.6233480176211454,108.49326255614538
LAGMAGADHAGUTHI,924,5330,2661,2669,5.768398268398268,99.70026227051329
LAKHOURI,578,3047,1544,1503,5.271626297577854,102.72787757817699
LAKKAD,748,4091,2093,1998,5.469251336898396,104.75475475475476
LAXMINIWAS,603,3617,1892,1725,5.9983416252072965,109.68115942028986
LAXMIPURBAGEWA,1233,7142,3649,3493,5.792376317923763,104.46607500715717
LOHANA,1182,6927,3486,3441,5.8604060913705585,101.3077593722755
MAHUWA (PRA. KHE.),813,4852,2370,2482,5.968019680196802,95.48751007252217
MAHUWA (PRA. KO.),1056,5782,2880,2902,5.475378787878788,99.24190213645761
MAKHANAHA,1425,7086,3586,3500,4.972631578947368,102.45714285714284
MANSHINGPATTI,804,4385,2134,2251,5.453980099502488,94.80231008440693
MACHIJHITKAIYA,1738,9278,4552,4726,5.3383199079401615,96.31823952602623
MITHILESHWOR MAUWAHI,738,3863,1895,1968,5.234417344173441,96.29065040650406
MITHILESHWOR NIKAS,1212,7154,3839,3315,5.902640264026402,115.80693815987935
MUKHIYAPATTI MUSAHARNIYA,1143,7355,3879,3476,6.434820647419072,111.59378596087457
NAGARAEEN,1025,6197,3241,2956,6.045853658536585,109.64140730717185
NAKATAJHIJH,1464,8543,4450,4093,5.8353825136612025,108.72220864891278
NANUPATTI,677,3572,1699,1873,5.276218611521418,90.71009076348105
NAUWAKHOR PRASHAHI,842,4690,2318,2372,5.5700712589073635,97.72344013490725
PACHAHARWA,656,3777,1891,1886,5.757621951219512,100.26511134676564
PATANUKA,626,3487,1745,1742,5.5702875399361025,100.17221584385763
PATERWA,829,4941,2449,2492,5.9601930036188175,98.27447833065811
PAUDESWOR,1128,6070,2895,3175,5.381205673758865,91.18110236220473
PUSPALPUR,524,2594,1277,1317,4.950381679389313,96.96279422930904
RAGHUNATHPUR,2732,12944,6012,6932,4.7379209370424595,86.72821696480092
RAMADAIYA BHAWADI,1189,7066,3711,3355,5.9428090832632465,110.61102831594636
SABELA,1618,8548,4149,4399,5.283065512978986,94.3168902023187
SAKHUWA MAHENDRANAGAR,3445,17835,9017,8818,5.177068214804064,102.25674756180541
SAPAHI,1512,9017,4689,4328,5.963624338624339,108.34103512014788
SATOSAR,1086,5745,2770,2975,5.290055248618785,93.10924369747899
SHANTIPUR,975,5985,3107,2878,6.138461538461539,107.95691452397497
GIDDHA,927,5287,2633,2654,5.703344120819849,99.2087415222306
SINGYAHI MAIDAN,1586,9300,4578,4722,5.863808322824716,96.95044472681067
SINURJODA,1557,8446,4329,4117,5.424534360950546,105.14938061695409
SONIGAMA,1243,6902,3351,3551,5.552695092518102,94.36778372289496
SUGA MADHUKARAHI,767,4488,2255,2233,5.851368970013038,100.98522167487684
SUGA NIKASH,732,4179,1994,2185,5.709016393442623,91.25858123569795
TARAPATTI SIRSIYA,1387,7832,3894,3938,5.646719538572459,98.88268156424581
THADI JHIJA,1295,7292,3641,3651,5.6308880308880305,99.7261024376883
THILLA YADUWA,701,3517,1546,1971,5.0171184022824535,78.43734145104008
TULSI CHAUDA,1024,5301,2614,2687,5.1767578125,97.28321548195012
TULSIYAHI NIKAS,794,4398,2192,2206,5.53904282115869,99.36536718041704
TULSIYANI JABDI,949,5993,3066,2927,6.315068493150685,104.74888964810387
UMAPREMPUR,2174,11854,5975,5879,5.452621895124195,101.6329307705392
YADUKUSH,1145,6267,2970,3297,5.473362445414847,90.08189262966333
YAGYABHUMI,3136,15645,7562,8083,4.988839285714286,93.5543733762217
