VDC/MUNICIPALITY,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED
ANDUPATTI,644,7,1,2,0,7
AURAHI,830,107,4,1,10,9
BAFAI,474,65,2,1,0,9
BAGHCHAURA,1003,60,0,0,0,6
BAHEDA BELA,913,193,4,7,0,14
BAHUARBA,795,76,1,0,0,11
BALABAKHAR,1155,217,2,4,1,8
BALAHA KATHAL,540,96,0,1,0,16
BALAHA SADHARA,512,162,0,16,0,8
BALLAGOTH,89,548,4,10,0,22
BANINIYA,661,28,1,1,0,2
BARAMAJHIYA,386,769,3,7,1,6
BASAHIYA,853,347,2,4,0,7
BASBITTI,442,92,0,2,0,0
BATESWOR,890,143,48,47,0,23
BEGA SHIVAPUR,1227,141,1,5,6,23
BEGADAWAR,1930,307,14,5,3,22
BHARATPUR,2504,417,7,27,1,65
BHUCHAKRAPUR,790,133,0,6,1,12
BHUTAHIPATERWA,483,404,1,2,0,5
BINDHI,963,210,3,11,1,4
BISARMORA,640,274,1,1,2,10
CHAKKAR,832,205,6,16,0,19
CHORA KOILPUR,546,299,1,0,0,8
DHANUSHA GOVINDAPUR,1234,392,3,9,0,19
DEBADIHA,792,391,1,2,0,28
DEURI PARBAHA,566,256,1,7,0,6
DEVPURA RUPETHA,1193,181,6,22,2,30
DHABOULI,1081,188,1,9,0,38
DHALKEBAR,1601,383,8,13,0,17
DHANAUJI,1268,191,2,3,4,47
DHANUSADHAM,1384,212,0,11,0,29
DIGAMBARPUR,1488,206,1,3,0,31
DUBARIKOT HATHILETWA,528,666,6,67,0,23
DUHABI,862,290,7,2,0,139
EKARAHI,795,104,3,3,0,1
FULGAMA,1510,665,4,6,2,6
GHODGHANS,934,167,6,9,0,6
GODAR,883,622,0,89,0,15
GOPALPUR,915,59,3,25,0,15
GOTH KOHELPUR,330,324,0,0,0,70
HANSAPUR KATHPULA,749,112,1,2,0,14
HARIHARPUR,1160,383,0,2,2,15
HARINE,313,526,5,66,0,29
HATHIPURHARBARA,545,198,0,2,0,9
INARWA,155,441,1,21,2,13
ITAHARWA,42,771,1,12,0,12
JANAKPUR MUNICIPALITY,17924,708,106,26,76,343
JHATIYAHI,256,770,0,10,0,32
JHOJI KATAIYA,585,133,1,9,0,13
KACHURI THERA,898,147,2,4,3,9
KAJARA RAMAUL,657,286,0,1,0,9
KANAKPATTI,877,72,10,3,0,4
KHAJURI CHANHA,795,258,2,3,0,5
KHARIYANI,642,1139,8,3,0,45
KURTHA,1097,216,6,7,6,18
LABATOLI,657,238,1,1,0,11
LAGMAGADHAGUTHI,653,255,1,2,1,12
LAKHOURI,494,17,7,1,19,40
LAKKAD,142,581,2,10,0,13
LAXMINIWAS,526,52,1,4,2,18
LAXMIPURBAGEWA,1016,205,2,1,6,3
LOHANA,650,435,1,6,0,90
MAHUWA (PRA. KHE.),473,330,0,6,0,4
MAHUWA (PRA. KO.),780,267,0,2,1,6
MAKHANAHA,1381,11,1,4,0,28
MANSHINGPATTI,651,131,0,13,0,9
MACHIJHITKAIYA,882,713,1,101,1,40
MITHILESHWOR MAUWAHI,520,201,0,0,0,17
MITHILESHWOR NIKAS,787,354,4,5,1,61
MUKHIYAPATTI MUSAHARNIYA,777,340,1,6,0,19
NAGARAEEN,773,243,1,7,0,1
NAKATAJHIJH,1237,202,2,0,4,19
NANUPATTI,574,100,1,1,0,1
NAUWAKHOR PRASHAHI,806,9,4,0,0,23
PACHAHARWA,311,333,2,0,0,10
PATANUKA,162,316,0,134,0,14
PATERWA,0,784,2,10,0,33
PAUDESWOR,273,837,0,4,0,14
PUSPALPUR,396,118,0,6,0,4
RAGHUNATHPUR,1122,1533,8,37,0,32
RAMADAIYA BHAWADI,817,351,1,2,2,16
SABELA,1318,286,2,3,0,9
SAKHUWA MAHENDRANAGAR,2803,584,4,13,0,41
SAPAHI,1075,337,10,59,13,18
SATOSAR,674,304,1,2,0,105
SHANTIPUR,777,187,0,3,4,4
GIDDHA,433,453,2,11,0,28
SINGYAHI MAIDAN,9,1192,7,371,2,5
SINURJODA,1407,137,0,3,1,9
SONIGAMA,1061,174,1,3,0,4
SUGA MADHUKARAHI,192,536,4,18,1,16
SUGA NIKASH,450,277,0,0,0,5
TARAPATTI SIRSIYA,1207,136,3,3,0,38
THADI JHIJA,822,451,1,4,0,17
THILLA YADUWA,622,40,4,3,1,31
TULSI CHAUDA,940,58,4,5,3,14
TULSIYAHI NIKAS,706,82,1,2,0,3
TULSIYANI JABDI,562,376,5,3,0,3
UMAPREMPUR,1764,361,5,10,0,34
YADUKUSH,986,150,4,3,0,2
YAGYABHUMI,2397,683,5,20,7,24
TOTAL,101226,32517,407,1529,192,2354
