VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ALAMPU,410,3,0,0
BABARE,785,5,1,3
BHEDAPU,914,1,0,3
BHIMESHWOR MUNICIPALITY,4766,1223,43,44
BHIRKOT,599,2,0,1
BHUSAFEDA,511,1,1,6
BIGU,396,2,0,8
BOCHA,768,6,0,1
BULUNG,503,2,3,2
CHANKHU,319,24,0,4
CHHETRAPA,575,3,0,2
CHILANKHA,652,6,0,3
CHYAMA,597,7,0,3
DANDAKHARKA,902,0,0,44
TAMCHET DUDHPOKHARI,588,2,1,5
FASKU,1091,22,0,4
GAIRIMUDI,1128,0,0,1
GAURI SANKAR,268,2,1,16
GHYANG SUKATHOKAR,1011,14,0,7
HAWA,378,2,1,0
JAPHE,802,15,1,6
JHULE,541,2,2,2
JHYAKU,992,1,1,4
JIRI,1569,223,100,7
JUNGU,935,1,0,2
KABHRE,1091,81,9,10
KALINCHOWK,532,0,1,8
KATAKUTI,930,24,0,1
KHARE,386,41,1,4
KHOPACHAGU,463,10,2,1
LADUK,835,86,3,4
LAKURIDANDA,911,9,3,1
LAMABAGAR,436,78,9,13
LAMIDANDA,946,78,8,13
LAPILANG,1197,6,1,2
MAGAPAUWA,775,4,0,1
MALI,677,6,9,1
MALU,565,16,1,2
MARBU,322,8,0,1
MELUNG,803,18,1,14
MIRGE,873,3,2,1
NAMDU,1234,14,1,51
ORANG,477,9,0,2
PAWATI,1080,18,0,11
SAHARE,672,45,80,3
SAILUNGESWOR,962,24,1,4
SUNKHANI,1153,18,14,9
SUNDRAWATI,650,16,1,10
SURI,702,23,4,5
SUSPA KSHYAMAWATI,840,11,8,5
SYAMA,423,7,1,9
THULOPATAL,807,13,0,2
TOTAL,42742,2235,315,366
