VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
BANJA KAKANI,786,1,3,0,0,0,8
BANLEK,1001,20,12,0,0,2,2
BARCHHEN,757,23,104,59,0,0,7
BASUDEVI,695,3,0,0,0,0,8
BHUMIRAJMADAU,881,22,0,1,0,0,7
CHAWARA CHAUTARA,520,1,2,0,0,1,2
CHHAPALI,607,3,2,0,0,0,11
CHHATIWAN,503,56,170,3,0,6,4
DAHAKALIKASTHAN,433,4,0,0,0,0,10
DAUD,1160,5,0,0,0,0,8
DHANGLAGAU,463,6,201,4,0,0,1
DHIRKAMANDAU,322,1,0,0,0,0,1
DIPAYAL SILGADHI MUNICIPALITY,4136,970,121,21,5,203,37
DURGAMADAU,845,6,5,0,0,0,2
GADASERA,521,4,7,1,0,0,5
GAGUDA,574,3,2,0,0,0,5
GAIHRAGAU,720,4,1,0,0,0,0
GANJARI,487,4,3,0,0,0,10
GHANTESWOR,319,89,91,3,1,0,4
GIRICHAUKA,773,4,3,0,0,0,4
JIJODAMANDAU,391,0,0,0,0,1,1
KADAMADAUN,829,18,6,0,0,0,7
KALENA,532,1,3,0,0,0,6
KALIKASTHAN,1051,3,1,2,1,1,8
KANACHAUR,361,0,10,1,0,0,2
KAPALLEKI,718,30,2,0,0,0,3
KEDAR AKHADA,281,0,8,0,0,0,3
KHATIWADA,1169,18,12,1,0,0,7
KHIRSAIN,598,23,3,0,0,0,6
LADAGADA,863,2,0,0,0,0,6
LAMIKHAL,839,11,1,0,0,0,2
LANA KEDARESWOR,551,1,7,0,0,0,7
LATAMANDAU,1074,20,3,0,0,5,2
LAXMI NAGAR,834,27,45,4,0,0,1
MAHADEVSTHAN,767,9,0,0,0,1,21
MANNAKAPADI,518,0,10,0,0,0,0
MUDABHARA,960,4,1,0,0,0,5
MUDHEGAU,441,15,4,2,0,0,0
NIRAULI,504,1,20,3,0,0,0
PACHANALI,603,28,3,0,0,1,12
POKHARI,845,16,2,0,0,0,9
RANAGAU,565,12,5,0,0,0,14
SANAGAU,540,16,0,0,0,0,2
SARASWOTINAGAR,517,15,49,0,0,0,1
SATPHARI,511,2,2,0,0,0,1
SIMCHAUR,480,3,23,6,0,1,1
TIJALI,437,2,0,0,0,0,2
TIKHATAR,1182,0,0,0,0,0,6
TOLENI,1134,2,8,0,0,0,10
WAGALEK,806,21,0,0,0,0,16
WARPATA,779,6,71,1,0,0,1
TOTAL,38183,1535,1026,112,7,222,298
