VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BANJA KAKANI,851,1118,612,636,226,471,13,11
BANLEK,929,1259,757,775,171,483,1,1
BARCHHEN,1334,1439,1049,994,271,418,14,27
BASUDEVI,645,848,563,520,78,317,4,11
BHUMIRAJMADAU,1020,1185,744,757,246,356,30,72
CHAWARA CHAUTARA,615,727,494,486,120,237,1,4
CHHAPALI,636,878,448,405,185,458,3,15
CHHATIWAN,900,932,706,659,189,259,5,14
DAHAKALIKASTHAN,476,639,333,306,129,322,14,11
DAUD,1192,1568,846,812,281,663,65,93
DHANGLAGAU,929,978,638,570,285,398,6,10
DHIRKAMANDAU,412,498,297,299,115,193,0,6
DIPAYAL SILGADHI MUNICIPALITY,4511,5381,3776,3674,659,1595,76,112
DURGAMADAU,754,987,646,619,105,366,3,2
GADASERA,610,706,466,495,121,188,23,23
GAGUDA,671,787,482,407,167,317,22,63
GAIHRAGAU,708,916,572,523,135,389,1,4
GANJARI,486,622,357,369,102,220,27,33
GHANTESWOR,629,695,455,483,172,211,2,1
GIRICHAUKA,774,1072,566,512,192,543,16,17
JIJODAMANDAU,316,444,273,293,40,138,3,13
KADAMADAUN,771,933,552,461,181,366,38,106
KALENA,635,707,378,301,250,390,7,16
KALIKASTHAN,988,1351,722,696,235,618,31,37
KANACHAUR,432,530,332,359,98,169,2,2
KAPALLEKI,770,1008,601,634,158,331,11,43
KEDAR AKHADA,406,469,267,272,103,123,36,74
KHATIWADA,1147,1453,898,837,237,591,12,25
KHIRSAIN,552,710,444,467,105,240,3,3
LADAGADA,931,1076,654,602,266,467,11,7
LAMIKHAL,845,1113,624,600,216,502,5,11
LANA KEDARESWOR,793,856,594,533,183,302,16,21
LATAMANDAU,948,1246,783,754,161,485,4,7
LAXMI NAGAR,1050,1185,731,770,241,332,78,83
MAHADEVSTHAN,770,1022,561,519,188,473,21,30
MANNAKAPADI,833,875,609,556,213,295,11,24
MUDABHARA,912,1238,791,809,117,423,4,6
MUDHEGAU,439,603,380,434,57,156,2,13
NIRAULI,718,746,545,525,166,216,7,5
PACHANALI,536,768,461,532,72,233,3,3
POKHARI,862,1096,604,600,249,481,9,15
RANAGAU,574,772,478,533,86,228,10,11
SANAGAU,527,617,423,462,101,150,3,5
SARASWOTINAGAR,684,827,517,564,167,257,0,6
SATPHARI,628,734,438,403,184,327,6,4
SIMCHAUR,723,758,549,515,170,242,4,1
TIJALI,416,504,364,337,49,163,3,4
TIKHATAR,1204,1545,976,1049,220,476,8,20
TOLENI,1295,1487,972,825,309,631,14,31
WAGALEK,892,1088,571,445,317,636,4,7
WARPATA,690,922,519,530,171,391,0,1
INSTITUTIONAL,1905,306,1149,259,749,47,7,0
