VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
BARAI,129,82,73,0,0,0,0,0,40,0,0,0,0,0,2
BARGAUN,30,139,123,23,2,1,0,0,114,0,0,0,82,0,0
CHHIPRA,95,118,106,0,0,0,0,1,74,0,0,0,2,0,1
DANDAFAYA,146,221,195,9,0,0,0,5,183,0,0,0,23,0,1
DARMA,197,189,143,1,0,0,0,0,142,0,0,0,0,0,0
GOTHI,121,70,47,0,0,0,0,0,52,0,0,0,10,0,0
HEPKA,16,187,82,0,0,0,0,1,56,0,0,0,176,0,1
JAIR,252,132,94,2,0,0,0,0,101,0,0,0,0,0,0
KALIKA,290,242,152,1,0,0,0,0,180,0,0,0,14,0,1
KHAGALGAUN,16,203,183,9,0,0,0,0,136,0,0,0,171,0,0
KHARPUNATH,137,125,108,2,1,0,0,0,90,0,0,0,3,0,3
LALI,99,205,194,12,6,0,0,0,157,0,0,0,0,0,1
LIMI,34,147,35,6,0,0,0,1,0,0,0,0,146,0,0
MADANA,143,142,131,1,0,1,0,0,107,0,0,0,2,0,0
MAILA,294,434,362,1,0,0,0,0,262,0,0,0,0,0,13
MELCHHAM,80,83,69,1,0,0,0,0,66,0,0,0,0,0,0
MIMI,113,80,46,0,0,0,0,0,59,0,0,0,0,0,0
MUCHU,58,173,88,35,16,2,0,0,69,0,0,0,64,0,0
RAYA,182,164,147,0,0,1,0,0,119,0,0,0,0,0,2
RODIKOT,302,157,121,0,0,2,0,0,117,0,0,0,3,0,0
SARKEEDEU,131,264,241,2,0,0,0,2,88,0,0,0,0,0,1
SAYA,119,70,33,1,0,0,0,0,61,0,0,0,0,0,0
SHREE NAGAR,334,253,239,0,0,1,0,0,197,0,0,0,0,0,1
SHREEMASTHA,99,83,52,0,0,1,0,0,56,0,0,0,0,0,1
SIMIKOT,181,1057,757,566,498,116,64,132,920,0,0,0,12,0,11
SYADA,162,168,137,6,4,0,0,1,85,0,0,1,10,0,7
THEHE,238,205,139,12,11,0,0,0,119,0,0,1,42,0,0
