VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
BARAI,36,0,0,0,1,55,120,1
BARGAUN,2,2,5,0,0,160,0,0
CHHIPRA,1,2,1,0,0,210,0,0
DANDAFAYA,0,10,6,0,1,351,0,0
DARMA,1,7,3,0,0,375,0,0
GOTHI,13,0,3,0,19,156,0,0
HEPKA,0,2,2,0,0,200,0,0
JAIR,0,3,0,0,0,381,0,0
KALIKA,3,11,5,0,1,513,0,0
KHAGALGAUN,0,5,0,0,0,214,0,0
KHARPUNATH,0,0,0,1,0,264,0,0
LALI,1,8,3,1,1,291,0,0
LIMI,0,0,0,0,0,181,0,0
MADANA,5,6,5,0,3,266,0,0
MAILA,2,4,12,1,2,718,0,2
MELCHHAM,19,4,2,0,0,138,0,0
MIMI,0,0,0,0,1,192,0,0
MUCHU,2,15,3,0,1,210,0,0
RAYA,1,0,1,0,5,340,0,1
RODIKOT,0,2,0,0,81,376,0,0
SARKEEDEU,2,19,3,0,0,371,0,1
SAYA,4,7,23,0,0,155,0,0
SHREE NAGAR,0,4,1,0,4,579,0,0
SHREEMASTHA,1,0,7,0,0,174,0,1
SIMIKOT,4,668,2,1,0,569,0,5
SYADA,1,1,1,0,0,328,0,6
THEHE,30,2,6,1,0,404,0,0
TOTAL,128,782,94,5,120,8171,120,17
