VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
AMCHOK,117,847,734,239,10,8,0,7,535,3,15,3,1,0,27
BAJHO,494,1476,1150,168,3,5,0,42,1074,3,28,106,2,2,7
BARBOTE,106,1304,983,838,139,67,33,96,1145,22,63,6,2,16,4
CHAMAITA,189,1040,792,337,46,13,2,17,858,7,28,16,4,0,1
CHISAPANI,138,1053,829,380,14,15,0,45,759,2,24,12,3,4,13
CHULACHULI,466,3389,2192,1032,79,45,19,62,2488,5,165,2491,4,22,50
DANABARI,602,2531,1802,1002,135,33,8,150,1638,22,134,356,9,43,4
DHUSENI,156,748,583,206,76,10,0,13,617,2,13,0,1,0,4
EBHANG,142,903,735,173,5,11,0,20,643,4,8,1,0,0,16
EKTAPPA,141,893,762,104,2,7,3,19,723,0,21,2,0,0,2
ERAUTAR,133,822,612,254,11,5,1,19,683,3,40,91,2,2,1
GAJURMUKHI,87,602,490,173,9,2,0,9,371,0,4,2,1,0,2
GODAK,117,1018,803,578,53,19,4,3,744,4,28,1,1,3,2
GORKHE,98,1007,733,674,192,20,1,16,780,1,5,1,0,1,17
ILAM MUNICIPALITY,211,4489,3259,2987,1251,724,282,980,4023,60,431,42,21,323,32
JAMUNA,94,683,487,284,42,7,2,2,554,7,1,3,0,3,0
JIRMALE,185,865,713,234,13,2,1,18,535,9,25,41,2,0,19
JITPUR,202,1178,893,325,29,31,3,35,940,0,13,3,1,0,60
JOGMAI,57,668,564,231,12,4,0,12,530,4,8,2,0,0,1
KANYAM,101,1590,1164,1091,242,44,5,61,1380,16,90,3,8,5,24
KOLBUNG,104,976,703,462,36,11,1,38,711,4,48,6,3,10,54
LAXMIPUR,231,1782,1270,684,34,22,2,35,1389,9,57,37,3,1,22
LUMDE,79,465,351,107,1,3,0,6,405,1,13,2,0,0,0
MABU,83,628,484,222,10,8,0,4,499,5,7,0,0,0,23
MAHAMAI,488,1710,1425,124,4,7,0,20,988,3,33,178,1,0,4
MAIMAJHUWA,88,636,467,237,16,2,0,1,370,1,6,0,0,0,34
MAIPOKHARI,76,851,700,334,39,16,1,5,610,2,25,0,6,1,4
MANGALBARE,123,1345,1113,774,243,62,17,28,1162,5,66,22,3,6,38
NAMSALING,147,1142,797,572,35,8,2,4,999,4,14,1,1,2,10
NAYA BAZAR,74,995,813,435,90,10,2,35,853,1,14,1,0,0,21
PANCHAKANYA,197,1711,1369,1013,237,56,17,109,1328,17,86,10,13,6,3
PASUPATI NAGAR,109,1871,1327,1143,688,49,11,128,1644,34,57,4,2,22,0
PHAKPHOK,125,902,670,278,32,12,3,28,782,4,32,1,3,0,6
PHIKAL BAZAR,114,2541,1889,1655,612,137,21,251,2275,51,193,13,6,39,36
PHUYATAPPA,140,700,613,157,9,3,0,43,544,0,20,0,0,0,0
PUWAMAJHUWA,50,569,437,278,32,7,0,26,434,2,25,1,0,0,15
PYANG,49,554,490,108,3,6,1,2,490,5,7,0,0,0,1
SAKFARA,89,653,496,269,44,20,0,40,452,2,36,165,3,9,2
SAKHEJUNG,84,848,614,602,48,35,11,41,722,12,39,5,7,1,0
SAMALBUNG,169,915,744,382,15,10,2,2,437,2,19,0,1,0,15
SANGRUMBA,123,1075,811,474,13,13,4,7,936,4,39,9,2,0,12
SHANTI DANDA,56,1043,815,745,47,9,1,0,953,2,23,3,0,1,2
SHANTIPUR,129,1062,825,276,3,9,0,20,843,1,46,165,1,0,1
SHREE ANTU,43,1033,761,725,104,16,1,5,738,3,36,0,1,0,10
SIDDHITHUMKA,85,693,646,219,5,8,1,2,595,2,19,3,1,0,0
SOYAK,69,649,526,207,28,9,4,12,524,0,12,2,0,0,9
SOYANG,80,964,731,313,8,10,1,17,845,0,15,12,2,1,20
SULUBUNG,41,757,636,391,11,11,0,12,636,1,6,0,3,0,1
SUMBEK,46,543,460,292,0,10,0,31,462,0,10,0,0,0,2
