VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AMCHOK,907,1032,723,770,165,239,19,23
BAJHO,2230,2217,1584,1587,624,608,22,22
BARBOTE,1232,1147,939,869,286,270,7,8
CHAMAITA,1173,1258,884,939,286,315,3,4
CHISAPANI,1145,1206,820,839,317,354,8,13
CHULACHULI,3413,3791,2435,2531,945,1201,33,59
DANABARI,3027,3356,2161,2304,803,1002,63,50
DHUSENI,790,862,595,621,194,237,1,4
EBHANG,1150,1235,882,905,265,325,3,5
EKTAPPA,884,942,723,748,161,193,0,1
ERAUTAR,888,968,624,668,247,271,17,29
GAJURMUKHI,691,584,565,429,116,146,10,9
GODAK,971,940,720,690,232,223,19,27
GORKHE,821,918,548,564,231,309,42,45
ILAM MUNICIPALITY,2949,3037,2224,2173,650,790,75,74
JAMUNA,585,619,421,443,152,159,12,17
JIRMALE,927,965,648,667,259,278,20,20
JITPUR,1264,1378,980,1035,277,340,7,3
JOGMAI,666,653,377,414,280,233,9,6
KANYAM,1304,1333,931,891,355,421,18,21
KOLBUNG,934,955,608,661,294,253,32,41
LAXMIPUR,1758,1866,1302,1320,430,499,26,47
LUMDE,433,464,337,323,96,141,0,0
MABU,593,663,406,423,168,221,19,19
MAHAMAI,2416,2667,1685,1825,702,803,29,39
MAIMAJHUWA,685,688,471,453,206,226,8,9
MAIPOKHARI,918,936,674,652,240,273,4,11
MANGALBARE,1226,1272,994,944,196,286,36,42
NAMSALING,1013,1126,776,819,232,305,5,2
NAYA BAZAR,855,877,634,617,177,213,44,47
PANCHAKANYA,1571,1717,1143,1179,419,525,9,13
PASUPATI NAGAR,1331,1474,957,1039,366,420,8,15
PHAKPHOK,1014,1092,773,807,238,281,3,4
PHIKAL BAZAR,1994,1997,1384,1414,528,518,82,65
PHUYATAPPA,621,715,506,521,101,177,14,17
PUWAMAJHUWA,562,588,395,380,160,196,7,12
PYANG,484,512,349,357,133,150,2,5
SAKFARA,670,770,452,522,215,242,3,6
SAKHEJUNG,764,802,589,596,169,202,6,4
SAMALBUNG,865,889,563,591,296,288,6,10
SANGRUMBA,1102,1180,840,821,232,324,30,35
SHANTI DANDA,870,947,652,643,213,296,5,8
SHANTIPUR,941,1103,728,832,201,259,12,12
SHREE ANTU,723,761,534,522,181,228,8,11
SIDDHITHUMKA,710,734,542,545,158,179,10,10
SOYAK,633,671,483,463,139,193,11,15
SOYANG,926,912,719,655,200,253,7,4
SULUBUNG,584,644,444,453,136,190,4,1
SUMBEK,453,473,338,325,105,136,10,12
INSTITUTIONAL,153,24,24,7,129,17,0,0
