VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
ANARMANI,192,7543,377,1962,21,62,78
ARJUNDHARA,60,1719,473,2192,2,108,6
BAHUNDANGI,167,1303,796,3075,8,92,38
BAIGUNDHURA,19,174,131,912,7,5,3
BALUBADI,4,109,63,1034,3,30,3
BANIYANI,4,338,33,1027,0,40,2
BHADRAPUR MUNICIPALITY,147,2840,208,851,7,128,67
BUDHABARE,24,2236,598,2128,2,137,145
CHAKCHAKI,94,593,33,1457,3,4,12
CHANDRAGADHI,196,2656,184,1409,3,51,15
CHARPANE,67,2804,82,1085,7,98,15
DAMAK MUNICIPALITY,125,9538,1889,5837,46,352,317
DANGIBARI,20,493,71,1130,1,39,4
DHAIJAN,41,817,120,1076,1,135,14
DHARAMPUR,98,474,620,1968,8,34,16
DUWAGADHI,22,1416,38,1089,4,12,10
GARAMANI,152,1709,460,2309,7,73,15
GAURADAHA,267,1132,595,1462,4,30,24
GAURIGANJ,22,322,109,1821,1,16,11
GHAILADUBBA,93,1194,226,1362,0,85,9
GHERABARI,6,89,30,1330,0,9,16
GOLDHAP,33,502,113,955,8,83,7
HALDIBARI,28,451,130,1161,1,19,2
JALTHAL,29,474,434,1793,1,183,8
JUROPANI,68,512,173,1780,6,41,9
JYAMIRGADHI,30,722,66,1216,1,35,6
KECHANA,8,168,13,1087,0,7,1
KHAJURGACHHI,17,227,86,1689,0,10,7
KHUDUNABARI,16,499,1064,1788,1,69,20
KOHABARA,37,177,227,1818,3,72,9
KOROBARI,45,43,27,1123,2,18,2
KUMARKHOD,24,158,78,1633,2,27,9
LAKHANPUR,113,1248,607,2608,1,82,36
MAHABHARA,18,119,70,1312,5,11,7
MAHARANIJHODA,10,360,386,1600,2,8,7
MAHESHPUR,24,799,134,1870,0,15,11
MECHINAGAR MUNICIPALITY,117,7516,427,4974,6,91,50
PANCHGACHHI,143,250,311,1554,3,105,9
PATHAMARI,5,74,15,839,2,15,5
PATHARIYA,132,385,26,1729,6,47,8
PRITHIVINAGAR,17,1108,78,2416,1,27,8
RAJGADH,15,397,186,2757,0,80,9
SANISCHARE,140,2509,435,2444,4,61,13
SATASIDHAM,67,1571,1132,3166,9,86,41
SHANTINAGAR,117,1077,402,2507,1,104,20
SHARANAMATI,16,501,111,2286,2,160,16
SHIVAGANJ,166,595,498,1661,3,88,19
SURUNGA,72,2994,528,2717,3,116,27
TAGHANDUBBA,57,198,125,1667,1,20,7
TOPGACHHI,71,1193,973,3252,18,31,23
TOTAL,3455,66326,15991,93918,227,3251,1216
