VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ANARMANI,5792,4215,118,110
ARJUNDHARA,4110,384,10,56
BAHUNDANGI,5250,119,8,102
BAIGUNDHURA,1161,25,1,64
BALUBADI,1216,4,1,25
BANIYANI,1377,51,2,14
BHADRAPUR MUNICIPALITY,3123,889,173,63
BUDHABARE,4574,611,6,79
CHAKCHAKI,2150,29,3,14
CHANDRAGADHI,3806,569,64,75
CHARPANE,2798,1255,70,35
DAMAK MUNICIPALITY,12375,4979,396,354
DANGIBARI,1702,24,2,30
DHAIJAN,2053,92,16,43
DHARAMPUR,3019,103,2,94
DUWAGADHI,2047,450,35,59
GARAMANI,4358,118,71,178
GAURADAHA,3052,314,13,135
GAURIGANJ,2234,60,0,8
GHAILADUBBA,2539,211,58,161
GHERABARI,1463,3,8,6
GOLDHAP,1622,48,7,24
HALDIBARI,1592,57,54,89
JALTHAL,2693,50,6,173
JUROPANI,2494,52,1,42
JYAMIRGADHI,1759,21,75,221
KECHANA,1270,1,2,11
KHAJURGACHHI,1934,89,4,9
KHUDUNABARI,3283,138,4,32
KOHABARA,2206,29,0,108
KOROBARI,1176,3,0,81
KUMARKHOD,1868,25,6,32
LAKHANPUR,3952,368,6,369
MAHABHARA,1503,17,3,19
MAHARANIJHODA,2094,96,1,182
MAHESHPUR,2670,111,44,28
MECHINAGAR MUNICIPALITY,10540,2100,417,124
PANCHGACHHI,2304,39,9,23
PATHAMARI,953,0,0,2
PATHARIYA,2186,35,66,46
PRITHIVINAGAR,3446,96,28,85
RAJGADH,3309,71,2,62
SANISCHARE,4747,533,195,131
SATASIDHAM,5420,518,68,66
SHANTINAGAR,3960,88,120,60
SHARANAMATI,3013,57,0,22
SHIVAGANJ,2767,150,15,98
SURUNGA,5599,751,21,86
TAGHANDUBBA,2045,19,1,10
TOPGACHHI,4977,336,39,209
TOTAL,157581,20403,2251,4149
