VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ANARMANI,7537,7670,5586,5395,1902,2221,49,54
ARJUNDHARA,3439,3841,2583,2682,846,1156,10,3
BAHUNDANGI,4000,4576,3049,3068,868,1401,83,107
BAIGUNDHURA,951,1053,740,735,209,314,2,4
BALUBADI,1027,1150,782,711,244,438,1,1
BANIYANI,1145,1337,840,852,274,426,31,59
BHADRAPUR MUNICIPALITY,2986,3173,2210,2145,729,975,47,53
BUDHABARE,3814,3892,2919,2805,870,1059,25,28
CHAKCHAKI,1783,2199,1316,1369,409,752,58,78
CHANDRAGADHI,2977,3236,2248,2293,670,873,59,70
CHARPANE,3032,3137,2296,2174,723,948,13,15
DAMAK MUNICIPALITY,12128,13074,9382,9390,2683,3561,63,123
DANGIBARI,1337,1565,994,1056,335,493,8,16
DHAIJAN,1704,1972,1272,1386,415,549,17,37
DHARAMPUR,2312,2670,1851,1851,438,795,23,24
DUWAGADHI,1802,2006,1399,1372,397,618,6,16
GARAMANI,3828,4062,2758,2722,1045,1320,25,20
GAURADAHA,2348,2611,1865,1831,449,742,34,38
GAURIGANJ,2077,2332,1422,1431,649,891,6,10
GHAILADUBBA,2206,2412,1654,1656,536,734,16,22
GHERABARI,1387,1609,891,941,490,660,6,8
GOLDHAP,1216,1378,974,972,230,397,12,9
HALDIBARI,1374,1613,1023,1020,343,579,8,14
JALTHAL,2369,2745,1801,1739,550,965,18,41
JUROPANI,2012,2188,1446,1443,550,724,16,21
JYAMIRGADHI,1973,2131,1357,1326,600,781,16,24
KECHANA,1208,1361,759,699,394,535,55,127
KHAJURGACHHI,1927,2000,1289,1172,623,823,15,5
KHUDUNABARI,2590,3015,2004,2100,578,897,8,18
KOHABARA,1870,2071,1295,1286,515,727,60,58
KOROBARI,1189,1389,797,805,382,572,10,12
KUMARKHOD,2048,2172,1379,1250,655,907,14,15
LAKHANPUR,3396,3752,2632,2547,708,1146,56,59
MAHABHARA,1260,1441,903,868,352,563,5,10
MAHARANIJHODA,1589,1879,1245,1297,315,537,29,45
MAHESHPUR,2610,2798,1809,1655,790,1126,11,17
MECHINAGAR MUNICIPALITY,9796,10747,7181,7256,2559,3419,56,72
PANCHGACHHI,1927,2203,1427,1413,467,725,33,65
PATHAMARI,883,1112,620,632,248,457,15,23
PATHARIYA,1810,2108,1375,1365,418,724,17,19
PRITHIVINAGAR,2544,3006,2022,2070,511,917,11,19
RAJGADH,2901,3264,2192,2122,667,1071,42,71
SANISCHARE,4275,4631,3247,3257,1011,1348,17,26
SATASIDHAM,4335,4752,3351,3326,933,1346,51,80
SHANTINAGAR,3418,3889,2444,2621,900,1164,74,104
SHARANAMATI,3015,3197,1977,1875,1027,1310,11,12
SHIVAGANJ,2315,2616,1773,1867,520,722,22,27
SURUNGA,4532,5134,3527,3654,999,1472,6,8
TAGHANDUBBA,2228,2354,1344,1264,787,973,97,117
TOPGACHHI,3724,4279,2954,3028,759,1241,11,10
INSTITUTIONAL,153,24,24,7,129,17,0,0
