VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BADKI,1004,1171,774,682,226,483,4,6
BIRAT,767,847,533,439,233,407,1,1
BUMRAMADICHAUR,271,287,167,150,100,132,4,5
CHANDAN NATH,1646,1858,1298,1246,335,593,13,19
CHHUMCHAUR,632,654,395,283,224,351,13,20
DEPALGAUN,470,574,364,382,103,188,3,4
DHAPA,799,893,652,585,145,307,2,1
DILLICHAUR,1086,1180,733,596,344,580,9,4
GARJYANGKOT,868,1044,699,679,157,339,12,26
GHODE MAHADEV,579,594,436,286,142,283,1,25
GUTHICHAUR,764,873,443,462,320,411,1,0
HANKU,448,502,364,346,75,137,9,19
KALIKAKHETU,672,766,494,477,177,288,1,1
KANAKASUNDARI,636,741,468,425,167,315,1,1
KARTIK SWAMI,445,425,359,310,79,110,7,5
KUDARI,1077,1199,873,781,202,418,2,0
LAMRA,609,631,491,448,112,183,6,0
RARALIHI,594,643,441,367,153,275,0,1
MAHABAIPATHARKHOLA,697,748,552,526,143,216,2,6
MAHAT,651,730,533,536,115,182,3,12
MALIKABOTA,421,417,317,248,92,159,12,10
MALIKATHANTA,812,887,622,517,187,368,3,2
NARAKOT,769,839,649,581,118,257,2,1
PANDAWAGUFA,826,953,588,560,232,386,6,7
PATARASI,897,973,498,325,383,615,16,33
PATMARA,692,829,496,495,192,332,4,2
SANIGAUN,1062,1151,801,629,235,468,26,54
TALIUM,998,1170,750,768,237,376,11,26
TAMTI,1072,1098,694,544,357,517,21,37
TATOPANI,1071,1231,802,767,244,426,25,38
INSTITUTIONAL,386,74,86,70,300,4,0,0
