VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
BALIYA,9116,10202,7186,7103,1706,2798,224,301
BASAUTI,1276,1495,788,864,469,603,19,28
BELADEVIPUR,2545,2913,1666,1718,853,1142,26,53
BHAJANI,3422,3493,2273,2093,1096,1334,53,66
BONIYA,2782,3276,2062,2161,681,1066,39,49
CHUHA,4432,5159,3300,3403,1067,1661,65,95
CHAUMALA,6020,6877,4661,4622,1331,2233,28,22
DHANSINGHAPUR,1975,2280,1420,1493,489,696,66,91
DARAKH,3944,4276,2884,2911,1029,1309,31,56
DHANGADHI MUNICIPALITY,20609,20169,16198,14347,4155,5466,256,356
DODODHARA,4485,5001,3241,3185,1112,1575,132,241
DURGAULI,2901,3377,2164,2276,639,967,98,134
GADARIYA,2437,2639,1675,1737,719,858,43,44
GETA,4151,4279,3084,2896,955,1223,112,160
GODAWARI,3407,4117,2577,2654,789,1400,41,63
HASULIYA,2946,3275,1967,1981,918,1178,61,116
JANAKINAGAR,1231,1301,897,853,330,444,4,4
JOSHIPUR,4944,5134,3398,3261,1496,1802,50,71
KHAILAD,2726,3035,1867,1934,844,1084,15,17
KHAIRALA,1051,1153,550,481,480,648,21,24
KOTA TULSIPUR,2984,3283,2045,2102,923,1161,16,20
LALBOJHI,2703,2805,1773,1761,878,964,52,80
MALAKHETI,5042,5462,3883,3680,1098,1712,61,70
MASURIYA,5002,5443,3522,3515,1360,1782,120,146
MOHANYAL,1223,1174,710,622,498,539,15,13
MUNUWA,2483,2780,1693,1716,674,851,116,213
NARAYANPUR,2402,2858,1794,1920,582,904,26,34
NIGALI,1336,1526,1049,998,284,521,3,7
PAHALMANPUR,3388,3665,2462,2434,793,1035,133,196
PANDAUN,882,810,567,464,285,306,30,40
PATHARIYA,3767,4357,2881,2936,813,1354,73,67
PAWERA,1090,1315,756,850,332,458,2,7
PHULWARI,4279,4714,3142,3129,1005,1424,132,161
PRATAPAPUR,2983,3342,2145,2173,732,1046,106,123
RAMSIKHAR JHALA,4336,4672,3305,3126,922,1387,109,159
RATANPUR,1519,1542,990,953,495,545,34,44
SADEPANI,5872,6338,4101,4135,1711,2099,60,104
SAHAJPUR,1948,2133,1385,1282,480,707,83,144
SREEPUR,4023,4403,3049,2886,959,1493,15,24
SUGARKHAL,3387,3595,2297,2088,882,1311,208,196
THAPAPUR,2988,3218,2024,1913,922,1236,42,69
TIKAPUR MUNICIPALITY,12088,12569,9093,8490,2823,3840,172,239
UDASIPUR,2105,2316,1587,1638,491,642,27,36
URMA,3303,3793,2320,2414,861,1181,122,198
INSTITUTIONAL,2725,798,1007,319,1702,473,16,6
