VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
BADALKOT,586,0,0,0,0,3
CHHAPRE,598,0,0,0,0,3
CHILKHAYA,741,1,0,2,1,4
DAHAFATGAUN,839,3,0,0,0,7
DHOLAGOHE,1106,1,0,0,0,5
GELA,705,0,0,0,0,1
JUBITHA,399,2,0,4,0,2
KHEEN,599,0,0,0,7,1
KOTBADA,679,1,0,0,0,6
KUMALGAUN,616,1,0,0,0,4
LALU,973,1,0,2,0,8
MALKOT,675,3,0,0,0,4
MANMA,1627,29,1,6,2,31
MARTA,1258,0,0,3,0,4
MEHAL MUDI,811,0,0,1,1,3
MUGRAHA,488,0,0,1,1,7
MUMRAKOT,542,1,0,0,0,5
NANIKOT,951,0,0,0,0,22
ODANAKU,630,0,0,0,0,8
PAKHA,688,0,0,0,0,3
PHOI MAHADEV,608,3,1,3,0,2
PHUKOT,896,1,0,0,0,0
RAKU,738,1,0,0,0,2
RAMANAKOT,623,0,0,0,0,2
RANCHULI,411,2,0,5,0,4
RUPSA,611,1,0,0,0,0
SIPKHANA,865,0,0,0,0,12
SIUNA,901,0,0,0,0,10
SUKATAYA,880,2,0,3,0,2
THIRPU,694,1,0,0,0,7
TOTAL,22738,54,2,30,12,172
