VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
BAISI BICHAWA,2290,9,32,0,66,0,0,8
BELDANDI,2644,53,12,31,262,0,0,20
CHANDANI,3115,32,25,9,458,1,1,19
DAIJEE,4704,34,47,5,282,0,3,16
DEKHATBHULI,3241,17,1,1,9,2,0,14
DODHARA,3195,35,46,3,424,0,1,28
JHALARI,4371,22,124,5,250,0,2,8
KALIKA,2329,13,151,8,207,0,20,32
KRISHNAPUR,6426,24,41,7,198,0,1,26
LAXMIPUR,1919,2,32,65,133,0,19,5
BHIMDATTA MUNICIPALITY,12238,148,5059,33,2920,11,55,220
PARASAN,2487,12,21,1,108,0,2,20
PIPALADI,3070,8,31,5,109,0,0,20
RAIKAWAR BICHAWA,2628,7,4,1,122,0,0,22
RAMPUR BILASIPUR,2600,20,15,22,245,0,8,18
RAUTELI BICHAWA,702,5,0,0,26,0,0,5
SANKARPUR,983,2,3,4,58,0,0,15
SREEPUR,3031,9,190,6,256,0,3,59
SUDA,3195,8,348,47,500,0,20,10
TRIBHUWANBASTI,2201,7,171,4,306,0,14,21
TOTAL,67369,467,6353,257,6939,14,149,586
