VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
ABHIRAO,73,680,161,197,21,6,5,2,327,48,145,656,2,4,39
AJIGARA,93,572,125,128,10,4,1,1,316,32,72,525,8,2,12
BAHADURGANJ,519,1167,235,450,68,22,10,32,440,71,157,881,7,52,46
BALARAMWAPUR,86,629,197,99,0,1,0,2,224,31,52,588,0,0,8
BALUHAWA,54,701,173,147,1,4,0,2,194,21,87,663,3,4,5
BANGANGA,82,2770,1477,1098,960,157,21,235,2388,52,393,2324,9,434,20
BARAIPUR,19,457,201,59,2,0,0,2,142,24,29,445,1,0,12
BARKULPUR,102,1639,892,778,317,48,7,10,1061,11,113,1255,4,79,24
BASANTAPUR,68,385,47,144,1,3,2,0,282,4,45,365,1,1,5
BASKHORE,108,1212,234,206,9,4,2,4,829,44,109,1149,3,3,42
BAIDAULI,65,681,136,137,20,8,5,3,346,40,94,644,1,11,7
BHAGWANPUR,241,523,38,37,3,0,0,0,51,11,20,501,1,0,21
BHALWARI,125,623,143,129,3,8,0,5,213,31,66,564,4,4,11
BIJUWA,118,681,143,169,1,13,4,2,439,34,108,631,2,13,8
BIRPUR,404,1609,380,544,334,66,20,111,1111,59,242,1147,33,115,62
BISHUNPUR,93,651,303,79,2,4,0,4,204,25,39,624,2,0,8
BITHUWA,41,526,69,78,0,3,0,2,348,11,37,497,5,1,28
BUDDHI,61,1030,604,339,162,18,7,31,791,8,68,855,2,63,17
CHANAI,244,1695,667,564,134,24,3,30,941,42,148,1366,10,30,12
DHANKAULI,149,1128,398,233,5,5,1,2,803,13,77,1042,16,5,29
DHARMPANIYA,90,574,106,177,3,2,1,1,319,10,67,534,3,6,3
DOHANI,60,863,206,259,4,4,1,7,443,38,91,828,1,2,15
DUBIYA,18,902,468,372,14,7,0,6,724,5,31,798,0,6,51
DUMARA,28,661,168,232,2,6,0,12,501,70,140,623,3,3,27
FULIKA,59,856,305,165,8,4,1,3,646,54,135,801,12,5,5
GAJEHADA,122,2801,1098,912,803,124,22,110,2229,37,363,2384,34,193,37
GANESHPUR,179,668,99,89,6,1,1,3,288,40,62,642,0,3,7
GAURI,20,548,42,95,1,4,0,1,313,18,67,523,2,2,32
GOTIHAWA,44,624,121,223,3,11,0,1,379,22,59,611,2,5,15
GUGAULI,138,1433,682,140,0,6,0,7,527,13,44,1294,5,0,43
HARNAMPUR,61,625,119,150,1,9,0,0,408,48,60,600,1,1,2
HARDAUNA,113,561,68,68,1,1,0,1,75,12,26,543,0,1,2
HARIHARPUR,256,830,438,165,1,8,1,6,307,10,25,724,4,3,7
HATHAUSA,60,1692,822,714,258,68,7,90,1356,24,200,1474,14,79,21
HATHIHAWA,63,990,154,121,1,6,0,2,551,36,88,963,1,0,44
JAHADI,88,760,241,193,7,1,1,8,510,18,67,715,5,6,3
JAWABHARI,88,346,39,71,0,0,0,1,49,46,42,322,2,4,9
JAYANAGAR,61,1576,893,406,454,74,22,139,1287,15,126,1220,24,213,21
KAJARHAWA,91,564,150,99,3,0,0,2,118,12,48,536,5,0,7
KAPILVASTU MUNICIPALITY,406,4557,1806,1835,1305,336,126,585,2992,81,791,3571,42,454,167
KHURHURIYA,160,1161,519,191,7,9,2,14,446,22,91,1033,7,12,41
KOPAWA,118,1996,1086,1091,133,63,6,71,1650,22,209,1763,7,89,28
KRISHNANAGAR,350,1178,89,756,468,87,43,156,530,41,223,585,5,139,56
KUSHHAWA,120,561,66,64,1,1,1,2,143,17,45,535,17,0,5
LAWANI,87,917,75,179,1,3,0,0,354,13,75,856,3,6,51
LALPUR,85,485,115,80,1,3,0,0,209,22,41,439,2,0,12
MAHARAJGANJ,292,2097,534,404,57,21,1,22,673,85,219,1936,9,18,35
MAHENDRAKOT,85,1411,885,458,344,26,5,114,1091,28,81,974,6,45,52
MAHUWA,125,696,241,104,7,1,1,4,337,13,37,649,3,0,8
BHALWAD,95,1158,729,456,85,18,0,51,958,4,64,859,4,32,26
MANPUR,84,478,173,44,0,1,0,0,211,9,29,446,0,0,0
BHILMI,121,517,53,90,1,3,0,0,182,16,61,466,24,1,15
MOTIPUR,143,3138,1868,1672,848,204,66,102,2730,23,364,2431,15,330,26
NANDANAGAR,79,860,174,161,3,2,0,6,523,1,60,815,12,5,21
NIGLIHAWA,55,1853,1030,822,100,28,4,51,1492,26,178,1694,6,48,33
PAKADI,114,954,218,361,17,8,4,24,815,57,179,694,4,32,34
PARSOHIYA,33,506,105,140,5,2,1,1,96,19,66,478,9,0,18
PATARIYA,81,1173,382,237,3,13,1,20,766,5,100,1071,17,13,23
PATNA,84,1525,630,552,0,7,1,13,1199,11,105,1424,7,27,23
PATHARDAIYA,413,1410,437,239,2,8,1,3,664,33,93,1181,10,4,17
PIPARA,95,615,88,177,4,9,0,1,446,15,154,505,6,21,12
PURUSHOTTAMPUR,91,329,32,99,4,11,0,0,95,18,36,302,8,4,10
RAJPUR,80,597,222,111,37,3,0,2,447,15,50,553,10,9,4
RAMNAGAR,123,505,144,120,8,3,0,0,94,25,45,468,1,9,9
RANGAPUR,95,629,34,134,4,1,0,0,31,11,38,580,8,0,11
SAURAHA,25,490,88,60,14,1,0,2,144,3,25,445,3,2,53
SHIVANAGAR,230,440,74,154,5,4,0,10,257,10,52,345,3,16,65
SHIVAGADHI,179,956,617,237,11,8,0,10,492,2,43,651,3,14,16
SHIVAPUR,305,2869,1445,1026,567,86,31,55,1818,21,185,2151,30,144,46
SIHOKHORE,84,695,156,110,2,1,0,0,317,15,65,646,0,5,25
SIRSIHAWA,144,450,34,128,12,7,1,8,232,10,59,374,22,14,9
SISAWA,118,830,320,95,4,5,1,1,308,32,61,794,5,2,5
SOMDIHA,83,622,153,137,28,6,4,6,70,19,35,584,1,3,147
THUNHIYA,139,929,329,199,9,3,0,2,394,10,44,807,6,1,8
TILAURAKOT,82,1207,504,401,39,9,2,3,807,17,108,1080,11,12,27
TITIRKHI,36,610,208,95,1,3,0,1,428,2,43,560,6,0,8
UDAYAPUR,80,519,79,70,13,3,1,1,85,23,40,490,41,2,7
VIDHYANAGAR,144,404,44,45,10,6,0,0,54,7,35,375,1,2,137
