VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ABHIRAO,792,0,0,0
AJIGARA,676,1,0,0
BAHADURGANJ,1670,52,1,9
BALARAMWAPUR,723,0,0,0
BALUHAWA,759,1,0,0
BANGANGA,2576,272,4,20
BARAIPUR,486,2,0,0
BARKULPUR,1622,130,1,12
BASANTAPUR,458,0,0,0
BASKHORE,1355,2,1,4
BAIDAULI,748,0,1,4
BHAGWANPUR,783,0,0,2
BHALWARI,758,0,0,1
BIJUWA,802,3,0,2
BIRPUR,1736,281,16,42
BISHUNPUR,743,3,2,4
BITHUWA,594,1,0,0
BUDDHI,1091,17,0,0
CHANAI,1911,39,0,1
DHANKAULI,1298,6,1,1
DHARMPANIYA,663,2,2,0
DOHANI,926,12,0,0
DUBIYA,958,8,0,5
DUMARA,707,7,0,2
FULIKA,917,0,1,2
GAJEHADA,2642,291,9,18
GANESHPUR,850,3,1,0
GAURI,599,1,0,0
GOTIHAWA,682,0,1,0
GUGAULI,1606,2,0,6
HARNAMPUR,686,2,0,0
HARDAUNA,670,4,2,0
HARIHARPUR,1088,5,0,0
HATHAUSA,1708,45,2,18
HATHIHAWA,1093,3,0,1
JAHADI,841,3,1,6
JAWABHARI,438,4,0,1
JAYANAGAR,1364,276,8,10
KAJARHAWA,661,0,0,1
KAPILVASTU MUNICIPALITY,4357,633,72,68
KHURHURIYA,1338,20,0,4
KOPAWA,2085,44,4,9
KRISHNANAGAR,1323,254,4,3
KUSHHAWA,685,0,0,1
LAWANI,1041,11,1,2
LALPUR,581,1,0,0
MAHARAJGANJ,2391,29,1,3
MAHENDRAKOT,1448,56,8,36
MAHUWA,828,0,0,1
BHALWAD,1241,26,2,10
MANPUR,561,1,0,0
BHILMI,651,0,0,2
MOTIPUR,3028,264,4,11
NANDANAGAR,953,5,0,2
NIGLIHAWA,1912,24,3,2
PAKADI,1057,44,0,1
PARSOHIYA,554,1,0,2
PATARIYA,1247,7,1,22
PATNA,1608,18,0,6
PATHARDAIYA,1829,5,1,5
PIPARA,702,20,0,0
PURUSHOTTAMPUR,428,2,0,0
RAJPUR,661,3,0,17
RAMNAGAR,635,1,0,1
RANGAPUR,732,1,0,2
SAURAHA,567,1,0,0
SHIVANAGAR,724,2,0,9
SHIVAGADHI,1145,5,0,1
SHIVAPUR,2987,203,18,12
SIHOKHORE,801,1,1,1
SIRSIHAWA,592,2,2,7
SISAWA,948,5,0,0
SOMDIHA,835,17,0,0
THUNHIYA,1065,8,1,2
TILAURAKOT,1301,6,2,7
TITIRKHI,654,0,0,0
UDAYAPUR,604,0,0,2
VIDHYANAGAR,683,1,0,1
TOTAL,87462,3199,179,424
