VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
ABHIRAO,78,2,54,613,1,0,7,37
AJIGARA,117,2,15,514,7,0,3,19
BAHADURGANJ,403,18,46,1176,52,0,0,37
BALARAMWAPUR,170,3,55,420,64,0,9,2
BALUHAWA,143,2,30,572,0,0,5,8
BANGANGA,157,721,525,1441,8,0,1,19
BARAIPUR,164,4,2,313,1,0,1,3
BARKULPUR,508,89,218,932,13,0,2,3
BASANTAPUR,86,4,9,333,2,0,0,24
BASKHORE,303,7,96,908,1,0,5,42
BAIDAULI,114,8,61,560,1,0,0,9
BHAGWANPUR,340,2,33,231,15,0,0,164
BHALWARI,119,12,16,508,32,0,71,1
BIJUWA,155,3,73,564,2,0,3,7
BIRPUR,466,103,32,1449,11,0,7,7
BISHUNPUR,208,20,100,408,5,0,2,9
BITHUWA,229,10,104,214,0,0,3,35
BUDDHI,444,60,86,504,4,0,5,5
CHANAI,581,89,55,1187,8,0,6,25
DHANKAULI,487,26,126,566,7,0,2,92
DHARMPANIYA,156,3,33,466,2,0,2,5
DOHANI,129,9,36,743,8,0,1,12
DUBIYA,164,130,293,358,15,0,1,10
DUMARA,100,10,21,554,2,0,3,26
FULIKA,208,18,122,559,7,0,3,3
GAJEHADA,218,522,405,1722,4,0,17,72
GANESHPUR,368,15,35,409,18,0,0,9
GAURI,93,2,28,459,10,0,4,4
GOTIHAWA,132,4,6,525,7,0,4,5
GUGAULI,851,20,91,603,10,0,4,35
HARNAMPUR,147,1,26,510,0,0,0,4
HARDAUNA,190,3,46,403,24,0,8,2
HARIHARPUR,396,49,62,570,8,0,1,7
HATHAUSA,323,175,282,985,2,0,2,4
HATHIHAWA,291,5,70,683,22,0,2,24
JAHADI,238,11,36,552,3,0,6,5
JAWABHARI,92,4,7,328,4,0,6,2
JAYANAGAR,260,155,237,978,5,0,6,17
KAJARHAWA,134,1,39,474,9,0,1,4
KAPILVASTU MUNICIPALITY,681,142,272,3839,48,0,13,135
KHURHURIYA,617,61,36,608,3,0,26,11
KOPAWA,266,145,400,1259,5,0,61,6
KRISHNANAGAR,44,34,14,1429,20,0,3,40
KUSHHAWA,198,9,2,460,10,0,6,1
LAWANI,151,20,179,676,1,0,0,28
LALPUR,176,9,16,370,8,0,2,1
MAHARAJGANJ,444,19,98,1693,122,0,19,29
MAHENDRAKOT,239,451,269,550,28,0,1,10
MAHUWA,261,4,63,476,9,0,12,4
BHALWAD,226,561,221,246,5,0,1,19
MANPUR,220,4,22,311,1,0,4,0
BHILMI,89,2,3,549,3,0,0,7
MOTIPUR,406,609,629,1620,16,0,6,21
NANDANAGAR,184,10,193,555,2,0,2,14
NIGLIHAWA,448,127,259,1056,15,0,13,23
PAKADI,294,26,69,661,2,0,21,29
PARSOHIYA,90,3,11,444,3,0,1,5
PATARIYA,375,92,211,575,4,0,7,13
PATNA,336,157,687,417,12,0,2,21
PATHARDAIYA,954,78,92,680,19,0,8,9
PIPARA,72,10,24,604,5,0,1,6
PURUSHOTTAMPUR,120,3,9,288,2,0,3,5
RAJPUR,256,14,36,369,0,0,0,6
RAMNAGAR,163,5,16,443,2,0,0,8
RANGAPUR,110,2,53,562,0,0,6,2
SAURAHA,193,1,22,335,7,0,0,10
SHIVANAGAR,214,6,15,490,2,0,0,8
SHIVAGADHI,654,91,194,199,5,0,0,8
SHIVAPUR,1086,380,272,1444,10,0,1,27
SIHOKHORE,207,0,33,538,15,0,2,9
SIRSIHAWA,229,10,11,345,2,0,1,5
SISAWA,283,4,34,620,9,0,0,3
SOMDIHA,119,58,26,616,5,0,0,28
THUNHIYA,340,38,13,659,3,0,18,5
TILAURAKOT,371,39,51,849,2,0,1,3
TITIRKHI,215,4,21,315,3,0,1,95
UDAYAPUR,164,2,22,410,0,0,2,6
VIDHYANAGAR,166,14,7,472,1,0,1,24
TOTAL,21423,5566,8216,53326,803,0,448,1482
