VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
AALAPOT,22,646,404,535,293,118,41,128,557,10,185,38,5,68,3
BAAD BHANJYANG,36,770,543,596,286,105,49,156,682,45,151,27,8,56,11
BAJRAYOGINI (SANKHU),87,820,365,714,215,74,22,118,654,19,128,15,1,75,21
BALAMBU,32,1676,776,1529,1064,439,179,444,1509,49,468,87,2,335,26
BALUWA,54,1131,613,890,332,162,32,147,978,19,322,59,0,54,19
BHADRABAS,17,483,345,450,237,171,87,182,443,21,179,30,2,98,3
BHIMDHUNGA,17,593,398,506,111,74,20,53,542,3,136,30,2,45,9
BUDANILKANTHA,58,3631,2421,3102,1901,1004,538,888,3282,266,1005,246,7,904,36
CHALNAKHEL,48,942,589,853,396,124,45,78,825,28,196,42,0,114,15
CHAPALI BHADRAKALI,74,2481,1425,1834,1236,752,492,660,2308,149,763,195,11,699,19
CHHAIMALE,110,832,402,621,87,51,7,41,708,2,93,3,1,27,26
DAHACHOK,14,850,504,759,275,152,40,180,655,13,201,22,3,95,14
CHUNIKHEL,18,837,601,728,389,141,18,53,735,12,322,86,0,137,4
DAANCHHI,70,2494,1226,2006,1194,610,232,669,2132,66,695,143,0,383,29
DAXINKALI,31,944,639,860,480,234,75,260,886,28,258,25,5,165,9
DHAPASI,113,8041,4612,5443,5846,3219,1815,2523,7625,586,2595,756,33,2735,48
DHARMASTHALI,41,1363,689,1029,688,308,100,265,1186,42,494,211,8,184,17
FUTUNG,40,1016,628,779,547,214,68,174,830,32,365,119,1,199,8
GAGALPHEDI,61,1094,701,1006,366,189,65,184,867,23,302,30,1,105,11
GOKARNESWOR,63,1684,765,1377,795,387,133,347,1430,43,483,189,6,331,21
GOLDHUNGA,117,3666,1659,2437,2266,792,247,481,3352,130,1032,420,1,489,23
GONGGABU,163,14213,6453,10428,10321,4929,2423,3641,13493,677,3957,1456,54,4148,80
GOTHATAR,172,6512,3204,5046,3426,2074,760,1571,6183,263,2000,714,10,1458,65
ICHANG NARAYAN,77,6151,3443,4755,4416,2080,988,1730,5802,356,2068,676,18,2013,60
INDRAYANI,15,691,432,631,305,111,27,101,625,16,211,18,0,121,11
JHOR MAHANKAL,56,817,508,694,214,109,20,55,752,10,239,80,1,49,0
JITPURPHEDI,47,1049,596,883,192,146,10,44,928,25,193,17,1,26,7
JORPATI,464,21063,8351,13800,13407,4499,1873,3416,19552,683,4529,1727,59,4262,335
KABHRESTHALI,16,967,607,849,330,148,14,113,889,12,297,89,6,46,24
KAPAN,185,12057,6404,9271,8603,3893,1726,2927,11087,389,3519,1301,44,3081,82
KATHMANDU METROPOLITAN CITY,2903,249301,148315,195795,182144,103045,60371,80413,233802,16249,80295,28166,783,81794,2088
KHADKA BHADRAKALI,27,2525,1663,1875,1843,969,540,878,2411,236,875,365,3,935,30
KIRTIPUR MUNICIPALITY,286,19077,12911,11483,9636,7751,4504,5038,18097,454,4744,1408,47,3710,78
LAPSIPHEDI,172,1017,767,654,77,42,14,23,791,4,114,3,0,44,20
MACHHEGAUN,27,844,588,601,534,244,78,227,756,11,300,62,4,176,1
MAHADEVATHAN,69,3624,2042,2905,2396,900,375,1066,3187,117,890,147,7,726,38
MAHANKAL,56,4330,2934,3924,3338,2019,1183,1737,4082,475,1742,545,11,2060,35
MANMAIJU,232,10634,5255,7382,6339,3153,1232,2125,9948,236,2613,1045,48,1940,83
MATATIRTHA,58,1344,816,1038,816,318,97,358,1225,64,361,63,9,204,11
MULPANI,55,2564,1570,2098,1408,723,339,730,2300,94,804,316,4,536,28
NAGLEBHARE,151,743,437,330,15,11,1,9,658,2,36,3,2,7,41
NAIKAP NAYA BHANJYANG,34,1937,1314,1738,1365,719,349,679,1833,117,679,139,3,606,9
NAIKAP PURANO BHANJYANG,25,1022,754,946,667,367,147,440,928,14,357,57,4,276,7
NAYAPATI,50,1667,831,1485,758,325,91,344,1461,55,441,153,2,207,8
PUKHULACHHI,25,563,340,248,303,136,50,152,496,25,162,27,2,110,8
RAMKOT,30,1888,1328,1681,826,419,181,451,1717,68,749,196,9,249,19
SANGLA,49,745,415,663,199,85,12,55,588,9,200,75,0,68,14
SETIDEVI,82,943,582,824,342,169,66,128,825,15,226,22,0,93,14
SATUNGAL,52,2657,1303,2015,1641,648,250,533,2497,92,665,166,10,493,17
SEUCHATAR,45,3313,2171,2708,2176,1315,651,1142,3103,162,1156,306,14,1021,20
SHESHNARAYAN,26,798,525,711,465,234,134,261,732,29,249,32,0,152,20
SITAPAILA,38,4435,2679,3626,2842,1592,769,1361,4167,387,1437,526,70,1366,51
SUNDARIJAL,18,515,363,466,104,59,23,44,415,4,102,12,0,37,14
SUNTOL,75,931,546,805,195,126,33,109,820,16,195,20,2,111,15
TALKUDUDECHOUR,73,566,365,445,68,49,5,51,477,6,81,15,0,13,9
THANKOT,113,2662,1428,1898,1624,564,213,678,2391,90,560,96,3,427,45
TINTHANA,54,2426,1154,1435,1618,818,405,768,2244,129,700,203,15,720,27
TOKHA CHANDESWORI,50,779,344,688,409,143,25,28,686,5,268,74,1,46,12
TOKHA SARSWOTI,45,1121,511,743,524,270,70,56,1049,34,404,169,2,158,23
