VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
AALAPOT,641,29,0,1
BAAD BHANJYANG,678,125,7,7
BAJRAYOGINI (SANKHU),839,76,2,11
BALAMBU,1132,598,1,3
BALUWA,1023,157,3,21
BHADRABAS,467,36,0,0
BHIMDHUNGA,573,42,0,4
BUDANILKANTHA,1951,1638,77,59
CHALNAKHEL,839,153,4,9
CHAPALI BHADRAKALI,1372,1105,28,69
CHHAIMALE,939,26,2,1
DAHACHOK,790,84,0,4
CHUNIKHEL,762,91,1,5
DAANCHHI,1713,857,16,7
DAXINKALI,839,140,3,2
DHAPASI,2966,5088,72,76
DHARMASTHALI,1052,348,9,12
FUTUNG,779,271,3,11
GAGALPHEDI,1120,45,1,0
GOKARNESWOR,992,716,14,46
GOLDHUNGA,2208,1559,18,21
GONGGABU,4167,10145,59,85
GOTHATAR,3214,3458,19,58
ICHANG NARAYAN,2958,3272,20,38
INDRAYANI,648,66,0,3
JHOR MAHANKAL,815,57,0,1
JITPURPHEDI,971,100,2,30
JORPATI,5699,15562,414,187
KABHRESTHALI,858,126,21,2
KAPAN,5028,7091,127,78
KATHMANDU METROPOLITAN CITY,82336,166610,3052,2294
KHADKA BHADRAKALI,1351,1169,40,22
KIRTIPUR MUNICIPALITY,8165,11009,185,82
LAPSIPHEDI,1180,23,5,1
MACHHEGAUN,705,159,3,5
MAHADEVATHAN,2167,1543,20,1
MAHANKAL,2132,2222,15,52
MANMAIJU,3566,7332,16,35
MATATIRTHA,925,471,5,12
MULPANI,1641,954,19,33
NAGLEBHARE,924,10,0,1
NAIKAP NAYA BHANJYANG,1161,793,9,17
NAIKAP PURANO BHANJYANG,889,160,4,1
NAYAPATI,1047,616,45,17
PUKHULACHHI,465,123,2,6
RAMKOT,1548,376,8,5
SANGLA,706,85,2,15
SETIDEVI,868,49,116,6
SATUNGAL,1146,1548,28,4
SEUCHATAR,1725,1613,24,16
SHESHNARAYAN,640,181,16,7
SITAPAILA,2173,2302,16,33
SUNDARIJAL,494,44,8,1
SUNTOL,945,64,5,7
TALKUDUDECHOUR,629,11,2,6
THANKOT,1634,1134,27,25
TINTHANA,1189,1271,11,36
TOKHA CHANDESWORI,758,80,1,2
TOKHA SARSWOTI,686,431,68,4
TOTAL,171828,255444,4675,3597
