VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
ANEKOT,301,150,151,1999,1114,885,935,542,393,544,284,260,325,191,134,224,121,103,42,29,13,24,19,5,3,2,1,136,20,116,39,13,26
BALDTHALI,137,66,71,624,339,285,407,222,185,245,121,124,155,91,64,88,37,51,36,18,18,3,2,1,0,0,0,9,3,6,55,24,31
BALTING,131,75,56,851,442,409,266,154,112,142,75,67,77,42,35,25,17,8,15,11,4,1,0,1,2,1,1,45,10,35,11,6,5
BALUWAPATI DEUPUR,89,42,47,1789,936,853,796,409,387,487,284,203,257,168,89,125,88,37,28,22,6,4,2,2,4,2,2,111,51,60,50,26,24
BANAKHU CHOR,177,110,67,1213,652,561,361,226,135,162,98,64,64,43,21,19,11,8,8,8,0,1,1,0,1,0,1,1,1,0,3,1,2
BANEPA MUNICIPALITY,689,347,342,4304,2282,2022,3218,1729,1489,2442,1271,1171,3259,1803,1456,2795,1486,1309,1266,739,527,394,279,115,11,3,8,1121,540,581,164,88,76
BEKHSIMLE GHARTIGAUN,15,6,9,357,187,170,100,61,39,42,19,23,37,20,17,11,5,6,3,2,1,0,0,0,1,0,1,2,1,1,0,0,0
BHIMKHORI,98,51,47,1679,881,798,670,355,315,352,172,180,197,124,73,89,51,38,22,15,7,1,1,0,5,3,2,298,165,133,10,4,6
BHUMLUTAR,7,3,4,385,221,164,248,130,118,161,76,85,132,74,58,82,49,33,21,13,8,12,9,3,0,0,0,66,26,40,10,4,6
BIRTADEURALI,3,1,2,519,271,248,243,116,127,132,61,71,106,53,53,59,30,29,14,13,1,6,5,1,0,0,0,5,2,3,41,21,20
BOLDE FEDICHE,12,6,6,458,218,240,295,139,156,150,84,66,103,57,46,38,19,19,3,2,1,2,2,0,0,0,0,30,19,11,1,1,0
BUDHAKHANI,163,87,76,1459,811,648,372,197,175,200,93,107,76,45,31,41,20,21,21,13,8,1,1,0,2,1,1,135,67,68,2,2,0
CHALAL GANESHSTHAN,84,42,42,1158,620,538,563,294,269,229,118,111,177,99,78,44,24,20,17,6,11,0,0,0,0,0,0,387,136,251,1,1,0
CHANDENI MANDAN,81,45,36,895,466,429,420,219,201,208,115,93,139,71,68,71,40,31,12,9,3,0,0,0,0,0,0,94,33,61,13,6,7
CHOUBAS,20,7,13,522,278,244,249,112,137,100,53,47,87,54,33,36,15,21,8,8,0,0,0,0,1,1,0,43,19,24,26,16,10
CHYAMRANGBESI,65,31,34,588,338,250,214,110,104,95,50,45,106,56,50,56,35,21,12,9,3,1,1,0,1,1,0,3,1,2,2,1,1
CHYASING KHARKA,61,33,28,831,479,352,402,204,198,171,85,86,103,59,44,27,19,8,5,5,0,0,0,0,0,0,0,21,8,13,23,11,12
DANDAGAUN,0,0,0,814,442,372,312,178,134,146,93,53,76,51,25,35,25,10,13,7,6,0,0,0,1,0,1,8,5,3,48,27,21
DAPCHA CHATREBHANJH,50,26,24,577,325,252,394,202,192,244,133,111,248,123,125,74,45,29,14,11,3,10,8,2,0,0,0,225,92,133,44,25,19
DARAUNE POKHARI,43,21,22,596,306,290,338,173,165,225,106,119,197,107,90,55,29,26,15,9,6,5,3,2,1,1,0,184,119,65,2,1,1
DEWABHUMI BALUWA,135,76,59,1905,1061,844,940,494,446,420,240,180,351,197,154,156,85,71,47,28,19,8,6,2,3,1,2,360,145,215,99,50,49
DEVITAR,97,53,44,677,344,333,319,171,148,112,68,44,62,31,31,17,11,6,0,0,0,0,0,0,0,0,0,259,117,142,1,1,0
DHULIKHEL MUNICIPALITY,389,210,179,2771,1475,1296,1908,989,919,1259,690,569,1604,867,737,1424,883,541,444,290,154,217,152,65,10,8,2,498,267,231,90,48,42
DHUNKHARKA,67,37,30,1366,680,686,782,371,411,398,212,186,303,175,128,268,136,132,38,24,14,17,14,3,3,2,1,130,68,62,53,29,24
DHUSENI SIWALAYA,42,31,11,488,258,230,198,102,96,114,50,64,75,45,30,33,17,16,5,4,1,3,2,1,0,0,0,27,13,14,3,3,0
