VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
AINSELUKHARKA,641,6,0,0,0,0,0,5
ARKHAULE,645,13,1,1,0,0,0,2
BADAHARE,297,5,0,2,2,0,0,12
BADAKA DIYALE,505,2,0,0,0,0,0,1
BAHUNIDANDA,500,1,2,8,10,0,0,3
BAKACHOL,620,0,0,1,1,0,0,1
BAKSILA,724,6,0,2,0,0,0,5
BAMRANG,640,1,5,1,1,0,0,0
BARAHAPOKHARI,713,0,1,0,0,0,0,2
BASPANI,352,1,0,1,0,0,0,1
BATASE,787,0,1,2,3,0,0,4
BIJAYA KHARKA,518,0,0,0,0,0,0,2
BUIPA,967,0,5,0,1,0,0,11
CHHITAPOKHARI,381,0,0,0,0,0,0,0
CHHORAMBU,474,2,0,1,0,0,0,2
CHIPRING,239,0,0,0,0,0,0,0
CHISAPANI,888,7,6,0,0,0,3,7
CHYANDADA,581,3,0,1,0,0,0,4
CHYASMITAR,544,1,0,0,0,0,1,2
DAMARKHUSHIVALAYA,541,8,0,4,0,0,0,3
DANDAGAUN,533,0,0,0,0,0,0,4
DEVISTHAN,416,0,0,0,0,0,0,0
DHITUNG,534,0,0,1,0,0,0,0
DIKTEL,1650,18,258,1,2,0,3,35
DIKUWA,447,0,0,0,0,0,0,1
DIPLUNG,420,0,0,0,0,0,0,4
DORPACHIURIDADA,1138,3,3,0,0,0,0,5
DUBEKOLDADA,340,3,0,0,1,0,0,1
DUMRE DHARAPANI,540,1,0,1,0,0,0,1
DURCHHIM,711,0,1,1,1,0,0,0
FAKTANG,426,0,0,1,0,0,0,1
HAUNCHUR,490,0,0,1,0,0,0,1
INDRANIPOKHARI,597,5,0,0,0,0,0,1
JALAPA,568,0,0,0,0,0,0,5
JYAMIRE,277,0,0,1,0,0,1,1
KAHULE,357,2,0,0,0,0,0,3
KHALLE,646,0,0,0,0,0,1,1
KHARMI,744,2,1,3,1,0,0,0
KHARPA,426,0,0,0,0,0,0,4
KHARTANCHHA,432,2,1,1,0,0,0,3
KHIDIMA,404,4,0,1,0,0,1,1
KHOTANGBAZAR,450,0,1,0,0,0,0,1
KUVINDE,418,1,0,0,0,0,0,1
LAFYANG,590,2,2,0,1,0,0,0
LAMIDADA,558,1,4,0,0,0,0,0
LICHKIRAMCHE,697,3,0,3,0,0,0,0
LINKUWAPOKHARI,455,0,0,0,0,0,1,5
MAGPA,434,1,0,0,0,0,0,1
MAHADEVASTHAN,576,1,5,0,0,0,0,1
MANGALTAR,436,0,1,0,0,0,0,3
MATTIM BIRTA,851,1,0,0,0,1,0,4
MAUWABOTE,275,0,0,0,0,0,0,1
NERPA,645,0,0,1,0,0,0,0
NIRMALIDADA,391,0,0,1,0,0,0,1
NUNTHALA,378,0,1,0,0,0,0,1
PATHEKA,787,6,0,3,0,0,0,0
PAUWASERA,390,3,0,0,0,0,0,5
PHEDI,677,1,0,0,0,0,0,2
R.MAHESWORI,477,2,1,2,2,0,0,0
RAJAPANI,704,0,0,1,0,0,0,2
RAKHA BANGDEL,540,5,0,2,1,0,0,0
RAKHA DIPSUNG,175,0,0,0,0,0,0,4
RATANCHHA,546,0,0,0,0,0,1,4
JALESWORI,450,16,1,1,0,0,0,0
SA.CHHITAPOKHARI,555,9,0,0,0,0,0,0
SALLE,359,0,0,0,0,0,0,0
SAPTESWOR,446,1,0,0,0,0,0,0
SAUNECHAUR,443,0,0,1,3,0,0,11
SAWAKATAHARE,565,10,0,2,1,0,0,2
SIMPANI,662,1,3,0,0,0,0,0
SUNGDEL,507,3,0,0,0,0,0,0
SUNTALE,423,0,0,1,0,0,0,2
TEMMA,766,1,0,0,0,0,1,9
WOPLUKHA,483,0,0,3,1,0,0,4
WOPUNG,492,10,0,0,0,0,0,4
YAMKHA,599,1,0,3,1,0,0,1
TOTAL,41853,175,304,60,33,1,13,208
