VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AINSELUKHARKA,632,0,2,12,0,6
ARKHAULE,645,0,0,14,1,2
BADAHARE,309,0,0,0,0,9
BADAKA DIYALE,497,0,0,1,0,10
BAHUNIDANDA,468,1,0,52,0,3
BAKACHOL,614,0,0,6,2,1
BAKSILA,728,1,0,1,4,3
BAMRANG,635,0,0,10,3,0
BARAHAPOKHARI,633,0,1,81,0,1
BASPANI,341,1,0,6,6,1
BATASE,738,0,0,46,5,8
BIJAYA KHARKA,517,0,0,1,0,2
BUIPA,957,0,1,13,2,11
CHHITAPOKHARI,380,0,0,0,1,0
CHHORAMBU,468,0,1,1,4,5
CHIPRING,239,0,0,0,0,0
CHISAPANI,899,0,0,5,2,5
CHYANDADA,573,1,0,9,2,4
CHYASMITAR,492,1,1,28,22,4
DAMARKHUSHIVALAYA,547,0,0,3,1,5
DANDAGAUN,530,0,0,2,1,4
DEVISTHAN,315,0,1,98,2,0
DHITUNG,514,0,0,21,0,0
DIKTEL,1894,12,0,12,11,38
DIKUWA,444,0,0,2,0,2
DIPLUNG,419,0,0,1,0,4
DORPACHIURIDADA,1097,0,4,27,14,7
DUBEKOLDADA,339,2,0,1,0,3
DUMRE DHARAPANI,539,0,0,1,0,3
DURCHHIM,707,4,0,2,1,0
FAKTANG,355,1,0,70,0,2
HAUNCHUR,483,0,0,5,1,3
INDRANIPOKHARI,598,0,1,3,0,1
JALAPA,561,0,0,8,1,3
JYAMIRE,267,0,0,10,0,3
KAHULE,355,0,0,0,2,5
KHALLE,623,0,0,20,4,1
KHARMI,730,0,0,19,0,2
KHARPA,415,2,0,5,1,7
KHARTANCHHA,431,1,0,4,0,3
KHIDIMA,407,0,0,2,0,2
KHOTANGBAZAR,451,0,0,0,0,1
KUVINDE,415,0,0,3,1,1
LAFYANG,571,0,1,16,7,0
LAMIDADA,559,0,0,4,0,0
LICHKIRAMCHE,632,0,2,66,1,2
LINKUWAPOKHARI,443,0,2,10,0,6
MAGPA,426,0,0,9,0,1
MAHADEVASTHAN,515,18,0,48,0,2
MANGALTAR,433,0,0,2,0,5
MATTIM BIRTA,823,0,0,19,10,5
MAUWABOTE,263,0,0,9,2,2
NERPA,638,0,0,8,0,0
NIRMALIDADA,389,1,0,0,2,1
NUNTHALA,370,0,0,8,1,1
PATHEKA,775,0,0,17,4,0
PAUWASERA,333,0,0,60,0,5
PHEDI,647,0,0,27,0,6
R.MAHESWORI,475,0,0,8,1,0
RAJAPANI,662,0,0,41,2,2
RAKHA BANGDEL,540,0,0,1,7,0
RAKHA DIPSUNG,172,0,1,0,2,4
RATANCHHA,538,1,0,0,9,3
JALESWORI,460,0,1,2,3,2
SA.CHHITAPOKHARI,561,0,0,1,1,1
SALLE,352,0,0,7,0,0
SAPTESWOR,442,0,0,2,0,3
SAUNECHAUR,447,0,0,2,0,9
SAWAKATAHARE,570,0,0,1,2,7
SIMPANI,657,0,0,7,2,0
SUNGDEL,490,1,0,14,5,0
SUNTALE,286,0,0,138,0,2
TEMMA,744,2,0,16,6,9
WOPLUKHA,480,0,0,6,1,4
WOPUNG,494,0,1,2,2,7
YAMKHA,582,0,0,16,5,2
TOTAL,40970,50,20,1172,169,266
