VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
ASHRANG,1270,620,650,914,520,394,6,3,3,345,96,249,5,1,4,71.96850393700788,83.87096774193549,60.61538461538461
BADIKHEL,3320,1655,1665,2414,1380,1034,52,22,30,853,252,601,1,1,0,72.71084337349397,83.38368580060424,62.102102102102094
BHARDEV,2011,936,1075,1027,579,448,130,59,71,852,296,556,2,2,0,51.06911984087519,61.858974358974365,41.674418604651166
BHATTEDANDA,1878,925,953,1352,762,590,57,19,38,467,143,324,2,1,1,71.99148029818956,82.37837837837839,61.90975865687304
BISANKHUNARAYAN,4222,1994,2228,3268,1800,1468,40,15,25,910,176,734,4,3,1,77.40407389862625,90.27081243731193,65.8886894075404
BUKHEL,1558,740,818,1191,642,549,27,10,17,340,88,252,0,0,0,76.44415917843389,86.75675675675676,67.11491442542787
BUNGAMATI,5637,2810,2827,4092,2405,1687,75,36,39,1468,367,1101,2,2,0,72.59180415114422,85.58718861209964,59.67456667845773
CHANDANPUR,994,489,505,690,384,306,44,22,22,260,83,177,0,0,0,69.41649899396378,78.52760736196319,60.59405940594059
CHAPAGAUN,15241,7428,7813,11660,6430,5230,262,118,144,3306,877,2429,13,3,10,76.50416639328128,86.56435110393107,66.93971585818508
CHHAMPI,4383,2128,2255,3158,1756,1402,14,5,9,1210,367,843,1,0,1,72.05110654802647,82.5187969924812,62.172949002217294
CHOUGHARE,1732,821,911,905,494,411,100,52,48,702,269,433,25,6,19,52.25173210161663,60.17052375152253,45.1152579582876
DALCHOKI,1093,502,591,766,407,359,7,2,5,313,92,221,7,1,6,70.08234217749315,81.07569721115537,60.74450084602368
DEVICHOUR,2604,1273,1331,1562,870,692,80,40,40,962,363,599,0,0,0,59.98463901689708,68.34249803613511,51.99098422238918
DHAPAKHEL,11913,6036,5877,10139,5612,4527,144,61,83,1627,362,1265,3,1,2,85.10870477629481,92.97548045062956,77.0290964777948
DHUSEL,1367,671,696,915,507,408,30,12,18,422,152,270,0,0,0,66.93489392831017,75.55886736214606,58.620689655172406
DUKUCHHAP,2486,1223,1263,1569,915,654,28,13,15,885,293,592,4,2,2,63.11343523732904,74.81602616516761,51.78147268408551
GIMDI,2097,1058,1039,1402,797,605,42,18,24,653,243,410,0,0,0,66.85741535526944,75.33081285444234,58.22906641000962
GODAMCHAUR,4626,2203,2423,3741,2052,1689,48,12,36,836,138,698,1,1,0,80.86900129701687,93.14571039491602,69.70697482459761
GODAWARI,7104,3473,3631,5802,3129,2673,128,51,77,1166,288,878,8,5,3,81.6722972972973,90.09501871580767,73.61608372349215
GOTIKHEL,1736,821,915,1299,700,599,19,7,12,418,114,304,0,0,0,74.82718894009217,85.26187576126675,65.46448087431695
HARISIDDHI,9946,4961,4985,7956,4428,3528,209,92,117,1776,441,1335,5,0,5,79.99195656545345,89.25619834710744,70.77231695085256
IKUDOL,1699,853,846,1210,690,520,25,11,14,464,152,312,0,0,0,71.21836374337846,80.89097303634232,61.46572104018912
IMADOL,25356,12842,12514,21876,11970,9906,435,176,259,3015,688,2327,30,8,22,86.27543776620918,93.20978040803614,79.15934153747803
JHARUWARASI,4014,1940,2074,3298,1812,1486,64,15,49,648,113,535,4,0,4,82.16243148978575,93.4020618556701,71.648987463838
KALESWOR,1309,647,662,927,527,400,64,37,27,317,83,234,1,0,1,70.81741787624141,81.45285935085008,60.42296072507553
KHOKANA,4666,2299,2367,3494,1986,1508,36,20,16,1133,293,840,3,0,3,74.88212601800257,86.38538494997825,63.709336713138995
LALITPUR SUB-METROPOLITAN CITY,207835,106908,100927,181584,99343,82241,3336,1352,1984,22848,6186,16662,67,27,40,87.36930738326076,92.92382235192876,81.48562822634182
LAMATAR,7672,3797,3875,5828,3312,2516,134,50,84,1708,435,1273,2,0,2,75.9645464025026,87.22675796681591,64.92903225806451
LELE,7836,3714,4122,5137,2813,2324,160,80,80,2531,819,1712,8,2,6,65.55640632976008,75.74044157242865,56.38039786511402
LUBHU,9759,4807,4952,7859,4376,3483,96,46,50,1797,384,1413,7,1,6,80.53079208935343,91.03390888287913,70.33521809369951
MALTA,1652,824,828,984,559,425,62,37,25,597,222,375,9,6,3,59.56416464891041,67.83980582524272,51.328502415458935
MANIKHEL,1762,840,922,1202,647,555,79,45,34,481,148,333,0,0,0,68.21793416572078,77.02380952380953,60.19522776572668
NALLU,1966,921,1045,1048,618,430,146,74,72,769,228,541,3,1,2,53.306205493387594,67.10097719869707,41.14832535885167
PYUTAR,1868,903,965,1386,741,645,28,17,11,454,145,309,0,0,0,74.19700214132763,82.05980066445183,66.83937823834198
SAINBU,18376,9201,9175,15675,8487,7188,269,86,183,2431,628,1803,1,0,1,85.3014801915542,92.2399739158787,78.3433242506812
SANKHU,2142,1044,1098,1532,839,693,92,54,38,517,151,366,1,0,1,71.5219421101774,80.3639846743295,63.114754098360656
SIDDHIPUR,5779,2701,3078,4451,2361,2090,229,73,156,1099,267,832,0,0,0,77.02024571725212,87.41206960385043,67.90123456790124
SUNAKOTHI,9414,4588,4826,7267,4034,3233,169,77,92,1974,476,1498,4,1,3,77.1935415338857,87.92502179598954,66.99129714048901
THAIBA,7716,3895,3821,6205,3493,2712,60,24,36,1448,376,1072,3,2,1,80.4173146708139,89.6790757381258,70.97618424496204
THECHO,9439,4622,4817,6935,3924,3011,234,113,121,2261,582,1679,9,3,6,73.47176607691492,84.8983124188663,62.50778492837866
THULADURLUNG,1346,656,690,888,483,405,17,10,7,440,163,277,1,0,1,65.97325408618127,73.6280487804878,58.69565217391305
TIKATHALI,9456,4723,4733,7643,4233,3410,213,102,111,1554,371,1183,46,17,29,80.82698815566836,89.62523819606183,72.04732727656878
INSTITUTIONAL,10349,7100,3249,9745,6760,2985,125,56,69,478,283,195,1,1,0,94.16368731278384,95.2112676056338,91.87442289935365
