VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
ARCHALBOT,67,356,191,134,108,8,5,4,279,0,0,0,1,9,1
BAHUNDANDA,103,371,220,36,182,7,13,1,332,0,0,0,0,12,6
BANJHAKHET,119,598,470,94,159,9,3,4,492,0,4,0,0,20,1
BAGLUNGPANI,56,525,398,186,153,7,6,9,450,0,0,2,0,0,28
BANGRE,42,365,321,64,19,4,0,5,307,0,0,0,0,0,1
BANSAR,74,420,351,22,0,0,0,0,284,0,0,0,1,0,78
BESISHAHAR,129,4104,2360,463,2843,559,262,502,3739,48,311,142,10,850,58
BHALAYAKHARKA,77,468,410,216,60,6,1,21,394,2,1,2,3,7,4
BHARTE,45,538,430,178,28,6,0,15,474,1,0,0,0,9,1
BHOJE,53,410,367,56,1,1,0,2,296,0,2,0,0,0,13
BHORLETAR,45,942,690,209,302,38,18,40,822,2,14,17,3,35,46
BHOTE ODAR,113,1913,847,331,1201,169,54,21,1698,9,114,37,2,350,48
BHUJUNG,83,270,169,40,69,1,0,19,164,0,0,1,0,0,0
BHULBHULE,154,540,273,54,203,3,3,2,469,0,1,0,0,11,18
BICHAUR,66,430,389,124,3,0,0,11,327,0,0,2,0,0,15
CHAKRATIRTHA,200,1047,699,424,172,13,1,50,808,1,2,3,1,0,6
CHANDISTHAN,28,445,369,5,276,11,0,0,389,0,6,3,3,26,19
CHANDRESHWOR,86,460,397,265,17,7,2,8,366,0,2,2,0,7,0
CHITI,139,1147,831,313,278,7,2,9,930,1,4,2,0,18,13
DHAMILIKUWA,169,966,625,353,211,8,1,1,774,2,1,4,0,19,19
DHODENI,132,358,294,3,0,0,0,0,199,0,3,0,0,0,63
DHUSENI,34,270,210,82,13,2,0,0,232,0,3,1,0,0,7
DUDHPOKHARI,77,393,383,32,1,0,0,3,172,0,1,1,0,0,0
DURADANDA,59,450,356,247,32,6,3,12,383,0,2,1,0,0,10
FALENI,124,160,142,6,0,0,0,3,72,0,0,0,0,0,0
GAUNDA,107,497,383,97,61,2,1,6,410,0,0,0,0,1,12
GAUNSHAHAR,161,1563,1075,462,656,107,56,47,1410,5,59,19,2,88,33
GHANPOKHARA,50,495,375,63,112,2,0,3,394,0,1,0,0,3,103
GHERMU,43,357,246,87,82,5,0,2,311,0,0,0,0,0,2
GILUNNG,43,365,332,42,0,1,0,2,272,0,0,5,0,0,6
HILETAKSAR,30,366,247,156,77,4,1,1,253,1,0,0,0,0,17
ILAMPOKHARI,131,471,427,74,0,1,0,4,257,0,0,0,0,0,6
ISHANESHWOR,83,678,540,97,38,6,0,9,595,0,4,0,1,11,3
JITA,59,518,415,173,9,3,2,4,444,0,0,3,0,2,1
KARAPU,117,400,342,90,0,1,3,5,297,0,0,1,0,1,0
KHUDI,129,689,474,156,207,12,5,18,583,3,13,7,1,51,8
KOLKI,51,327,240,1,0,0,0,4,229,0,0,0,0,0,7
KUNCHHA,67,440,381,217,11,3,0,2,400,1,1,2,1,0,7
MALING,21,250,209,48,1,1,0,2,196,0,0,1,0,0,37
MOHORIYAKOT,77,483,424,15,0,0,2,3,367,1,1,0,0,0,11
NALMA,77,361,304,72,35,4,0,6,297,1,0,0,0,0,0
NAUTHAR,120,403,294,43,45,3,0,3,291,0,0,0,0,0,7
NETA,65,350,325,78,19,0,0,4,256,0,0,0,0,2,1
PACHOK,120,441,373,64,11,2,3,2,309,0,0,0,0,0,0
PAREWADANDA,79,623,490,367,27,13,12,0,527,0,8,12,0,6,4
PASAGAUN,96,286,230,47,0,0,0,2,176,0,0,0,0,0,0
PURANKOT,12,271,225,45,12,0,0,0,226,0,0,0,0,2,18
PYARJUNG,77,362,326,31,0,0,0,3,290,0,0,0,0,0,13
RAMGHA,38,721,465,231,295,39,6,25,603,2,20,46,0,59,36
SAMIBHANJYANG,18,286,251,24,43,1,6,0,257,0,3,3,0,5,5
SHREE BHANJYANG,80,372,244,107,141,1,0,11,314,0,0,1,0,11,21
SIMPANI,144,675,490,94,274,12,4,7,613,1,3,1,1,10,1
SINDURE,55,248,207,47,0,2,0,0,161,0,0,0,0,0,8
SUNDARBAZAR,175,1600,874,546,956,120,32,25,1505,3,100,98,4,319,20
SURYAPAL,54,392,286,74,71,12,1,4,341,2,5,4,0,19,3
TAGHRING,86,424,276,161,33,5,6,18,374,1,1,0,1,8,11
TANGRANG TAKSAR,52,553,429,185,165,24,3,18,513,4,12,28,1,43,14
TARKU,41,376,272,172,64,4,0,2,317,0,2,0,0,8,6
TARKUGHAT,94,655,393,256,113,12,2,23,552,0,4,4,0,18,23
UDIPUR,82,603,377,63,331,23,7,20,520,0,21,3,0,13,13
UTTAR KANYA,55,224,142,40,38,0,0,3,192,0,0,0,0,0,2
