VDC/MUNICIPALITY,OWNED,RENTED,INSTITUTIONAL,OTHERS
ARCHALBOT,403,19,1,1
BAHUNDANDA,436,39,0,5
BANJHAKHET,674,34,1,9
BAGLUNGPANI,553,41,3,12
BANGRE,403,0,0,5
BANSAR,547,16,8,1
BESISHAHAR,1888,2317,63,23
BHALAYAKHARKA,518,29,0,2
BHARTE,548,30,1,5
BHOJE,471,4,0,1
BHORLETAR,740,263,5,25
BHOTE ODAR,1240,749,56,29
BHUJUNG,329,7,1,16
BHULBHULE,640,58,0,14
BICHAUR,483,14,1,13
CHAKRATIRTHA,1168,77,5,3
CHANDISTHAN,442,48,0,2
CHANDRESHWOR,502,20,3,21
CHITI,1191,75,2,31
DHAMILIKUWA,1105,38,5,6
DHODENI,523,14,0,16
DHUSENI,303,1,0,7
DUDHPOKHARI,467,1,1,1
DURADANDA,490,16,1,12
FALENI,264,7,1,12
GAUNDA,581,25,4,6
GAUNSHAHAR,1544,208,1,4
GHANPOKHARA,622,16,3,7
GHERMU,383,18,1,0
GILUNNG,353,56,5,0
HILETAKSAR,389,13,1,10
ILAMPOKHARI,594,11,0,3
ISHANESHWOR,648,95,0,21
JITA,566,6,0,6
KARAPU,476,4,9,28
KHUDI,744,73,5,4
KOLKI,377,6,1,1
KUNCHHA,479,27,1,7
MALING,295,3,0,10
MOHORIYAKOT,550,7,2,12
NALMA,430,3,2,3
NAUTHAR,498,29,3,0
NETA,398,17,1,0
PACHOK,542,19,0,0
PAREWADANDA,683,9,0,14
PASAGAUN,347,0,0,35
PURANKOT,285,1,0,15
PYARJUNG,441,4,0,7
RAMGHA,714,78,3,0
SAMIBHANJYANG,284,3,0,22
SHREE BHANJYANG,438,24,1,10
SIMPANI,729,61,3,27
SINDURE,305,1,3,2
SUNDARBAZAR,1314,443,26,12
SURYAPAL,402,38,0,9
TAGHRING,466,49,1,5
TANGRANG TAKSAR,562,52,1,4
TARKU,409,12,1,1
TARKUGHAT,734,23,2,13
UDIPUR,596,77,3,22
UTTAR KANYA,254,10,2,15
TOTAL,35760,5438,243,607
