VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
ANAKAR,342,11,44,517,6,0,67,2
AURAHI,1510,11,13,99,2,0,1,2
BAGADA,395,28,3,729,3,0,2,6
BADIYA BANCHAURI,583,3,11,570,3,0,6,2
BAIRGIYA LAXMINIYA,423,1,1,113,0,0,41,5
BALAWA,889,14,14,517,10,0,51,1
BANAULI DONAULI,568,7,50,258,0,0,61,0
BANOUTA,580,11,3,633,0,0,71,9
BARDIBAS,1856,38,754,7,37,1,4,13
BASABITTI,384,16,4,603,2,0,20,7
BATHANAHA,550,44,42,987,4,0,1,16
BELGACHHI,1142,6,0,0,0,1,0,8
BHARATPUR,1468,25,2,309,21,0,0,11
BHATAULIYA,167,4,18,590,0,0,61,5
BIJAYALPURA,1228,100,2,197,7,0,1,2
BRAMARPURA,1004,35,47,625,3,1,13,6
DAMHIMARAYEE,1302,12,12,369,0,0,24,4
DHAMAURA,1777,24,7,603,5,0,90,11
DHARMAPUR,469,10,6,380,2,0,235,2
DHIRAPUR,184,37,37,1288,3,0,2,5
EKADARABELA,166,17,27,1390,0,0,1,4
EKARAHIYA,904,10,41,824,0,1,10,6
ETAHARWAKATTI,927,13,17,193,1,0,1,4
FULAHATTA PARIKAULI,356,14,30,601,0,0,10,12
FULAKAHA,933,17,4,219,0,0,0,14
GAIDHA BHETPUR,327,13,6,568,1,0,0,4
GAURIBAS,1279,49,75,1,82,0,0,1
GAUSHALA,2556,39,147,274,1,0,0,5
GONARPURA,465,6,12,808,4,0,13,0
HALKHORI,468,7,5,560,6,0,2,3
HARIHARPUR HARINAMARI,682,18,3,502,2,2,72,2
HATHILET,1074,0,23,7,26,0,0,9
HATISARWA,558,11,1,535,19,0,124,6
JALESHWOR MUNICIPALITY,2476,35,960,655,10,0,25,43
KHAIRBANNI,646,7,1,774,1,0,19,38
KHAYAR MARA,1603,33,8,12,65,1,0,5
KHOPI,595,25,1,750,2,0,31,5
KHUTTAPIPARADHI,735,10,6,1012,8,3,0,17
KISAN NAGAR,1179,3,17,265,35,0,1,7
KOLHUWA BAGAICHA,806,22,11,462,5,0,1,1
LAXIMINIYA,1914,6,1,53,1,0,0,20
LOHARPATTI,954,4,29,499,1,1,48,1
MAHADAIYATAPANPUR,156,7,14,909,1,0,1,1
MAHOTTARI,998,11,41,753,12,0,15,0
MAISTHAN,2017,9,31,5,97,0,0,6
MAJHORA BISHNUPUR,229,22,9,854,8,0,61,16
MANARA,685,6,28,364,1,0,53,18
MATIHANI,412,10,169,802,3,2,110,2
MEGHANATH GORAHANNA,470,11,4,411,3,0,142,7
NAINHI,674,17,7,630,0,0,0,17
NIGAUL,770,16,8,408,6,2,139,4
PARAUL,531,6,6,585,13,0,19,3
PARSA DEWADH,1098,9,7,530,0,0,4,16
PARSA PATELI,556,3,0,149,1,0,0,0
PASUPATINAGAR,775,4,1,53,2,0,2,4
PIGOUNA,355,7,24,346,5,0,0,2
PIPRA,1115,21,121,343,9,0,10,16
POKHARIBHINDA SAMGRAMPUR,413,38,5,478,3,0,2,3
RAGHUNATHPUR,549,19,1,433,0,0,0,11
RAMGOPALPUR,368,25,66,1471,4,0,106,15
RAMNAGAR,1279,6,19,12,23,3,0,1
RATAULI,456,14,8,480,2,0,21,12
SAHASAULA,248,11,6,987,2,0,4,11
SAHORAWA,523,7,28,545,1,0,18,0
SANDHA,365,16,13,302,3,0,98,4
SARPALLO,1001,18,41,670,3,0,29,27
SHAMSI,450,24,22,747,1,0,25,4
SHREEPUR,1088,46,14,821,3,0,31,7
SIMARDAHI,490,18,2,446,1,0,0,4
SINGYAHI,399,21,4,808,5,1,220,14
SISAWAKATAIYA,737,19,6,515,3,0,3,7
SONAMA,980,14,2,438,0,0,85,10
SONAMAI,622,25,6,982,1,0,15,11
SONAUL,383,15,0,211,4,0,83,1
SUGA VAWANI,639,11,110,223,2,0,0,40
SUNDARPUR,1582,17,13,682,1,0,15,3
VAGAHA,886,27,13,1276,7,1,174,15
TOTAL,62723,1346,3344,40027,608,20,2594,636
