VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ANAKAR,3,195,132,631,26,2
AURAHI,28,257,95,1240,12,6
BAGADA,16,186,11,948,1,4
BADIYA BANCHAURI,15,299,32,802,28,2
BAIRGIYA LAXMINIYA,3,76,1,499,0,5
BALAWA,64,344,74,1011,0,3
BANAULI DONAULI,36,384,60,320,143,1
BANOUTA,108,295,10,747,137,10
BARDIBAS,26,681,573,1345,54,31
BASABITTI,8,190,17,810,1,10
BATHANAHA,52,423,45,1107,2,15
BELGACHHI,3,50,7,1078,0,19
BHARATPUR,16,214,0,1521,74,11
BHATAULIYA,51,180,11,563,35,5
BIJAYALPURA,13,178,18,1325,2,1
BRAMARPURA,47,689,61,927,0,10
DAMHIMARAYEE,13,409,13,1271,2,15
DHAMAURA,155,609,39,1693,6,15
DHARMAPUR,106,242,17,727,10,2
DHIRAPUR,202,551,25,770,1,7
EKADARABELA,123,401,29,1049,1,2
EKARAHIYA,146,610,33,1000,0,7
ETAHARWAKATTI,20,356,23,747,3,7
FULAHATTA PARIKAULI,77,332,11,547,33,23
FULAKAHA,3,126,5,1020,20,13
GAIDHA BHETPUR,40,164,8,691,11,5
GAURIBAS,19,328,31,1107,0,2
GAUSHALA,75,817,209,1900,9,12
GONARPURA,10,355,15,928,0,0
HALKHORI,9,205,11,824,0,2
HARIHARPUR HARINAMARI,5,123,28,1120,0,7
HATHILET,148,185,4,791,1,10
HATISARWA,11,77,49,1067,42,8
JALESHWOR MUNICIPALITY,263,1941,414,1499,0,87
KHAIRBANNI,44,215,33,1152,7,35
KHAYAR MARA,2,13,22,1684,0,6
KHOPI,2,148,35,1205,14,5
KHUTTAPIPARADHI,16,402,48,1311,3,11
KISAN NAGAR,364,148,12,973,1,9
KOLHUWA BAGAICHA,241,169,21,871,2,4
LAXIMINIYA,28,259,2,1676,0,30
LOHARPATTI,18,313,101,1054,43,8
MAHADAIYATAPANPUR,17,293,7,767,2,3
MAHOTTARI,37,467,18,1301,1,6
MAISTHAN,5,61,18,2073,1,7
MAJHORA BISHNUPUR,49,317,75,630,113,15
MANARA,7,276,77,773,0,22
MATIHANI,171,652,80,484,121,2
MEGHANATH GORAHANNA,13,115,134,688,89,9
NAINHI,26,247,75,967,0,30
NIGAUL,156,349,16,809,18,5
PARAUL,31,316,8,806,0,2
PARSA DEWADH,8,207,14,1423,0,12
PARSA PATELI,95,298,8,290,16,2
PASUPATINAGAR,6,65,30,734,1,5
PIGOUNA,15,304,8,408,1,3
PIPRA,119,580,23,887,0,26
POKHARIBHINDA SAMGRAMPUR,35,164,5,735,0,3
RAGHUNATHPUR,3,202,18,777,0,13
RAMGOPALPUR,276,459,184,1054,66,16
RAMNAGAR,12,221,8,1092,9,1
RATAULI,42,337,25,579,1,9
SAHASAULA,13,227,40,969,5,15
SAHORAWA,51,383,9,662,14,3
SANDHA,8,156,27,578,27,5
SARPALLO,50,576,5,1133,1,24
SHAMSI,14,351,76,829,0,3
SHREEPUR,156,370,7,1430,41,6
SIMARDAHI,7,233,0,716,0,5
SINGYAHI,143,228,23,1051,9,18
SISAWAKATAIYA,8,449,32,792,0,9
SONAMA,17,255,88,1136,14,19
SONAMAI,32,253,48,1261,58,10
SONAUL,31,98,17,548,0,3
SUGA VAWANI,101,419,8,462,0,35
SUNDARPUR,48,451,62,1714,36,2
VAGAHA,76,337,14,1954,0,18
TOTAL,4507,24855,3672,76063,1368,833
