VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,111316,627580,311016,316564,5.6378238528154085,98.24743179894114
ANAKAR,989,5671,2793,2878,5.734074823053589,97.04656011118833
AURAHI,1638,8575,4225,4350,5.235042735042735,97.12643678160919
BAGADA,1166,6419,3239,3180,5.505145797598628,101.85534591194968
BADIYA BANCHAURI,1178,6767,3388,3379,5.744482173174872,100.26635099141758
BAIRGIYA LAXMINIYA,584,3640,1684,1956,6.232876712328767,86.09406952965234
BALAWA,1496,8093,3925,4168,5.40975935828877,94.16986564299424
BANAULI DONAULI,944,4577,2232,2345,4.848516949152542,95.18123667377398
BANOUTA,1307,6413,3112,3301,4.906656465187452,94.27446228415631
BARDIBAS,2710,12584,6272,6312,4.643542435424354,99.36628643852978
BASABITTI,1036,6410,3157,3253,6.187258687258687,97.04887795880725
BATHANAHA,1644,9647,5061,4586,5.868004866180049,110.35761011774967
BELGACHHI,1157,6159,3087,3072,5.323249783923941,100.48828125
BHARATPUR,1836,10317,5255,5062,5.619281045751634,103.81272224417226
BHATAULIYA,845,4626,2330,2296,5.474556213017752,101.4808362369338
BIJAYALPURA,1537,8188,3992,4196,5.327260897852961,95.13822688274547
BRAMARPURA,1734,9458,4363,5095,5.4544405997693195,85.63297350343474
DAMHIMARAYEE,1723,9698,4836,4862,5.628554846198491,99.46524064171123
DHAMAURA,2517,14250,6888,7362,5.66150178784267,93.56153219233903
DHARMAPUR,1104,5814,2537,3277,5.266304347826087,77.4183704607873
DHIRAPUR,1556,9550,4648,4902,6.137532133676093,94.81844145246838
EKADARABELA,1605,10310,5511,4799,6.423676012461059,114.83642425505313
EKARAHIYA,1796,9958,4860,5098,5.544543429844098,95.33150255001962
ETAHARWAKATTI,1156,6902,3467,3435,5.970588235294118,100.9315866084425
FULAHATTA PARIKAULI,1023,5939,2997,2942,5.805474095796677,101.86947654656694
FULAKAHA,1187,7170,3657,3513,6.040438079191238,104.09906063193853
GAIDHA BHETPUR,919,5250,2551,2699,5.712731229597389,94.51648758799556
GAURIBAS,1487,6321,2937,3384,4.25084061869536,86.79078014184397
GAUSHALA,3022,17086,8763,8323,5.653871608206486,105.28655532860746
GONARPURA,1308,7156,3583,3573,5.470948012232416,100.27987685418415
HALKHORI,1051,6033,2827,3206,5.740247383444339,88.1784154709919
HARIHARPUR HARINAMARI,1283,6683,3118,3565,5.208885424785659,87.46143057503505
HATHILET,1139,5316,2571,2745,4.667251975417033,93.66120218579235
HATISARWA,1254,6828,3245,3583,5.444976076555024,90.56656433156573
JALESHWOR MUNICIPALITY,4204,23533,11695,11838,5.5977640342530925,98.79202568001352
KHAIRBANNI,1486,9140,4701,4439,6.1507402422611035,105.90223023203424
KHAYAR MARA,1727,8719,4303,4416,5.048639258830342,97.4411231884058
KHOPI,1409,7327,3503,3824,5.20014194464159,91.60564853556485
KHUTTAPIPARADHI,1791,10159,4834,5325,5.672250139586823,90.7793427230047
KISAN NAGAR,1507,8121,4055,4066,5.3888520238885205,99.72946384653221
KOLHUWA BAGAICHA,1308,8346,4163,4183,6.3807339449541285,99.52187425292853
LAXIMINIYA,1995,10920,5542,5378,5.473684210526316,103.04946076608405
