VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
ANAKAR,5022,2462,2560,2412,1461,951,68,37,31,2533,960,1573,9,4,5,48.028673835125446,59.34199837530463,37.1484375
AURAHI,7543,3721,3822,3526,2171,1355,89,38,51,3924,1509,2415,4,3,1,46.74532679305316,58.344531040043,35.45264259549974
BAGADA,5648,2869,2779,1785,1151,634,85,46,39,3769,1668,2101,9,4,5,31.60410764872521,40.118508191007315,22.813961856783017
BADIYA BANCHAURI,6001,2990,3011,2684,1688,996,68,33,35,3221,1259,1962,28,10,18,44.725879020163305,56.45484949832776,33.07871139156426
BAIRGIYA LAXMINIYA,3095,1417,1678,1244,708,536,75,37,38,1772,670,1102,4,2,2,40.19386106623586,49.96471418489767,31.942789034564957
BALAWA,7232,3490,3742,3032,1838,1194,88,51,37,4104,1599,2505,8,2,6,41.92477876106195,52.664756446991404,31.90807055050775
BANAULI DONAULI,4161,2014,2147,2588,1480,1108,64,35,29,1507,499,1008,2,0,2,62.196587358807975,73.48560079443894,51.60689333954355
BANOUTA,5652,2711,2941,2337,1492,845,88,44,44,3224,1174,2050,3,1,2,41.34819532908705,55.03504241977131,28.731723903434208
BARDIBAS,11523,5742,5781,8749,4850,3899,232,121,111,2541,771,1770,1,0,1,75.9264080534583,84.46534308603275,67.44507870610622
BASABITTI,5625,2768,2857,1879,1205,674,134,53,81,3611,1509,2102,1,1,0,33.404444444444444,43.533236994219656,23.59117955897795
BATHANAHA,8819,4645,4174,4597,2745,1852,325,181,144,3882,1710,2172,15,9,6,52.126091393582044,59.09580193756727,44.36990896023
BELGACHHI,5567,2776,2791,2707,1569,1138,52,23,29,2808,1184,1624,0,0,0,48.625830788575534,56.52017291066282,40.773916159082766
BHARATPUR,9144,4621,4523,4039,2445,1594,294,154,140,4783,2010,2773,28,12,16,44.171041119860014,52.91062540575633,35.242095954012825
BHATAULIYA,4084,2040,2044,1876,1150,726,159,67,92,2047,823,1224,2,0,2,45.93535749265426,56.372549019607845,35.51859099804305
BIJAYALPURA,7294,3551,3743,3569,2088,1481,82,33,49,3639,1428,2211,4,2,2,48.93062791335344,58.80033793297663,39.56719209190489
BRAMARPURA,7869,3577,4292,3658,2101,1557,152,76,76,4059,1400,2659,0,0,0,46.48621171686364,58.736371260833096,36.276794035414724
DAMHIMARAYEE,8752,4361,4391,3789,2280,1509,368,185,183,4591,1894,2697,4,2,2,43.29296160877514,52.28158679202017,34.36574812115691
DHAMAURA,12495,6014,6481,4649,2785,1864,396,185,211,7436,3035,4401,14,9,5,37.20688275310124,46.30861323578318,28.760993673815772
DHARMAPUR,4992,2146,2846,1605,978,627,47,24,23,3339,1143,2196,1,1,0,32.15144230769231,45.573159366262814,22.030920590302177
DHIRAPUR,8346,4032,4314,3455,2112,1343,149,73,76,4737,1845,2892,5,2,3,41.39707644380542,52.38095238095239,31.131200741770975
EKADARABELA,9151,4925,4226,3792,2424,1368,720,375,345,4637,2125,2512,2,1,1,41.43809419735548,49.21827411167513,32.371036441079035
EKARAHIYA,8842,4281,4561,4700,2815,1885,75,37,38,4067,1429,2638,0,0,0,53.15539470707985,65.75566456435412,41.328655996491996
ETAHARWAKATTI,6199,3115,3084,3443,2030,1413,120,57,63,2634,1028,1606,2,0,2,55.541216325213746,65.1685393258427,45.81712062256809
FULAHATTA PARIKAULI,5297,2696,2601,2703,1670,1033,280,149,131,2302,873,1429,12,4,8,51.028884274117424,61.94362017804155,39.715494040753555
FULAKAHA,6240,3184,3056,2345,1505,840,133,64,69,3762,1615,2147,0,0,0,37.580128205128204,47.267587939698494,27.486910994764397
GAIDHA BHETPUR,4680,2280,2400,1813,1092,721,136,65,71,2731,1123,1608,0,0,0,38.73931623931624,47.89473684210526,30.041666666666668
GAURIBAS,5714,2634,3080,3953,2041,1912,63,28,35,1697,564,1133,1,1,0,69.1809590479524,77.48671222475323,62.077922077922075
GAUSHALA,15337,7883,7454,8118,4881,3237,378,214,164,6837,2785,4052,4,3,1,52.930820890656584,61.91805150323481,43.42634826938557
GONARPURA,6360,3169,3191,2920,1817,1103,198,94,104,3241,1257,1984,1,1,0,45.911949685534594,57.336699274218994,34.565966781573174
HALKHORI,5269,2448,2821,2326,1400,926,159,80,79,2779,966,1813,5,2,3,44.14499905105333,57.18954248366013,32.82523927685218
HARIHARPUR HARINAMARI,5986,2765,3221,2366,1357,1009,99,40,59,3515,1367,2148,6,1,5,39.52555963915804,49.07775768535262,31.325675256131635
HATHILET,4860,2345,2515,3064,1697,1367,92,47,45,1703,600,1103,1,1,0,63.04526748971193,72.36673773987206,54.35387673956262
HATISARWA,5954,2803,3151,2524,1501,1023,86,39,47,3331,1258,2073,13,5,8,42.391669465905274,53.54976810560114,32.46588384639797
JALESHWOR MUNICIPALITY,20958,10364,10594,13053,7544,5509,687,319,368,7193,2495,4698,25,6,19,62.281706269682225,72.79042840602085,52.00113271663206
KHAIRBANNI,7959,4112,3847,3314,2155,1159,193,83,110,4444,1871,2573,8,3,5,41.63839678351552,52.40758754863813,30.127371978164803
KHAYAR MARA,8009,3934,4075,4750,2640,2110,122,54,68,3136,1240,1896,1,0,1,59.308278187039576,67.10726995424504,51.77914110429448
KHOPI,6361,3021,3340,2677,1596,1081,377,185,192,3305,1239,2066,2,1,1,42.08457789655714,52.83018867924528,32.365269461077844
KHUTTAPIPARADHI,9035,4303,4732,3347,2011,1336,282,119,163,5383,2162,3221,23,11,12,37.0448256779192,46.734836160818034,28.233305156382077
KISAN NAGAR,7290,3637,3653,4172,2452,1720,154,89,65,2962,1095,1867,2,1,1,57.22908093278464,67.41820181468243,47.08458800985492
KOLHUWA BAGAICHA,7449,3724,3725,2778,1687,1091,120,59,61,4539,1972,2567,12,6,6,37.29359645590012,45.30075187969925,29.288590604026844
LAXIMINIYA,9721,4910,4811,5153,3096,2057,212,101,111,4342,1705,2637,14,8,6,53.00894969653328,63.05498981670061,42.75618374558304
LOHARPATTI,7172,3327,3845,3161,1908,1253,50,24,26,3959,1395,2564,2,0,2,44.074177356385945,57.34896302975654,32.58777633289987
MAHADAIYATAPANPUR,4937,2300,2637,1768,1117,651,53,23,30,3114,1160,1954,2,0,2,35.8112213895078,48.56521739130435,24.687144482366325
MAHOTTARI,9507,4850,4657,4843,2995,1848,163,87,76,4498,1765,2733,3,3,0,50.94141159145893,61.75257731958763,39.68219884045523
MAISTHAN,9137,4260,4877,6014,3194,2820,127,71,56,2995,995,2000,1,0,1,65.82029112400132,74.97652582159624,57.822431822841914
MAJHORA BISHNUPUR,5895,2952,2943,2711,1663,1048,128,57,71,3049,1229,1820,7,3,4,45.98812553011026,56.33468834688347,35.60992184845396
MANARA,6181,3121,3060,2802,1722,1080,223,109,114,3156,1290,1866,0,0,0,45.33247047403333,55.174623518103175,35.294117647058826
MATIHANI,8483,4286,4197,3771,2306,1465,193,98,95,4511,1878,2633,8,4,4,44.45361310857008,53.80307979468035,34.90588515606385
MEGHANATH GORAHANNA,5405,2612,2793,2780,1634,1146,164,88,76,2407,877,1530,54,13,41,51.433857539315454,62.55742725880551,41.03114930182599
NAINHI,7429,3774,3655,3514,2146,1368,135,79,56,3780,1549,2231,0,0,0,47.30111724323597,56.86274509803921,37.428180574555405
NIGAUL,6828,3321,3507,2605,1567,1038,101,49,52,4120,1704,2416,2,1,1,38.15172817809022,47.18458295694068,29.597946963216426
PARAUL,5979,2912,3067,3025,1849,1176,80,37,43,2872,1026,1846,2,0,2,50.59374477337347,63.49587912087912,38.343658298011086
PARSA DEWADH,9876,4883,4993,2637,1659,978,148,76,72,7088,3146,3942,3,2,1,26.701093560145807,33.9750153594102,19.587422391347886
PARSA PATELI,3213,1477,1736,1931,1043,888,65,31,34,1215,403,812,2,0,2,60.099595393713045,70.61611374407583,51.1520737327189
PASUPATINAGAR,4390,2238,2152,2524,1480,1044,55,30,25,1806,727,1079,5,1,4,57.49430523917995,66.13047363717605,48.51301115241636
PIGOUNA,3231,1486,1745,1739,993,746,81,37,44,1409,455,954,2,1,1,53.82234602290312,66.82368775235533,42.750716332378225
PIPRA,8415,4317,4098,3961,2428,1533,97,48,49,4348,1839,2509,9,2,7,47.070707070707066,56.24276117674311,37.40849194729136
POKHARIBHINDA SAMGRAMPUR,4592,2277,2315,1258,804,454,90,46,44,2273,969,1304,971,458,513,27.39547038327526,35.30961791831357,19.611231101511876
RAGHUNATHPUR,5532,2817,2715,2174,1383,791,176,97,79,3169,1330,1839,13,7,6,39.29862617498192,49.094781682641106,29.134438305709025
RAMGOPALPUR,10433,5081,5352,3789,2334,1455,766,372,394,5862,2367,3495,16,8,8,36.31745423176459,45.93583940169258,27.18609865470852
RAMNAGAR,6521,3259,3262,3662,2106,1556,180,111,69,2667,1037,1630,12,5,7,56.15703113019476,64.62104940165695,47.70079705702023
RATAULI,5327,2792,2535,2393,1503,890,188,91,97,2729,1189,1540,17,9,8,44.92209498779801,53.8323782234957,35.108481262327416
SAHASAULA,6461,3097,3364,2533,1559,974,102,49,53,3824,1488,2336,2,1,1,39.20445751431667,50.339037778495324,28.953626634958386
SAHORAWA,5139,2468,2671,2406,1446,960,153,65,88,2580,957,1623,0,0,0,46.818447168709866,58.58995137763371,35.941594908274055
SANDHA,3983,1954,2029,1992,1217,775,91,45,46,1900,692,1208,0,0,0,50.01255335174491,62.28249744114637,38.196155741744704
SARPALLO,8738,4235,4503,3752,2242,1510,203,107,96,4407,1735,2672,376,151,225,42.93888761730373,52.93978748524203,33.533200088829666
SHAMSI,7211,3713,3498,2312,1470,842,135,65,70,4758,2176,2582,6,2,4,32.06212730550548,39.59062752491247,24.070897655803318
SHREEPUR,10172,5107,5065,4458,2728,1730,248,113,135,5464,2264,3200,2,2,0,43.82618953991349,53.416878793812415,34.15597235932873
SIMARDAHI,4470,2007,2463,1514,887,627,52,22,30,2902,1098,1804,2,0,2,33.87024608501118,44.19531639262581,25.456760048721073
SINGYAHI,7404,3618,3786,2948,1868,1080,481,219,262,3968,1530,2438,7,1,6,39.81631550513236,51.63073521282476,28.526148969889064
SISAWAKATAIYA,6609,3134,3475,2584,1536,1048,197,112,85,3827,1485,2342,1,1,0,39.09819942502648,49.01084875558392,30.158273381294965
SONAMA,8081,4091,3990,3339,2151,1188,147,83,64,4595,1857,2738,0,0,0,41.31914367033783,52.57883158152041,29.774436090225564
SONAMAI,7863,3811,4052,3279,1927,1352,102,50,52,4482,1834,2648,0,0,0,41.70164059519267,50.56415638939911,33.366238894373154
SONAUL,3768,1902,1866,1342,821,521,43,26,17,2382,1055,1327,1,0,1,35.615711252653924,43.16508937960042,27.920685959271168
SUGA VAWANI,6132,3238,2894,3713,2213,1500,329,155,174,2064,859,1205,26,11,15,60.5512067840835,68.34465719579987,51.83137525915688
SUNDARPUR,12239,6128,6111,4329,2832,1497,341,166,175,7561,3129,4432,8,1,7,35.37053680856279,46.21409921671018,24.496809032891505
VAGAHA,11629,5420,6209,4991,2857,2134,222,113,109,6369,2434,3935,47,16,31,42.91856565482844,52.71217712177122,34.36946368175229
INSTITUTIONAL,2354,2272,82,2297,2236,61,20,13,7,27,13,14,10,10,0,97.5785896346644,98.41549295774648,74.39024390243902
