VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
AGARA,1556,4,4,2,0,6
AMBHANJYANG,1109,35,1,246,1,11
BAJRABARAHI,1513,85,20,9,2,1
BASAMADI,1862,793,88,744,54,16
BETINI,289,0,0,328,0,0
BHAISE,1123,79,1,176,2,7
BHARTA PUNDYADEVI,186,1,0,499,4,3
BHIMFEDI,1099,43,1,16,0,2
BUDHICHAUR,354,1,0,15,0,0
CHITLANG,1127,41,3,0,0,1
CHURIYAMAI,1465,369,9,1121,8,8
DAMAN,1772,65,33,38,2,3
DANDAKHARKA,631,3,0,74,11,1
DHIYAL,62,0,1,1022,3,2
FAKHEL,992,12,3,0,0,4
FAPARBARI,1208,51,8,1940,4,10
GOGANE,946,0,1,33,1,2
HANDIKHOLA,641,85,31,2910,3,6
HATIYA,661,600,81,1373,20,16
HETAUDA MUNICIPALITY,8507,7293,2558,1229,102,162
HURNAMADI,510,65,29,908,2,10
IPA PANCHAKANYA,445,0,0,13,0,1
KALIKATAR,597,2,0,192,1,4
KANKADA,651,3,1,627,20,2
KHAIRANG,332,0,0,249,0,2
KOGATE,280,0,0,0,0,0
KULEKHANI,657,6,1,4,0,2
MAKWANPURGADHI,1333,79,2,1141,7,14
MANAHARI,1075,622,113,2393,2,10
MANTHALI,452,0,0,53,2,2
MARKHU,605,22,0,7,0,0
NAMTAR,1007,30,2,653,0,17
NIBUWATAR,819,15,0,46,1,3
PADAM POKHARI,1113,1010,19,1448,7,10
PALUNG,1161,47,25,0,0,3
RAIGAUN,111,8,3,1765,1,5
RAKSIRANG,495,19,2,632,1,3
SARIKHET PALASE,569,5,0,942,1,1
SHIKHARPUR,623,13,3,408,2,5
SHREEPUR CHHATIWAN,969,138,37,3011,6,11
SISNERI MAHADEVSTHAN,721,11,0,3,0,4
SUKAURA,637,4,1,6,0,6
THINGAN,606,3,1,101,2,0
TISTUNG DEURALI,1359,9,0,33,0,4
TOTAL,44230,11671,3082,26410,272,380
