VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
AGARA,1800,1949,1268,1300,469,546,63,103
AMBHANJYANG,1431,1578,1006,1146,417,422,8,10
BAJRABARAHI,1479,1799,1042,1164,401,594,36,41
BASAMADI,3654,3841,2407,2481,1227,1338,20,22
BETINI,745,820,541,569,193,240,11,11
BHAISE,1479,1583,987,1028,481,534,11,21
BHARTA PUNDYADEVI,1036,1002,520,452,510,539,6,11
BHIMFEDI,1062,1222,759,866,294,350,9,6
BUDHICHAUR,525,522,378,368,145,152,2,2
CHITLANG,833,1110,623,700,209,402,1,8
CHURIYAMAI,3183,3325,2127,2156,1008,1105,48,64
DAMAN,1676,1777,1236,1162,424,592,16,23
DANDAKHARKA,991,1006,613,553,283,340,95,113
DHIYAL,1439,1590,850,825,580,757,9,8
FAKHEL,895,1105,554,620,337,475,4,10
FAPARBARI,3841,4287,2648,2720,1168,1543,25,24
GOGANE,1259,1383,751,830,337,378,171,175
HANDIKHOLA,3993,4517,2683,2880,1280,1589,30,48
HATIYA,2360,2525,1709,1704,602,756,49,65
HETAUDA MUNICIPALITY,13660,13246,10337,9785,3150,3223,173,238
HURNAMADI,1161,1314,885,937,268,361,8,16
IPA PANCHAKANYA,600,598,406,400,191,195,3,3
KALIKATAR,1089,1171,605,612,472,541,12,18
KANKADA,1952,1954,1077,948,848,987,27,19
KHAIRANG,853,876,425,443,413,415,15,18
KOGATE,256,326,152,207,99,115,5,4
KULEKHANI,606,701,371,405,231,294,4,2
MAKWANPURGADHI,2713,2942,1872,1940,810,964,31,38
MANAHARI,4268,4850,2834,3140,1397,1654,37,56
MANTHALI,626,700,386,431,238,269,2,0
MARKHU,652,702,389,376,261,325,2,1
NAMTAR,2023,2111,1311,1333,695,745,17,33
NIBUWATAR,919,1018,636,663,275,350,8,5
PADAM POKHARI,3577,3818,2546,2629,1013,1162,18,27
PALUNG,1017,1258,722,819,282,423,13,16
RAIGAUN,2456,2689,1576,1438,870,1239,10,12
RAKSIRANG,1550,1666,1004,1047,540,610,6,9
SARIKHET PALASE,2017,2123,1233,1228,768,869,16,26
SHIKHARPUR,1424,1533,938,906,470,612,16,15
SHREEPUR CHHATIWAN,4736,5220,3332,3336,1330,1766,74,118
SISNERI MAHADEVSTHAN,671,776,423,493,245,275,3,8
SUKAURA,862,909,565,622,282,266,15,21
THINGAN,976,1145,611,609,362,528,3,8
TISTUNG DEURALI,1652,1736,958,1011,587,578,107,147
INSTITUTIONAL,1241,169,245,125,901,41,95,3
