VDC/MUNICIPALITY,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE
BHRAKA,9,4,5,67,39,28,31,16,15,10,1,9,11,9,2,10,6,4,0,0,0,0,0,0,0,0,0,25,15,10,0,0,0
CHAME,7,5,2,220,127,93,130,65,65,90,42,48,99,63,36,143,79,64,28,26,2,7,7,0,0,0,0,53,36,17,1,0,1
DHARAPANI,16,6,10,173,99,74,171,102,69,65,42,23,79,48,31,136,68,68,14,13,1,4,4,0,0,0,0,41,27,14,0,0,0
FU,4,1,3,75,38,37,16,12,4,7,6,1,6,4,2,1,1,0,0,0,0,0,0,0,1,0,1,12,5,7,0,0,0
GHYARU,7,2,5,7,4,3,5,4,1,0,0,0,3,1,2,3,3,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0
KHANGSAR,12,8,4,39,26,13,39,19,20,8,4,4,13,6,7,8,5,3,1,1,0,1,1,0,0,0,0,40,32,8,0,0,0
MANANG,4,3,1,141,95,46,81,48,33,25,15,10,39,27,12,61,32,29,6,5,1,2,2,0,0,0,0,64,48,16,2,1,1
NAR,23,13,10,105,55,50,21,13,8,7,4,3,4,2,2,3,1,2,0,0,0,0,0,0,0,0,0,117,55,62,0,0,0
NGAWAL,8,5,3,49,32,17,50,35,15,17,11,6,15,9,6,12,7,5,0,0,0,0,0,0,0,0,0,35,19,16,0,0,0
PISANG,1,1,0,86,46,40,36,25,11,15,9,6,7,5,2,11,7,4,0,0,0,1,1,0,1,1,0,60,26,34,0,0,0
TACHAI BAGARCHHAP,19,13,6,160,78,82,64,31,33,27,12,15,32,20,12,44,29,15,5,4,1,0,0,0,1,0,1,18,4,14,2,0,2
TANKI MANANG,13,6,7,89,47,42,26,18,8,17,12,5,16,13,3,14,12,2,10,10,0,1,1,0,5,2,3,69,41,28,0,0,0
THOCHE,15,5,10,75,37,38,44,23,21,11,5,6,28,18,10,42,26,16,5,5,0,5,5,0,0,0,0,31,11,20,0,0,0
INSTITUTIONAL,37,22,15,102,86,16,205,202,3,112,111,1,111,106,5,41,38,3,23,23,0,14,14,0,1,1,0,40,18,22,0,0,0
