VDC/MUNICIPALITY,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE
AMAHIBARIYATI,5686,2758,2928,3132,1815,1317,108,54,54,2445,888,1557,1,1,0,55.08265916285614,65.8085569253082,44.97950819672131
AMARDAHA,12678,5933,6745,7900,4204,3696,389,200,189,4388,1529,2859,1,0,1,62.3126676131882,70.85791336591943,54.796145292809484
AMGACHHI,4708,2192,2516,3057,1679,1378,58,24,34,1593,489,1104,0,0,0,64.9320305862362,76.59671532846716,54.769475357710654
BABIYA BIRTA,13351,6335,7016,7758,4242,3516,356,186,170,5230,1905,3325,7,2,5,58.1080068908696,66.96132596685082,50.11402508551881
BAHUNI,11191,5157,6034,7916,4214,3702,142,69,73,3133,874,2259,0,0,0,70.73541238495218,81.71417490789219,61.35233675836924
BAIJANATHPUR,5036,2507,2529,2912,1684,1228,142,77,65,1982,746,1236,0,0,0,57.82366957903098,67.17191862784205,48.55674179517596
BANIGAMA,8079,3808,4271,5459,2958,2501,102,51,51,2517,799,1718,1,0,1,67.57024384205967,77.67857142857143,58.557714820885046
BARADANGA,9963,5071,4892,4959,3017,1942,282,155,127,4699,1887,2812,23,12,11,49.77416440831075,59.49516860579768,39.69746524938675
BAYARBAN,18790,8471,10319,13675,6879,6796,331,163,168,4780,1427,3353,4,2,2,72.7780734433209,81.20646912997285,65.85909487353425
BELBARI,22225,10099,12126,16918,8433,8485,336,156,180,4964,1508,3456,7,2,5,76.1214848143982,83.50331716011486,69.97361042388258
BHAUDAHA,6278,3167,3111,3440,2030,1410,64,30,34,2773,1106,1667,1,1,0,54.794520547945204,64.09851594568993,45.32304725168756
BHOGATENI,4823,2212,2611,3156,1564,1592,198,90,108,1468,558,910,1,0,1,65.43645034211072,70.70524412296564,60.9728073535044
BIRATNAGAR SUB-METROPOLITAN CITY,185305,93810,91495,149160,81579,67581,2765,1181,1584,33297,11017,22280,83,33,50,80.49432017484688,86.9619443556124,73.86305262582655
BUDHANAGAR,12456,6319,6137,6623,4046,2577,263,130,133,5553,2134,3419,17,9,8,53.171162491971735,64.0291185314132,41.99120091249796
DADARBAIRIYA,7879,3907,3972,4557,2718,1839,128,49,79,3192,1140,2052,2,0,2,57.837288996065496,69.56744305093422,46.299093655589125
DAINIYA,12738,6476,6262,6240,3751,2489,523,265,258,5964,2456,3508,11,4,7,48.98728214790391,57.921556516368135,39.74768444586394
DANGIHAT,20187,8983,11204,14342,7178,7164,317,166,151,5511,1636,3875,17,3,14,71.04572249467479,79.90649003673606,63.94144948232774
DANGRAHA,4993,2371,2622,3208,1741,1467,122,52,70,1660,577,1083,3,1,2,64.24994992990186,73.4289329396879,55.94965675057209
DRABESH,15058,7013,8045,9486,5055,4431,178,92,86,5394,1866,3528,0,0,0,62.996413866383314,72.08042207329245,55.07768800497204
DULARI,12959,6048,6911,9914,5121,4793,160,73,87,2885,854,2031,0,0,0,76.50281657535304,84.67261904761905,69.35320503545073
GOVINDAPUR,14061,6799,7262,8654,4824,3830,318,160,158,5076,1812,3264,13,3,10,61.5461204750729,70.95161053096044,52.74029193059763
HARAICHA,6002,2810,3192,4376,2325,2051,61,36,25,1563,448,1115,2,1,1,72.9090303232256,82.74021352313167,64.25438596491229
HASANDAHA,10341,4715,5626,7096,3594,3502,257,134,123,2986,987,1999,2,0,2,68.62005608741902,76.22481442205726,62.246711695698544
HATHIMUDHA,9246,4635,4611,5674,3320,2354,147,75,72,3406,1232,2174,19,8,11,61.36707765520225,71.62891046386191,51.0518325742789
HOKLABARI,4420,2069,2351,2951,1575,1376,53,21,32,1415,472,943,1,1,0,66.76470588235294,76.12373127114547,58.52828583581454
INDRAPUR,24842,11477,13365,19182,9632,9550,677,305,372,4972,1536,3436,11,4,7,77.21600515256421,83.92437048009062,71.4552936775159
ITAHARA,14153,6362,7791,10470,5182,5288,314,171,143,3366,1009,2357,3,0,3,73.97724863986433,81.45237346746306,67.87318701065331
JANTE,7301,3205,4096,5561,2641,2920,187,85,102,1553,479,1074,0,0,0,76.16764826736063,82.40249609984399,71.2890625
JHORAHAT,4880,2388,2492,3239,1768,1471,57,29,28,1581,590,991,3,1,2,66.37295081967213,74.03685092127303,59.02889245585875
JHURKIYA,10075,4812,5263,5709,3307,2402,147,74,73,4217,1430,2787,2,1,1,56.66501240694789,68.72402327514547,45.63936918107544
KASENI,6978,3223,3755,4792,2559,2233,147,72,75,2035,591,1444,4,1,3,68.67297219833763,79.39807632640398,59.46737683089215
