VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
BHIYEE,112,107,38,0,0,1,0,0,88,0,0,0,0,0,4
DHAINAKOT,224,177,80,1,0,3,0,0,141,0,0,0,0,0,26
DOLPHU,54,36,13,10,0,0,0,1,32,0,0,0,0,0,1
GUMTHA,161,262,119,5,0,1,0,0,213,0,3,0,0,0,10
HYANGLU,144,185,109,9,1,0,0,0,139,0,0,0,1,0,9
JIMA,240,248,141,5,0,0,0,0,191,0,0,0,0,1,7
KARKIBADA,236,418,342,21,10,3,0,5,252,0,0,0,0,1,8
KIMRI,45,69,42,0,1,0,0,2,60,0,0,0,0,0,0
KOT DANDA,110,189,170,8,0,0,0,0,85,0,1,1,0,0,2
MANGRI,284,163,124,8,1,1,0,0,81,0,0,1,1,0,8
MUGU,92,54,26,6,24,0,0,1,27,0,0,0,0,0,7
NATHARPU,106,144,70,1,0,0,0,0,110,0,0,0,0,0,28
PHOTU,68,176,137,1,0,0,0,0,65,0,0,0,0,0,1
PINA,331,321,213,25,4,1,0,7,190,0,0,0,0,0,20
PULU,105,111,76,6,0,0,0,0,76,0,0,0,0,0,0
RARA,107,133,69,4,1,1,0,1,120,0,0,0,0,0,2
KALAI,174,91,17,0,2,1,0,0,82,0,0,0,0,0,0
ROWA,414,332,227,18,2,2,0,6,227,0,0,0,0,0,14
RUGA,403,304,225,7,0,2,0,0,165,0,0,0,7,1,2
KHAMALE,150,135,79,1,0,0,0,1,93,0,0,0,1,0,7
SERI,131,221,166,6,0,2,0,0,97,0,0,0,0,0,32
SHREEKOT,322,309,151,3,0,1,0,2,242,0,0,0,0,0,13
SHREENAGAR,158,601,493,174,53,28,14,63,489,0,0,0,0,0,13
SUKADHIK,225,194,131,4,0,0,0,2,136,0,0,1,0,0,10
