VDC/MUNICIPALITY,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BHIYEE,25,197,0,1
DHAINAKOT,301,96,26,4
DOLPHU,91,0,0,0
GUMTHA,259,52,119,3
HYANGLU,270,52,13,3
JIMA,274,206,15,0
KARKIBADA,179,3,475,5
KIMRI,101,0,13,0
KOT DANDA,132,90,79,0
MANGRI,99,167,186,3
MUGU,147,0,6,0
NATHARPU,21,253,2,2
PHOTU,188,0,57,0
PINA,144,79,438,11
PULU,213,0,2,1
RARA,211,0,30,1
KALAI,192,3,48,22
ROWA,119,48,590,3
RUGA,523,0,185,1
KHAMALE,242,3,42,5
SERI,326,0,57,1
SHREEKOT,526,67,48,3
SHREENAGAR,93,7,660,12
SUKADHIK,279,16,107,27
TOTAL,4955,1339,3198,108
