VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
CHARANG,16,116,59,10,4,0,0,5,0,1,0,0,93,0,0
CHHONHUP,34,168,77,6,4,0,0,20,144,2,1,0,27,0,0
CHHOSER,36,122,64,4,1,1,0,0,105,0,3,0,80,0,0
CHHUSANG,21,147,115,21,20,2,0,6,113,2,3,1,5,2,0
GHAMI,35,132,76,10,0,1,0,10,0,1,1,0,111,0,2
JHONG,6,79,32,6,22,4,0,0,78,0,8,0,14,4,0
JOMSOM,24,406,106,133,265,32,16,72,397,15,32,1,2,51,0
KAGBENI,35,236,84,84,77,15,11,17,217,10,29,0,34,29,3
KOBANG,30,168,93,18,79,1,1,4,152,10,16,1,1,8,0
KUNJO,35,135,77,63,40,1,0,1,115,0,3,0,0,0,4
LETE,21,198,137,20,82,6,5,4,148,6,19,1,1,26,3
LOMANTHANG,3,169,13,8,0,0,0,11,166,0,8,0,4,0,0
MARPHA,37,376,122,11,236,31,14,73,355,26,52,3,3,35,1
MUKTINATH,18,179,81,41,93,3,1,12,159,10,33,0,3,26,1
SURKHANG,11,92,56,13,0,0,0,2,50,0,0,0,76,0,0
TUKUCHE,36,169,45,3,110,4,0,3,154,6,16,2,1,21,1
