VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED
AGRYOULI,427,1504,162,640,11,1,5
AMARAPURI,412,1349,76,53,3,69,17
AMRAUT,356,324,4,228,0,2,7
BADAHARA DUBAULIYA,334,407,20,343,5,120,22
BAIDAULI,65,237,4,447,4,137,12
BANJARIYA,283,381,24,399,27,103,7
BENIMANIPUR,962,393,511,34,7,54,10
BHARATIPUR,530,3,33,101,1,0,2
BHUJAHAWA,154,298,6,588,2,22,18
BULINGTAR,432,21,1,298,1,1,2
DADAJHERI TADI,395,2,0,22,1,0,2
DAWANNE DEVI,592,845,113,489,325,561,25
DEDGAUN,658,79,5,5,0,1,2
DEURALI,1681,878,388,9,3,9,7
DEVACHULI,1000,403,38,11,0,1,5
DEVAGAWA,107,495,0,208,10,105,2
DHAUBADI,576,255,208,1,0,3,18
DHURKOT,736,107,86,31,0,6,14
DIBYAPURI,703,1073,116,128,5,158,64
DUMKIBAS,546,991,584,20,0,231,7
GAIDAKOT,535,6381,671,178,24,152,81
GAIRAMI,233,526,8,220,1,3,15
GUTHI PARSAUNI,61,300,6,860,4,1,16
GUTHISURYAPURA,21,262,3,519,10,1,11
HAKUI,256,529,30,158,9,42,20
HARPUR,282,570,7,163,4,51,9
HUPSEKOT,532,0,1,5,0,0,14
JAHADA,637,776,39,81,8,144,13
JAMUNIYA,463,729,19,364,7,102,14
JAUBARI,662,9,2,3,0,0,4
KAWASWOTI,295,1881,68,440,87,72,27
KOLHUWA,307,589,231,617,3,177,12
KOTATHAR,491,3,1,8,0,0,0
KUDIYA,52,342,4,719,1,662,9
KUMARWARTI,216,565,56,376,5,1,19
KUSMA,304,600,0,125,0,41,9
MAINAGHAT,578,89,42,24,0,2,1
MAKAR,755,3438,481,611,65,258,31
MANARI,209,488,57,208,2,103,7
MITHUKARAM,471,5,11,14,0,0,2
MUKUNDAPUR,434,2191,177,153,8,24,36
NARAM,489,12,0,1,0,0,0
NARAYANI,304,562,124,650,184,150,17
NARSAHI,13,198,78,431,0,225,8
NAYA BELHANI,567,1218,706,78,108,202,6
PAKALIHAWA,74,382,11,776,1,400,12
PALHI,177,520,11,122,3,102,4
PANCHANAGAR,364,1181,231,326,8,34,12
PARSAUNI,210,405,150,334,107,170,12
PITHAULI,155,612,180,475,0,426,3
PRAGATINAGAR,789,1815,86,171,46,169,49
PRATAPPUR,65,326,5,477,3,378,4
RAJAHAR,624,1314,97,322,20,34,15
RAKACHULI,652,103,54,3,0,1,6
RAKUWA,462,21,0,3,0,0,0
RAMGRAM MUNICIPALITY,934,2973,15,668,15,325,42
RAMNAGAR,517,2226,175,225,7,97,68
RAMPUR KHADAUNA,110,238,2,312,1,0,54
RAMPURKHA,150,393,11,254,0,14,0
RATANAPUR,392,45,147,11,0,1,3
RUCHANG,538,1,0,2,0,0,0
RUPAULIYA,349,451,10,921,4,2,10
SANAI,333,478,8,223,2,117,5
SARAWAL,297,364,1,158,6,139,18
SHIVMANDIR,608,3536,724,258,35,171,63
SOMANI,161,289,63,494,0,119,17
SUKRAULI,199,497,5,241,1,33,1
SUNWAL,1120,3697,610,457,46,581,26
SWATHI,526,1246,60,207,6,44,13
TAMASARIYA,702,1181,127,90,220,97,9
THULO KHAIRATAWA,65,173,4,495,4,1,4
TILAKPUR,152,819,20,509,0,14,6
TRIBENISUSTA,142,770,207,818,2,72,18
UPALLO ARKHALE,641,18,5,8,0,0,0
TOTAL,31624,58382,8220,20421,1472,7538,1103
