VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
BAGESWORI,4849,2305,2544,61,40,21,30,16,14,18,7,11,0,0,0,9,4,5,6,1,5,5,4,1,8,5,3
BALKUMARI,2459,1208,1251,5,5,0,4,3,1,6,5,1,0,0,0,5,4,1,3,2,1,0,0,0,4,3,1
BARSUNCHET,421,180,241,2,1,1,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
BELKOT,7487,3635,3852,81,37,44,40,20,20,13,6,7,1,1,0,16,10,6,8,5,3,4,2,2,10,7,3
BETINI,4255,2109,2146,46,27,19,38,19,19,19,14,5,1,1,0,1,1,0,4,0,4,4,4,0,4,3,1
BHADRUTAR,3204,1550,1654,12,7,5,7,3,4,7,5,2,0,0,0,6,3,3,1,1,0,1,0,1,0,0,0
BHALCHE,3424,1598,1826,32,16,16,13,4,9,5,4,1,0,0,0,3,0,3,5,2,3,1,0,1,5,1,4
BIDUR MUNICIPALITY,26423,12534,13889,140,74,66,56,33,23,34,18,16,7,3,4,30,18,12,26,13,13,16,8,8,18,11,7
BUDHASING,2907,1321,1586,21,16,5,2,2,0,1,0,1,0,0,0,2,0,2,4,2,2,2,0,2,6,3,3
BUNGTANG,2062,890,1172,13,11,2,17,9,8,14,6,8,1,0,1,4,2,2,0,0,0,0,0,0,6,3,3
CHARGHARE,5341,2430,2911,36,23,13,11,3,8,9,6,3,0,0,0,12,9,3,4,2,2,1,1,0,5,4,1
CHATURALE,3134,1502,1632,27,15,12,32,20,12,14,4,10,0,0,0,8,5,3,4,3,1,0,0,0,19,10,9
CHAUGHADA,5370,2455,2915,55,35,20,9,3,6,8,5,3,0,0,0,18,9,9,4,1,3,2,1,1,14,10,4
CHAUTHE,3497,1752,1745,16,13,3,4,3,1,4,1,3,2,2,0,2,2,0,0,0,0,7,6,1,3,1,2
CHHAP,2052,990,1062,9,4,5,10,4,6,7,4,3,0,0,0,5,2,3,1,0,1,1,1,0,0,0,0
