VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ANDHERI NARAYANSTHAN,597,0,0,1,0,9
BAKSA,535,0,1,8,0,2
BALAKHU,827,2,0,5,0,1
BARNALU,659,3,0,30,1,1
BARUNESHWOR,789,2,2,2,10,4
BETINI,456,0,0,0,0,3
BHADAURE,561,0,0,0,1,1
BHUSSINGA,303,0,0,19,0,0
BIGUTAR,487,2,0,43,0,1
BILANDU,480,1,0,0,2,1
CHYANAM,615,1,0,1,0,2
DIYALE,508,0,0,3,0,3
FEDIGUTH,763,0,1,2,0,3
FULBARI,765,0,0,5,3,3
GAMNANGTAR,584,0,8,2,1,4
HARKAPUR,607,0,0,1,0,6
JANTARKHANI,351,0,0,35,0,2
JYAMIRE,539,0,0,0,0,6
KALIKADEVI,414,1,1,0,0,1
KHIGIKATI,347,0,0,2,0,3
KATUNJE,918,0,0,3,0,5
KETUKE,606,39,3,27,0,0
KHIJI CHANDESHWORI,264,0,1,10,0,0
KHIJIFALATE,691,0,1,13,0,1
KUIBHIR,401,0,0,3,4,1
KUNTADEVI,576,0,0,2,2,3
MADHAVPUR,495,2,0,1,0,2
MAMKHA,692,0,0,12,2,21
MANEBHANJYANG,569,2,1,20,3,28
MOLI,407,0,0,0,0,2
MULKHARKA,737,2,0,7,0,2
NARMEDESHWOR,322,0,0,0,0,0
OKHALDHUNGA,1073,58,81,32,4,110
PALAPU,921,0,0,5,0,20
PALTE,689,0,0,27,3,0
POKALI,618,0,0,15,7,3
POKHARE,329,0,0,2,0,0
PRAPCHA,267,1,0,3,0,0
RAGADEEP,411,0,0,36,5,3
RAGANI,726,0,0,11,5,6
RANIBAN,400,1,0,0,2,1
RATMATA,442,0,0,3,0,2
RAWADOLU,331,0,0,3,0,3
RUMJATAR,743,2,1,0,1,4
SALLERI,415,1,0,0,3,0
SERNA,337,0,0,2,0,4
SHREECHAUR,544,2,0,20,14,1
SINGHADEVI,449,1,0,1,0,4
SISNERI,835,0,0,5,0,19
TALUWA,447,0,0,0,0,0
TARKERABARI,402,0,0,4,2,3
THAKLE,492,0,0,58,0,2
TOKSEL,529,0,1,55,0,3
THULACHHAP,737,1,0,0,0,5
UBU,699,0,0,25,0,1
YASAM,583,0,0,1,0,1
TOTAL,31284,124,102,565,75,316
