VDC/MUNICIPALITY,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED
ANDHERI NARAYANSTHAN,131,460,394,35,2,0,0,4,339,0,3,0,0,0,16
BAKSA,142,404,399,8,0,0,0,1,95,0,0,0,0,0,0
BALAKHU,314,516,467,32,0,0,0,0,339,0,0,0,0,0,5
BARNALU,179,468,366,40,28,1,0,23,255,0,2,0,0,0,47
BARUNESHWOR,129,672,650,47,0,1,0,13,333,0,2,0,0,0,8
BETINI,66,393,333,1,0,0,0,1,323,0,0,0,0,0,0
BHADAURE,151,409,388,5,1,0,0,7,266,0,0,2,0,0,3
BHUSSINGA,34,286,278,28,2,1,0,0,132,0,1,1,0,0,2
BIGUTAR,137,396,373,41,1,4,0,56,253,0,2,0,2,0,0
BILANDU,120,341,325,17,1,0,0,2,122,0,0,0,1,0,23
CHYANAM,96,519,445,5,5,1,6,7,404,4,0,2,0,0,4
DIYALE,104,400,384,11,0,1,0,0,238,0,0,0,0,0,10
FEDIGUTH,140,627,605,9,0,1,0,3,135,0,1,0,0,0,2
FULBARI,206,548,541,20,1,1,0,1,181,0,0,0,0,0,22
GAMNANGTAR,137,453,428,16,0,0,0,26,222,0,0,0,0,0,9
HARKAPUR,116,494,434,23,4,1,0,4,317,0,1,1,0,0,4
JANTARKHANI,74,313,292,30,6,2,1,51,132,0,2,0,1,0,1
JYAMIRE,110,435,391,19,1,0,0,4,311,0,0,0,0,3,0
KALIKADEVI,96,318,308,14,0,0,0,10,95,0,0,0,0,0,3
KHIGIKATI,54,284,233,45,1,3,0,0,201,0,1,0,0,0,14
KATUNJE,194,731,615,52,0,3,0,15,572,0,1,0,1,0,1
KETUKE,220,450,399,43,1,3,0,1,257,0,9,0,0,0,5
KHIJI CHANDESHWORI,50,225,217,1,0,1,0,5,67,0,0,0,1,0,0
KHIJIFALATE,93,583,538,11,1,0,0,6,329,0,1,0,0,0,30
KUIBHIR,83,284,265,2,4,0,0,8,143,0,0,0,0,0,42
KUNTADEVI,136,441,376,2,0,1,0,7,313,0,1,0,0,0,6
MADHAVPUR,94,399,380,15,0,0,0,11,161,0,1,0,0,0,7
MAMKHA,97,585,542,40,0,0,0,18,329,0,1,0,0,0,45
MANEBHANJYANG,204,407,338,62,16,7,4,31,252,2,6,4,0,2,12
MOLI,127,277,262,12,0,0,0,2,147,0,4,0,0,0,5
MULKHARKA,171,538,463,64,3,0,47,1,406,2,4,13,0,1,39
NARMEDESHWOR,65,257,231,11,0,1,0,9,139,1,0,1,0,0,0
OKHALDHUNGA,59,1238,1001,303,425,151,84,334,1092,12,109,12,17,36,61
PALAPU,370,572,540,21,1,1,0,0,207,0,3,0,0,0,4
PALTE,134,537,512,13,1,1,0,3,208,0,0,0,0,1,48
POKALI,127,509,453,60,4,4,3,16,324,0,7,0,0,0,7
POKHARE,60,271,248,15,0,2,0,4,175,0,0,0,0,0,0
PRAPCHA,80,191,164,45,2,2,0,11,138,0,0,0,0,0,0
RAGADEEP,93,362,324,11,0,0,0,22,228,1,0,0,0,0,0
RAGANI,121,564,522,54,0,4,0,10,243,0,2,0,0,1,63
RANIBAN,94,301,290,8,0,0,0,4,130,0,0,1,0,0,9
RATMATA,83,352,334,0,0,0,0,10,146,0,0,0,0,0,12
RAWADOLU,60,277,248,37,0,1,0,3,158,0,0,0,0,0,0
RUMJATAR,104,643,560,61,252,11,5,162,287,2,7,4,1,6,4
SALLERI,47,365,335,32,0,5,0,4,291,0,1,3,0,0,7
SERNA,38,304,293,3,0,0,0,10,122,0,0,0,0,0,1
SHREECHAUR,104,467,431,13,2,1,0,4,225,0,0,0,0,1,10
SINGHADEVI,101,349,322,11,0,0,0,6,189,0,0,1,0,0,5
SISNERI,204,602,552,13,0,1,0,11,362,0,1,0,0,0,53
TALUWA,137,308,288,9,2,0,0,16,137,0,1,0,1,0,2
TARKERABARI,109,301,255,19,3,2,0,3,186,0,0,0,0,1,1
THAKLE,43,387,331,52,5,4,0,55,214,2,6,5,0,0,122
TOKSEL,142,422,370,61,2,3,1,12,267,15,6,6,0,0,24
THULACHHAP,146,587,533,9,1,2,2,16,409,0,1,2,3,0,10
UBU,240,484,435,49,3,1,0,74,161,0,1,0,0,0,1
YASAM,174,409,377,7,1,0,0,10,201,0,1,1,1,0,2
