VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
ANDHERI NARAYANSTHAN,482,115,1,0,0,0,0,9
BAKSA,466,69,8,1,0,0,0,2
BALAKHU,739,70,22,3,0,0,0,1
BARNALU,266,268,38,0,1,1,119,1
BARUNESHWOR,209,21,560,1,0,0,10,8
BETINI,337,62,56,0,1,0,0,3
BHADAURE,545,16,1,0,0,0,0,1
BHUSSINGA,24,5,171,0,121,0,1,0
BIGUTAR,44,59,351,0,37,0,41,1
BILANDU,108,43,327,0,1,0,4,1
CHYANAM,440,56,119,2,0,0,0,2
DIYALE,487,24,0,0,0,0,0,3
FEDIGUTH,568,54,143,0,0,0,0,4
FULBARI,469,164,139,1,0,0,0,3
GAMNANGTAR,122,29,439,0,0,0,5,4
HARKAPUR,152,12,443,0,1,0,0,6
JANTARKHANI,7,46,84,0,233,0,16,2
JYAMIRE,432,92,16,0,0,0,0,5
KALIKADEVI,321,82,12,1,0,0,0,1
KHIGIKATI,11,3,284,1,48,0,2,3
KATUNJE,480,36,402,1,1,0,0,6
KETUKE,389,251,16,8,0,0,11,0
KHIJI CHANDESHWORI,19,2,244,0,5,0,5,0
KHIJIFALATE,13,6,658,0,22,0,6,1
KUIBHIR,393,14,0,0,0,0,1,1
KUNTADEVI,357,31,190,0,0,0,3,2
MADHAVPUR,447,41,9,0,0,0,0,3
MAMKHA,527,67,48,3,0,0,61,21
MANEBHANJYANG,382,168,34,3,0,0,7,29
MOLI,386,21,0,0,0,0,0,2
MULKHARKA,536,123,88,0,0,0,0,1
NARMEDESHWOR,191,35,95,0,0,0,0,1
OKHALDHUNGA,230,815,116,76,5,0,5,111
PALAPU,485,75,360,1,1,0,6,18
PALTE,84,12,277,2,338,0,5,1
POKALI,113,12,499,1,4,0,11,3
POKHARE,305,22,1,0,0,0,1,2
PRAPCHA,31,0,238,0,0,0,2,0
RAGADEEP,112,6,207,0,97,0,30,3
RAGANI,35,7,692,0,1,0,7,6
RANIBAN,177,54,172,0,0,0,0,1
RATMATA,388,36,21,0,0,0,1,1
RAWADOLU,7,4,262,0,60,0,1,3
RUMJATAR,219,503,3,4,18,0,0,4
SALLERI,248,160,5,0,0,0,5,1
SERNA,331,4,2,0,0,0,0,6
SHREECHAUR,126,21,381,1,30,0,21,1
SINGHADEVI,285,88,77,0,0,0,0,5
SISNERI,696,71,69,0,0,0,3,20
TALUWA,416,25,6,0,0,0,0,0
TARKERABARI,121,26,254,0,0,0,7,3
THAKLE,425,95,22,5,0,1,2,2
TOKSEL,523,47,9,3,0,2,0,4
THULACHHAP,657,77,3,0,1,0,0,5
UBU,575,128,19,1,1,0,0,1
YASAM,173,15,393,0,0,0,3,1
TOTAL,17111,4388,9086,119,1027,4,402,329
