VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,ELECTRICITY,OTHERS,NOT_STATED
ARCHALE,451,0,0,1,0,0,1,0
ARGALI,682,5,56,1,75,0,0,0
BAHADURPUR,297,0,1,0,0,0,0,2
BALDENGADHI,422,2,0,1,0,0,0,0
BANDIPOKHARA,616,0,3,0,0,0,0,3
BARANGDI,554,0,7,0,4,0,0,1
BHAIRABSTHAN,551,0,19,0,2,0,0,0
BHUWANPOKHARI,1223,7,2,1,0,0,0,3
BIRKOT,712,0,31,0,19,0,0,0
BODHAPOKHARATHOK,613,2,8,2,39,0,0,0
BOUDHAGUMBA,519,3,7,0,1,0,0,1
CHAPPANI,507,2,2,1,3,0,0,2
CHHAHARA,1131,5,41,0,2,0,1,0
CHIDIPANI,947,1,28,0,24,1,1,0
CHIRTUNGDHARA,816,0,62,1,117,2,2,0
DARCHHA,1178,3,299,7,241,15,0,13
DARLAMDANDA,455,1,25,1,34,0,0,3
DEURALI,553,3,27,1,42,0,1,2
DEVINAGAR,597,2,19,0,10,0,0,0
DOBHAN,1347,4,64,0,14,1,0,6
FEK,679,3,3,0,1,0,0,2
FOKSINGKOT,761,2,7,1,15,2,0,0
GADAKOT,1115,4,23,3,29,0,0,3
GALDHA,731,11,2,2,5,0,0,0
GEJHA,1020,2,30,0,92,2,0,1
GOTHADI,760,2,2,3,0,0,0,2
HAKLANG,638,2,7,0,14,0,0,4
HUMIN,535,0,10,0,5,0,0,0
HUNGI,979,1,23,0,76,0,0,2
JALPA,589,1,19,0,9,0,0,0
JHADEWA,922,3,29,5,5,0,0,0
JHIRUBAS,439,1,0,0,0,0,0,3
JUTHAPAUWA,703,5,1,0,0,0,0,3
JYAMIRE,573,1,1,0,0,0,0,1
KACHAL,778,0,6,2,0,0,0,1
KASENI,881,4,229,0,65,0,1,1
KHALIBAN,1187,2,17,0,104,7,0,2
KHANICHHAP,445,1,17,0,23,0,0,0
KHANIGAU,462,1,1,0,2,1,0,0
KHASYOLI,486,0,68,0,7,0,0,5
KHYAHA,529,1,9,0,6,0,0,1
KOLDADA,652,1,1,0,3,0,0,4
KUSUMKHOLA,391,1,19,0,1,0,0,1
MADANPOKHARA,1133,11,254,4,132,1,0,6
MASYAM,951,8,35,0,5,0,1,4
MITYAL,731,7,8,0,3,0,0,9
MUJHUNG,515,2,10,0,1,0,0,4
NAYARNAMTALES,440,3,82,0,8,0,0,1
PALUNG MAINADI,611,3,33,1,5,0,1,1
PIPALDADA,1131,2,45,0,13,0,0,2
POKHARATHOK,569,1,7,0,8,0,0,1
RAHABAS,374,1,5,1,5,0,0,0
RAMPUR,1589,6,714,4,374,29,3,14
RINGNERAHA,463,0,34,1,44,0,0,1
RUPSE,396,2,35,1,29,0,0,1
SAHALKOT,323,5,1,0,0,0,0,2
SATYAWATI,622,0,5,0,0,0,1,1
SIDDHESHWOR,641,0,5,0,0,0,0,14
SILUWA,982,0,27,1,22,0,0,3
SOMADI,618,1,9,0,7,0,0,0
TAHU,733,2,94,1,18,0,0,0
TANSEN MUNICIPALITY,1764,190,6196,2,176,5,42,36
TELGHA,674,3,36,2,37,0,0,0
TIMURE,570,2,5,0,0,0,0,1
WAKAMALANG,565,1,2,4,3,0,0,4
YAMGHA,851,3,16,1,30,0,0,0
TOTAL,47672,342,8883,56,2009,66,55,177
