VDC/MUNICIPALITY,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO
TOTAL,59291,261180,115840,145340,4.405053043463595,79.70276592816843
ARCHALE,453,2545,1150,1395,5.618101545253863,82.43727598566308
ARGALI,819,3393,1429,1964,4.142857142857143,72.75967413441956
BAHADURPUR,300,1690,761,929,5.633333333333334,81.91603875134554
BALDENGADHI,425,2043,961,1082,4.807058823529411,88.8170055452865
BANDIPOKHARA,622,2463,1043,1420,3.959807073954984,73.45070422535211
BARANGDI,566,2351,1049,1302,4.1537102473498235,80.56835637480799
BHAIRABSTHAN,572,2211,956,1255,3.8653846153846154,76.17529880478088
BHUWANPOKHARI,1236,5408,2279,3129,4.375404530744337,72.83477149248961
BIRKOT,762,3640,1538,2102,4.776902887139108,73.16841103710752
BODHAPOKHARATHOK,664,2568,1073,1495,3.8674698795180724,71.77257525083613
BOUDHAGUMBA,531,2155,858,1297,4.058380414312618,66.1526599845798
CHAPPANI,517,2075,852,1223,4.013539651837524,69.664758789861
CHHAHARA,1180,4798,2051,2747,4.066101694915254,74.66326902074991
CHIDIPANI,1002,4171,1799,2372,4.1626746506986025,75.84317032040472
CHIRTUNGDHARA,1000,4266,1815,2451,4.266,74.0514075887393
DARCHHA,1756,7565,3277,4288,4.3080865603644645,76.42257462686567
DARLAMDANDA,519,2097,878,1219,4.040462427745664,72.02625102543068
DEURALI,629,2324,963,1361,3.694753577106518,70.75679647318148
DEVINAGAR,628,2989,1324,1665,4.759554140127388,79.51951951951952
DOBHAN,1436,6872,3215,3657,4.7855153203342615,87.91359037462401
FEK,688,2972,1250,1722,4.319767441860465,72.59001161440186
FOKSINGKOT,788,3733,1493,2240,4.7373096446700504,66.65178571428572
GADAKOT,1177,5127,2166,2961,4.355989804587935,73.15096251266465
GALDHA,751,3824,1655,2169,5.091877496671105,76.30244352236053
GEJHA,1147,5277,2255,3022,4.600697471665214,74.61945731303771
GOTHADI,769,4558,2143,2415,5.927178153446034,88.73706004140787
HAKLANG,665,3124,1325,1799,4.697744360902256,73.6520289049472
HUMIN,550,2436,1052,1384,4.429090909090909,76.01156069364163
HUNGI,1081,4579,1933,2646,4.235892691951896,73.05366591080876
JALPA,618,3160,1408,1752,5.11326860841424,80.36529680365297
JHADEWA,964,4536,1966,2570,4.7053941908713695,76.49805447470817
JHIRUBAS,443,3127,1420,1707,7.058690744920993,83.18687756297598
JUTHAPAUWA,712,3440,1550,1890,4.831460674157303,82.01058201058201
JYAMIRE,576,3754,1711,2043,6.517361111111111,83.74938815467449
KACHAL,787,3699,1720,1979,4.700127064803049,86.91258211217787
KASENI,1181,5697,2500,3197,4.823878069432684,78.1983109164842
KHALIBAN,1319,5912,2514,3398,4.482183472327521,73.98469688051796
KHANICHHAP,486,2094,884,1210,4.308641975308642,73.05785123966942
KHANIGAU,467,1881,781,1100,4.027837259100642,71
KHASYOLI,566,2131,916,1215,3.765017667844523,75.39094650205762
KHYAHA,546,2334,1000,1334,4.274725274725275,74.96251874062968
KOLDADA,661,3865,1788,2077,5.8472012102874436,86.08570052961001
KUSUMKHOLA,413,1624,704,920,3.9322033898305087,76.52173913043478
MADANPOKHARA,1541,6281,2723,3558,4.075924724205062,76.53175941540191
MASYAM,1004,4649,2091,2558,4.6304780876494025,81.74354964816263
MITYAL,758,4409,2085,2324,5.816622691292876,89.71600688468159
MUJHUNG,532,2147,933,1214,4.035714285714286,76.85337726523888
NAYARNAMTALES,534,2153,951,1202,4.031835205992509,79.11813643926789
PALUNG MAINADI,655,2652,1129,1523,4.0488549618320615,74.13000656598818
PIPALDADA,1193,5084,2131,2953,4.261525565800503,72.16390111750762
POKHARATHOK,586,2208,941,1267,3.7679180887372015,74.26992896606156
RAHABAS,386,2287,1035,1252,5.924870466321243,82.66773162939297
RAMPUR,2733,11515,5226,6289,4.213318697402122,83.09747177611703
RINGNERAHA,543,2498,1117,1381,4.60036832412523,80.88341781317887
RUPSE,464,2078,912,1166,4.478448275862069,78.21612349914237
SAHALKOT,331,1988,882,1106,6.006042296072508,79.74683544303798
SATYAWATI,629,3165,1481,1684,5.031796502384737,87.94536817102137
SIDDHESHWOR,660,2744,1213,1531,4.157575757575757,79.22926192031352
SILUWA,1035,4988,2210,2778,4.8193236714975844,79.55363570914326
SOMADI,635,2724,1191,1533,4.289763779527559,77.69080234833659
TAHU,848,3548,1484,2064,4.183962264150943,71.89922480620154
TANSEN MUNICIPALITY,8411,29095,13742,15353,3.4591606229936986,89.50693675503159
TELGHA,752,3113,1342,1771,4.139627659574468,75.77639751552795
TIMURE,578,2522,1062,1460,4.3633217993079585,72.73972602739725
WAKAMALANG,579,2964,1312,1652,5.119170984455959,79.41888619854721
YAMGHA,901,3573,1465,2108,3.965593784683685,69.49715370018976
