VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ARCHALE,536,681,465,505,67,168,4,8
ARGALI,554,616,486,495,64,116,4,5
BAHADURPUR,340,384,280,260,57,117,3,7
BALDENGADHI,405,474,312,327,89,141,4,6
BANDIPOKHARA,381,529,292,376,78,126,11,27
BARANGDI,420,432,380,339,38,91,2,2
BHAIRABSTHAN,361,476,322,330,36,141,3,5
BHUWANPOKHARI,1002,1340,862,958,128,347,12,35
BIRKOT,698,952,582,629,98,289,18,34
BODHAPOKHARATHOK,412,508,338,363,71,137,3,8
BOUDHAGUMBA,312,411,279,303,32,107,1,1
CHAPPANI,337,403,290,272,34,118,13,13
CHHAHARA,866,1060,768,782,89,253,9,25
CHIDIPANI,745,888,625,622,114,260,6,6
CHIRTUNGDHARA,725,863,597,584,123,273,5,6
DARCHHA,1425,1706,1202,1249,202,436,21,21
DARLAMDANDA,324,402,283,318,40,82,1,2
DEURALI,353,471,292,353,61,118,0,0
DEVINAGAR,634,721,545,528,64,158,25,35
DOBHAN,1431,1595,1057,1016,318,500,56,79
FEK,574,758,495,503,74,243,5,12
FOKSINGKOT,715,1006,603,681,111,320,1,5
GADAKOT,913,1281,744,866,134,365,35,50
GALDHA,771,986,589,672,177,309,5,5
GEJHA,1019,1321,838,938,170,368,11,15
GOTHADI,985,1090,773,678,202,398,10,14
HAKLANG,642,795,512,513,107,259,23,23
HUMIN,465,547,391,386,69,155,5,6
HUNGI,867,1014,745,726,113,274,9,14
JALPA,606,752,541,532,59,216,6,4
JHADEWA,859,1041,743,748,110,288,6,5
JHIRUBAS,653,842,563,588,90,253,0,1
JUTHAPAUWA,717,892,568,573,145,314,4,5
JYAMIRE,813,1017,684,681,126,332,3,4
KACHAL,812,902,612,583,170,308,30,11
KASENI,1139,1366,888,917,227,427,24,22
KHALIBAN,1130,1430,1009,1069,113,341,8,20
KHANICHHAP,407,475,357,354,48,117,2,4
KHANIGAU,315,409,277,302,27,94,11,13
KHASYOLI,331,408,274,319,47,83,10,6
KHYAHA,424,533,364,381,60,148,0,4
KOLDADA,809,934,610,590,184,331,15,13
KUSUMKHOLA,275,342,230,245,42,94,3,3
MADANPOKHARA,1086,1262,901,877,162,349,23,36
MASYAM,926,1056,690,668,232,378,4,10
MITYAL,955,1103,801,819,144,278,10,6
MUJHUNG,410,457,347,306,60,148,3,3
NAYARNAMTALES,354,440,278,269,75,167,1,4
PALUNG MAINADI,464,601,392,431,65,156,7,14
PIPALDADA,954,1182,825,849,126,324,3,9
POKHARATHOK,380,476,310,345,59,116,11,15
RAHABAS,443,540,362,362,81,176,0,2
RAMPUR,2152,2400,1817,1820,300,526,35,54
RINGNERAHA,469,543,416,377,47,148,6,18
RUPSE,395,482,320,322,74,160,1,0
SAHALKOT,384,512,321,329,61,182,2,1
SATYAWATI,666,762,497,493,160,258,9,11
SIDDHESHWOR,562,693,486,499,76,190,0,4
SILUWA,998,1265,837,862,153,395,8,8
SOMADI,482,576,421,461,60,114,1,1
TAHU,632,794,556,555,67,224,9,15
TANSEN MUNICIPALITY,4872,4917,4076,3705,726,1134,70,78
TELGHA,553,678,447,453,100,219,6,6
TIMURE,455,636,348,421,92,195,15,20
WAKAMALANG,532,753,437,519,93,225,2,9
YAMGHA,572,761,509,582,57,169,6,10
INSTITUTIONAL,615,105,196,79,414,26,5,0
