VDC/MUNICIPALITY,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED
ARTHAR DADAKHARKA,699,0,0,3,0,1
BACHCHHA,436,0,0,8,0,0
BAHAKI THANTI,374,2,3,3,0,1
BAJUNG,964,16,78,9,2,7
BALAKOT,270,0,0,1,0,1
BANOU,348,0,0,0,0,1
BASKHARKA,251,0,0,2,0,1
BEULIBAS,535,6,0,7,18,0
BHANGARA,440,0,0,0,1,0
BHOKSING,194,0,0,0,0,0
BHORLE,462,4,0,3,2,2
BHUKTANGLE,560,7,0,7,0,0
BIHADI BARACHAUR,441,2,0,29,0,5
BIHADI RANIPANI,514,5,1,30,0,1
BITALAWA PIPALTARI,613,0,2,7,0,1
CHITRE,421,3,0,1,0,10
CHUWA,371,34,6,22,0,0
DEUPURKOT,515,171,10,4,0,4
DEURALI,475,2,2,6,0,1
DHAIRING,839,50,0,3,0,4
DURLUNG,713,2,0,20,0,1
FALAMKHANI,211,0,0,0,0,1
FALEBAS DEVISTHAN,622,27,32,13,2,1
FULEBAS KHANIGAUN,460,5,0,2,1,5
HOSRANGDI,328,0,0,3,0,0
HUWAS,917,88,20,5,1,4
KARKINETA,445,3,0,3,0,0
KATUWA CHAUPARI,476,12,1,1,0,0
KHAULA LAKURI,554,0,0,1,0,0
KHURKOT,933,10,3,12,0,0
KURGHA,649,1,0,1,1,3
KYANG,514,0,1,1,0,1
LEKHFANT,662,0,0,4,1,0
LIMITHANA,364,1,0,5,0,1
LUNKHU DEURALI,492,8,4,1,0,1
MAJHPHANT MALLAJ,1397,311,371,10,0,11
MUDIKUWA,450,1,6,10,0,0
NAGLIWANG,657,24,0,0,0,2
PAKHAPANI,560,1,0,0,0,0
PAKUWA,548,1,0,14,1,1
PANG,1131,59,2,5,2,2
PANGRANG,479,0,0,5,0,0
RAMJA DEURALI,479,1,0,0,0,6
SALIGRAM,519,26,0,23,1,9
SALIJA,604,3,0,4,0,1
SARAUKHOLA,439,2,5,7,1,5
SHANKAR POKHARI,956,0,1,6,1,1
SHIVALAYA,1445,1210,689,5,5,24
TAKLAK,309,1,0,1,0,0
THANA MAULO,340,0,0,1,0,0
THAPATHANA,684,1,2,0,0,4
THULI POKHARI,660,2,3,2,0,2
TILAHAR,920,254,0,21,0,6
TRIBENI,394,8,47,0,1,0
URAMPOKHARA,499,3,1,2,0,3
TOTAL,31532,2367,1290,333,41,135
