VDC/MUNICIPALITY,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE
ARTHAR DADAKHARKA,2561,1090,1471,27,10,17,7,6,1,6,3,3,0,0,0,5,3,2,4,4,0,1,0,1,7,5,2
BACHCHHA,1813,793,1020,11,6,5,5,3,2,7,4,3,1,0,1,5,3,2,7,5,2,1,1,0,4,1,3
BAHAKI THANTI,1693,704,989,1,0,1,3,2,1,3,2,1,1,1,0,10,4,6,7,6,1,0,0,0,0,0,0
BAJUNG,4112,1748,2364,35,12,23,8,5,3,29,13,16,1,1,0,22,14,8,13,8,5,2,2,0,6,3,3
BALAKOT,1279,592,687,16,8,8,9,6,3,3,2,1,0,0,0,2,2,0,4,1,3,0,0,0,0,0,0
BANOU,1396,622,774,16,9,7,15,6,9,13,6,7,1,1,0,11,8,3,2,2,0,3,2,1,1,0,1
BASKHARKA,870,393,477,16,7,9,4,2,2,8,5,3,2,1,1,9,4,5,3,1,2,2,2,0,2,1,1
BEULIBAS,2618,1114,1504,47,26,21,28,10,18,12,6,6,5,1,4,18,16,2,18,9,9,3,2,1,8,2,6
BHANGARA,1789,772,1017,32,18,14,13,6,7,11,5,6,2,1,1,7,5,2,6,3,3,3,2,1,0,0,0
BHOKSING,870,395,475,11,7,4,3,2,1,1,0,1,1,1,0,0,0,0,3,1,2,1,0,1,1,1,0
BHORLE,2132,933,1199,19,11,8,7,3,4,3,2,1,5,2,3,0,0,0,6,4,2,3,1,2,0,0,0
BHUKTANGLE,2215,975,1240,37,30,7,6,4,2,18,10,8,1,0,1,11,6,5,10,8,2,5,3,2,9,3,6
BIHADI BARACHAUR,2199,959,1240,2,1,1,3,1,2,6,3,3,1,1,0,4,3,1,2,0,2,0,0,0,2,1,1
BIHADI RANIPANI,2474,1078,1396,11,3,8,4,3,1,9,3,6,0,0,0,9,6,3,2,0,2,4,2,2,3,2,1
BITALAWA PIPALTARI,2360,1044,1316,15,11,4,5,3,2,6,4,2,0,0,0,7,6,1,12,7,5,0,0,0,2,1,1
CHITRE,1677,736,941,16,9,7,18,10,8,15,7,8,0,0,0,3,1,2,6,1,5,4,3,1,1,0,1
CHUWA,1724,754,970,11,5,6,6,2,4,6,5,1,0,0,0,6,2,4,2,1,1,1,1,0,3,3,0
DEUPURKOT,2626,1167,1459,77,39,38,13,8,5,29,12,17,2,1,1,18,12,6,13,4,9,3,1,2,15,7,8
DEURALI,1816,788,1028,17,7,10,7,5,2,9,6,3,1,1,0,1,0,1,1,1,0,1,0,1,4,1,3
