VDC/MUNICIPALITY,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED
ARTHAR DADAKHARKA,142,188,371,0,0,0,0,2
BACHCHHA,112,296,36,0,0,0,0,0
BAHAKI THANTI,97,279,2,4,0,0,0,1
BAJUNG,28,636,332,74,0,0,0,6
BALAKOT,114,103,54,0,0,0,0,1
BANOU,147,87,113,0,0,0,0,2
BASKHARKA,2,22,229,0,0,0,0,1
BEULIBAS,133,425,4,3,0,0,1,0
BHANGARA,141,200,100,0,0,0,0,0
BHOKSING,91,41,62,0,0,0,0,0
BHORLE,137,302,26,4,1,0,0,3
BHUKTANGLE,46,118,407,0,3,0,0,0
BIHADI BARACHAUR,102,349,21,0,0,0,0,5
BIHADI RANIPANI,133,386,23,7,1,0,0,1
BITALAWA PIPALTARI,24,301,296,1,0,0,0,1
CHITRE,16,117,291,1,0,0,0,10
CHUWA,5,375,34,16,0,0,3,0
DEUPURKOT,13,250,302,134,0,0,0,5
DEURALI,33,56,391,3,0,0,0,3
DHAIRING,69,271,529,22,0,0,0,5
DURLUNG,38,500,196,0,0,0,1,1
FALAMKHANI,113,57,40,0,0,0,0,2
FALEBAS DEVISTHAN,26,629,15,23,1,0,1,2
FULEBAS KHANIGAUN,23,428,14,2,1,0,0,5
HOSRANGDI,173,148,10,0,0,0,0,0
HUWAS,244,687,15,85,0,0,0,4
KARKINETA,15,360,72,3,0,0,0,1
KATUWA CHAUPARI,15,373,84,18,0,0,0,0
KHAULA LAKURI,47,320,188,0,0,0,0,0
KHURKOT,52,364,537,5,0,0,0,0
KURGHA,56,302,286,3,0,0,3,5
KYANG,53,52,410,1,0,0,0,1
LEKHFANT,49,95,523,0,0,0,0,0
LIMITHANA,38,327,4,1,0,0,0,1
LUNKHU DEURALI,106,259,134,6,0,0,0,1
MAJHPHANT MALLAJ,19,601,1093,372,1,0,1,13
MUDIKUWA,33,362,52,6,0,0,14,0
NAGLIWANG,15,332,325,9,0,0,0,2
PAKHAPANI,140,360,60,1,0,0,0,0
PAKUWA,30,332,202,0,0,0,0,1
PANG,82,568,531,15,1,0,0,4
PANGRANG,91,108,285,0,0,0,0,0
RAMJA DEURALI,26,144,310,0,0,0,0,6
SALIGRAM,127,417,6,19,0,0,0,9
SALIJA,23,69,517,1,1,0,0,1
SARAUKHOLA,153,276,18,7,0,0,0,5
SHANKAR POKHARI,182,756,24,1,0,0,1,1
SHIVALAYA,22,1647,63,1612,2,0,1,31
TAKLAK,98,195,18,0,0,0,0,0
THANA MAULO,114,173,53,0,0,0,1,0
THAPATHANA,52,623,9,2,0,0,0,5
THULI POKHARI,30,374,258,5,0,0,0,2
TILAHAR,43,563,442,142,4,0,0,7
TRIBENI,105,272,17,56,0,0,0,0
URAMPOKHARA,194,303,4,4,0,0,0,3
TOTAL,4212,18178,10438,2668,16,0,27,159
