VDC/MUNICIPALITY,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE
ALAU,2065,2040,1110,877,943,1159,12,4
AMARPATTI,1101,1070,567,478,442,463,92,129
AURAHA,1133,1099,580,482,420,441,133,176
BAGAHI,1534,1507,808,634,684,847,42,26
BAGBANA,1452,1575,938,898,487,651,27,26
BAGESHWARI TITRONA,1462,1408,728,563,722,830,12,15
BAHAURI PIDARI,1406,1283,728,521,618,704,60,58
BAHUARBAMATHA,1539,1412,879,705,606,679,54,28
BASADILWA,1543,1424,803,703,726,705,14,16
BASANTPUR,1859,1672,917,676,849,881,93,115
BELWA PARSAUNI,2327,2198,1271,1028,780,878,276,292
BAIRIYA BIRTA (NAU.TA.JA.),1180,1180,614,497,566,682,0,1
BAIRIYA BIRTA (DA.PU.),1435,1366,839,696,571,642,25,28
BHAWANIPUR,1536,1359,917,759,561,491,58,109
BHEDIHARI,1273,1273,910,775,334,468,29,30
BHISAWA,1280,1267,748,617,524,641,8,9
BIJBANIYA,878,818,589,469,286,347,3,2
BINDABASINI,1294,1151,557,450,571,535,166,166
BIRANCHIBARWA,831,784,551,482,276,298,4,4
BIRGUNJ SUB-METROPOLITAN CITY,28052,25732,19407,15977,7254,8200,1391,1555
BIRWAGUTHI,2901,2952,1687,1515,1138,1385,76,52
BISHRAMPUR,1636,1583,772,590,834,981,30,12
CHORNI,2229,2216,1293,1064,766,972,170,180
DEUKHANA,1105,1111,601,534,419,422,85,155
DHAUBINI,1100,1135,510,456,553,627,37,52
DHORE,1040,975,588,490,320,314,132,171
GADI,914,923,553,445,353,470,8,8
GAMHARIYA,996,914,448,352,509,530,39,32
GHAUDHDAUR PIPARA,714,627,433,338,246,233,35,56
GOVINDAPUR,658,637,363,286,288,349,7,2
HARIHARPUR (NAU.TA.JA.),1047,1029,534,473,505,546,8,10
HARIHARPUR BIRTA,657,641,415,301,223,327,19,13
HARPATAGUNJ,1109,981,711,485,392,481,6,15
HARPUR,1364,1354,728,635,577,661,59,58
JAGARNATHPUR,1681,1550,820,627,715,767,146,156
JAIMANGALAPUR,1306,1280,499,359,581,549,226,372
JANAKITOLA,1045,1149,484,403,492,695,69,51
JEETPUR,1005,1057,585,591,414,457,6,9
JHOUWA GUTHI,1451,1426,703,560,529,602,219,264
KAUWA BAN KATAIYA,1289,1229,683,597,376,307,230,325
LAHAWARTHAKARI,988,875,510,368,475,506,3,1
LAKHANPUR,1182,1056,305,171,570,558,307,327
LAL PARSA,1081,1039,548,412,527,622,6,5
LANGADI,777,688,466,357,303,325,8,6
LIPANI BIRTA,1702,1550,1004,796,652,662,46,92
MADHUBAN MATHAUL,1443,1530,935,870,490,632,18,28
MAHADEVPATTI,1662,1565,944,804,712,754,6,7
MAHUWAN,1047,1098,624,556,316,362,107,180
MAINPUR (PAKAHA),789,690,497,389,292,301,0,0
MANIYARI,1612,1544,849,595,600,712,163,237
MASIHANI,1376,1282,683,516,689,758,4,8
BHIKHAMPUR,1020,996,604,528,380,402,36,66
MIRJAPUR,982,908,542,456,423,435,17,17
MUDALI,1350,1235,605,516,624,603,121,116
NAGARDAHA,786,708,385,281,390,419,11,8
NICHUTA,1434,1444,794,645,592,704,48,95
NIRMAL BASTI,1958,2161,1453,1410,475,718,30,33
PACHARUKHI,1348,1249,555,439,769,781,24,29
PARSAUNI BIRTA,1214,1077,634,465,490,483,90,129
PRASAUNI MATHA,1407,1402,663,545,657,733,87,124
PIDARIGUTHI,1218,1144,665,455,471,642,82,47
POKHARIYA,1473,1473,927,777,535,675,11,21
PRASURAMPUR,657,568,418,316,234,250,5,2
RAMGADHAWA,1720,1425,1156,821,561,596,3,8
RAMNAGARI,693,717,464,448,195,182,34,87
SABAITHAWA,1010,996,515,431,450,517,45,48
SAKHUWA PRASAUNI,1509,1536,833,694,643,799,33,43
SAMJHAUTA,1587,1473,811,641,730,788,46,44
SHANKAR SARAIYA,868,940,571,495,294,445,3,0
SEDHAWA,601,709,305,320,268,361,28,28
SHIBARWA,1561,1402,855,663,681,722,25,17
SIRSIYA KHALWATOLA,1456,1299,700,580,525,451,231,268
SONBARSA,1748,1688,733,538,989,1130,26,20
SREESIYA (NAU.TA.JA.),797,792,376,295,418,493,3,4
SUBARNAPUR,652,777,512,528,132,228,8,21
SUGAULI BIRTA,1439,1505,999,911,405,504,35,90
SUGAULI PARTEWA,1111,1292,649,672,451,606,11,14
SUPAULI,631,692,382,383,245,303,4,6
SURJAHA,981,797,604,438,336,319,41,40
THORI,1354,1457,1075,1006,276,437,3,14
TULASI BARWA,948,904,529,403,333,374,86,127
UDAYAPUR GHURMI,1703,1477,905,631,714,767,84,79
VAURATAR,2292,2001,1137,866,1080,1100,75,35
INSTITUTIONAL,783,31,113,2,669,29,1,0
